rebalance_date,ticker,weight,Name,sector,portfolio_sleeve_label,market_circuit_state,market_circuit_multiplier,market_circuit_source_rebalance_date,market_circuit_target_book
2019-05-31,HEI,0.0825,HEICO CORP,Industrials,future_winner,crisis,0.25,2019-05-31,True
2019-05-31,SBAC,0.0825,SBA COMMUNICATIONS REIT CORP CLASS,Real Estate,future_winner,crisis,0.25,2019-05-31,True
2019-06-11,HEI,0.198,HEICO CORP,Industrials,future_winner,caution,0.6,2019-05-31,True
2019-06-11,SBAC,0.198,SBA COMMUNICATIONS REIT CORP CLASS,Real Estate,future_winner,caution,0.6,2019-05-31,True
2019-06-12,HEI,0.33,HEICO CORP,Industrials,future_winner,normal,1.0,2019-05-31,True
2019-06-12,SBAC,0.33,SBA COMMUNICATIONS REIT CORP CLASS,Real Estate,future_winner,normal,1.0,2019-05-31,True
2019-06-13,HEI,0.198,HEICO CORP,Industrials,future_winner,caution,0.6,2019-05-31,True
2019-06-13,SBAC,0.198,SBA COMMUNICATIONS REIT CORP CLASS,Real Estate,future_winner,caution,0.6,2019-05-31,True
2019-06-14,HEI,0.33,HEICO CORP,Industrials,future_winner,normal,1.0,2019-05-31,True
2019-06-14,SBAC,0.33,SBA COMMUNICATIONS REIT CORP CLASS,Real Estate,future_winner,normal,1.0,2019-05-31,True
2019-06-28,HD,0.33,HOME DEPOT INC,Consumer Discretionary,core_compounder,normal,1.0,2019-06-28,True
2019-06-28,HEI,0.33,HEICO CORP,Industrials,future_winner,normal,1.0,2019-06-28,True
2019-07-31,CTAS,0.33,CINTAS CORP,Industrials,early_scout,normal,1.0,2019-07-31,True
2019-07-31,HD,0.33,HOME DEPOT INC,Consumer Discretionary,core_compounder,normal,1.0,2019-07-31,True
2019-08-05,CTAS,0.0825,CINTAS CORP,Industrials,early_scout,crisis,0.25,2019-07-31,True
2019-08-05,HD,0.0825,HOME DEPOT INC,Consumer Discretionary,core_compounder,crisis,0.25,2019-07-31,True
2019-08-30,HD,0.0825,HOME DEPOT INC,Consumer Discretionary,core_compounder,crisis,0.25,2019-08-30,True
2019-08-30,RMD,0.0825,RESMED INC,Health Care,future_winner,crisis,0.25,2019-08-30,True
2019-09-09,HD,0.198,HOME DEPOT INC,Consumer Discretionary,core_compounder,caution,0.6,2019-08-30,True
2019-09-09,RMD,0.198,RESMED INC,Health Care,future_winner,caution,0.6,2019-08-30,True
