as_of_date,snapshot_semantics,portfolio,portfolio_kind,row_type,ticker,current_shares,current_price,current_value_usd,current_weight,unrealized_pnl_usd,realized_pnl_usd,first_entry_date,latest_entry_date,holding_days,avg_entry_price,entry_reasons,entry_sleeves,daily_review_action,daily_review_reason,risk_state,account_source,approval_status,backtest_metric_mode,official_broker_cagr,official_broker_max_dd,official_broker_sharpe,official_broker_avg_cash_weight,daily_monitoring_backtest_status,daily_monitoring_position_risk_cagr,daily_monitoring_position_risk_max_dd,daily_monitoring_risk_action_count
2026-07-02,current_broker_ledger_mark_to_market,concentrated,concentrated,equity,MU,404.0,957.0700073242188,386656.2829589844,0.2850160248649426,-31685.717041015625,71694.52289827344,2026-06-01,2026-06-01,31.0,1035.5,target_rebalance,future_winner,BUY_REVIEW,Target preview wants more exposure; validate against portfolio and market gates.,green,simulated_broker_replay,simulation_ready_preview_only,broker_ledger_next_close,0.4452717958497554,-0.23268227718381962,1.3543257573594534,0.41541689424130623,missing,0.30929242195816875,-0.2666797879134377,0
2026-07-02,current_broker_ledger_mark_to_market,concentrated,concentrated,equity,SNDK,221.0,1712.0,378352.0,0.2788946870705314,130893.8179497802,49541.69545170907,2026-05-01,2026-05-01,62.0,1187.0,target_rebalance,future_winner,HOLD,No preview order or no material target gap.,green,simulated_broker_replay,simulation_ready_preview_only,broker_ledger_next_close,0.4452717958497554,-0.23268227718381962,1.3543257573594534,0.41541689424130623,missing,0.30929242195816875,-0.2666797879134377,0
2026-07-02,current_broker_ledger_mark_to_market,concentrated,concentrated,equity,AMD,281.0,511.4363098144531,143713.60305786133,0.105935637587751,367.0716857910156,15806.91437440872,2026-06-01,2026-06-01,31.0,510.1300048828125,target_rebalance,future_winner,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",green,simulated_broker_replay,simulation_ready_preview_only,broker_ledger_next_close,0.4452717958497554,-0.23268227718381962,1.3543257573594534,0.41541689424130623,missing,0.30929242195816875,-0.2666797879134377,0
2026-07-02,current_broker_ledger_mark_to_market,concentrated,concentrated,equity,UMC,4878.0,24.354999542236328,118803.6877670288,0.0875737866394537,7146.2707443237305,0.0,2026-06-01,2026-06-01,31.0,22.88999938964844,target_rebalance,future_winner,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",green,simulated_broker_replay,simulation_ready_preview_only,broker_ledger_next_close,0.4452717958497554,-0.23268227718381962,1.3543257573594534,0.41541689424130623,missing,0.30929242195816875,-0.2666797879134377,0
2026-07-02,current_broker_ledger_mark_to_market,concentrated,concentrated,equity,WDC,182.0,536.510009765625,97644.82177734376,0.0719769474289817,26015.62032250481,178456.62061472813,2026-05-01,2026-05-01,62.0,431.4075012207031,target_rebalance,future_winner,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",green,simulated_broker_replay,simulation_ready_preview_only,broker_ledger_next_close,0.4452717958497554,-0.23268227718381962,1.3543257573594534,0.41541689424130623,missing,0.30929242195816875,-0.2666797879134377,0
2026-07-02,current_broker_ledger_mark_to_market,concentrated,concentrated,cash,CASH,0.0,1.0,231442.03751935973,0.1706029164083393,0.0,0.0,,,,0.0,,,HOLD,Combined cash is already close to target.,green,simulated_broker_replay,simulation_ready_preview_only,broker_ledger_next_close,0.4452717958497554,-0.23268227718381962,1.3543257573594534,0.41541689424130623,missing,0.30929242195816875,-0.2666797879134377,0
2026-07-02,current_broker_ledger_mark_to_market,main,main,equity,FLEX,553.0,136.35000610351562,75401.55337524414,0.1138381246311517,-6447.973587036133,0.0,2026-06-01,2026-06-01,31.0,148.00999450683594,target_rebalance,future_winner,HOLD,No preview order or no material target gap.,green,simulated_broker_replay,simulation_ready_preview_only,broker_ledger_next_close,0.3060872204873475,-0.2601966930283808,1.130253864790919,0.26388894898463366,missing,0.2655394966582021,-0.2678912750640682,0
2026-07-02,current_broker_ledger_mark_to_market,main,main,equity,SNDK,44.0,1712.0,75328.0,0.1137270768088818,41534.124035444416,18394.924376726,2026-03-02,2026-05-01,122.0,825.5963745117188,target_rebalance,"future_winner,unassigned",EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",green,simulated_broker_replay,simulation_ready_preview_only,broker_ledger_next_close,0.3060872204873475,-0.2601966930283808,1.130253864790919,0.26388894898463366,missing,0.2655394966582021,-0.2678912750640682,0
2026-07-02,current_broker_ledger_mark_to_market,main,main,equity,UMC,1938.0,24.354999542236328,47199.989112854,0.071260577570305,2839.170295715332,0.0,2026-06-01,2026-06-01,31.0,22.88999938964844,target_rebalance,future_winner,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",green,simulated_broker_replay,simulation_ready_preview_only,broker_ledger_next_close,0.3060872204873475,-0.2601966930283808,1.130253864790919,0.26388894898463366,missing,0.2655394966582021,-0.2678912750640682,0
2026-07-02,current_broker_ledger_mark_to_market,main,main,equity,WDC,85.0,536.510009765625,45603.350830078125,0.0688500395947679,16945.794128107267,46076.37423698979,2026-05-01,2026-05-01,62.0,431.4075012207031,target_rebalance,future_winner,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",green,simulated_broker_replay,simulation_ready_preview_only,broker_ledger_next_close,0.3060872204873475,-0.2601966930283808,1.130253864790919,0.26388894898463366,missing,0.2655394966582021,-0.2678912750640682,0
2026-07-02,current_broker_ledger_mark_to_market,main,main,equity,RKLB,452.0,99.8000030517578,45109.60137939453,0.0681045972399698,-10210.678344726562,-2587.9349344086645,2026-06-01,2026-06-01,31.0,122.38999938964844,target_rebalance,future_winner,BUY_REVIEW,Target preview wants more exposure; validate against portfolio and market gates.,green,simulated_broker_replay,simulation_ready_preview_only,broker_ledger_next_close,0.3060872204873475,-0.2601966930283808,1.130253864790919,0.26388894898463366,missing,0.2655394966582021,-0.2678912750640682,0
2026-07-02,current_broker_ledger_mark_to_market,main,main,equity,NXT,396.0,111.0199966430664,43963.9186706543,0.066374893206735,-13464.003021240234,362.9987201499939,2026-06-01,2026-06-01,31.0,145.02000427246094,target_rebalance,future_winner,BUY_REVIEW,Target preview wants more exposure; validate against portfolio and market gates.,green,simulated_broker_replay,simulation_ready_preview_only,broker_ledger_next_close,0.3060872204873475,-0.2601966930283808,1.130253864790919,0.26388894898463366,missing,0.2655394966582021,-0.2678912750640682,0
2026-07-02,current_broker_ledger_mark_to_market,main,main,equity,MU,43.0,957.0700073242188,41154.010314941406,0.062132610610674,16588.908805847168,20368.06754590988,2026-01-02,2026-06-01,181.0,575.9349712992823,target_rebalance,future_winner,HOLD,No preview order or no material target gap.,green,simulated_broker_replay,simulation_ready_preview_only,broker_ledger_next_close,0.3060872204873475,-0.2601966930283808,1.130253864790919,0.26388894898463366,missing,0.2655394966582021,-0.2678912750640682,0
2026-07-02,current_broker_ledger_mark_to_market,main,main,equity,ALAB,100.0,397.8399963378906,39783.99963378906,0.0600642255484873,7775.0,8813.263099327089,2026-06-01,2026-06-01,31.0,320.0899963378906,target_rebalance,unassigned,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",green,simulated_broker_replay,simulation_ready_preview_only,broker_ledger_next_close,0.3060872204873475,-0.2601966930283808,1.130253864790919,0.26388894898463366,missing,0.2655394966582021,-0.2678912750640682,0
2026-07-02,current_broker_ledger_mark_to_market,main,main,equity,HPE,920.0,40.98500061035156,37706.20056152344,0.0569272510544748,-5407.660217285156,0.0,2026-06-01,2026-06-01,31.0,46.862892150878906,target_rebalance,unassigned,BUY_REVIEW,Target preview wants more exposure; validate against portfolio and market gates.,green,simulated_broker_replay,simulation_ready_preview_only,broker_ledger_next_close,0.3060872204873475,-0.2601966930283808,1.130253864790919,0.26388894898463366,missing,0.2655394966582021,-0.2678912750640682,0
