start_date,trough_date,end_date,drawdown,equity_start,equity_trough,equity_end,days,dominant_state
2021-12-30,2022-06-14,2024-02-14,-0.22882979788393065,286144.5056472159,222502.8674000025,285767.9303660965,777,normal
2020-02-13,2020-03-23,2020-07-28,-0.22386150093705182,171496.831870656,134465.0470717192,168156.62856797696,167,normal
2024-03-22,2024-07-03,2025-02-12,-0.2072785006871103,309376.1027522851,245951.9477792741,308492.0973369981,328,normal
2025-02-20,2025-05-14,2025-11-21,-0.17859269610390882,324573.6884169389,278417.39838681463,332786.6679317309,275,normal
2021-09-01,2021-10-12,2021-12-23,-0.13421907776033415,281113.850670886,245203.8212333536,280408.26528520114,114,normal
2020-09-03,2020-09-23,2020-12-01,-0.12248160501742289,193253.7999346304,177929.7951472998,200118.0626620245,90,normal
2026-04-08,2026-05-08,2026-05-15,-0.10770450836080148,444349.383539212,409229.45747247,427457.1941172149,38,normal
2025-11-26,2025-12-17,2026-01-07,-0.07696126210972465,353361.8056270434,329345.8953417803,354014.41067343013,43,caution
2021-02-18,2021-03-04,2021-03-10,-0.05945785133586867,225352.8158100081,213154.29444971564,222211.5304993677,21,caution
2019-10-31,2019-12-03,2019-12-13,-0.059028992200472974,109920.4105356884,105664.85555514335,111571.1344934368,44,normal
2020-12-03,2020-12-22,2021-01-19,-0.05724600172942662,203188.0293826056,191782.55854215147,199469.26758076192,48,normal
