month,month_end_date,equity_usd,monthly_return,dominant_state
2019-06,2019-06-28,104770.56707281111,,normal
2019-07,2019-07-31,106522.90889822003,0.01672551628160135,normal
2019-08,2019-08-30,110686.4470571518,0.039085847373074634,caution
2019-09,2019-09-30,109893.92035216332,-0.007160106102053088,normal
2019-10,2019-10-31,109920.4105356884,0.00024105231153992435,normal
2019-11,2019-11-29,107559.2290759468,-0.021480828248680695,normal
2019-12,2019-12-31,117279.92309817314,0.09037526677848007,normal
2020-01,2020-01-31,147672.49735195638,0.25914558477619476,normal
2020-02,2020-02-28,157038.53860023976,0.06342441156094725,normal
2020-03,2020-03-31,145233.67144094943,-0.07517178435632932,crisis
2020-04,2020-04-30,149181.69284969807,0.027183926217508425,normal
2020-05,2020-05-29,162473.0096389103,0.08909482480939102,normal
2020-06,2020-06-30,157729.03627849102,-0.0291985319343967,normal
2020-07,2020-07-31,179189.02100877286,0.13605601883214113,normal
2020-08,2020-08-31,194918.33331603528,0.08778055831050224,normal
2020-09,2020-09-30,184326.63403737548,-0.05433916398970384,caution
2020-10,2020-10-30,179572.90398725035,-0.02578970790060231,normal
2020-11,2020-11-30,195758.1804369879,0.09013206386018413,normal
2020-12,2020-12-31,195167.20103635316,-0.0030189256935035935,normal
2021-01,2021-01-29,198785.5975902224,0.01853998281809277,normal
2021-02,2021-02-26,216535.02330989364,0.08928929426899423,normal
2021-03,2021-03-31,232586.89360054492,0.07413059580518144,caution
2021-04,2021-04-30,253566.94399588116,0.09020306376922638,normal
2021-05,2021-05-28,250164.22595685485,-0.013419407062308486,caution
2021-06,2021-06-30,254916.7925793028,0.018997786770949432,normal
2021-07,2021-07-30,270966.3353267241,0.0629599273748449,normal
2021-08,2021-08-31,283216.9373737669,0.04521078986535865,normal
2021-09,2021-09-30,257763.2714887953,-0.08987338865041083,normal
2021-10,2021-10-29,265884.36257269385,0.031506005634521106,caution
2021-11,2021-11-30,266622.45871682646,0.0027760043388440625,normal
2021-12,2021-12-31,287326.1672683096,0.0776517801655714,normal
2022-01,2022-01-31,255444.5363897849,-0.11095971933789506,caution
2022-02,2022-02-28,253039.91923102865,-0.009413460913045402,crisis
2022-03,2022-03-31,249410.90475789557,-0.014341667844984363,crisis
2022-04,2022-04-29,240096.32371651175,-0.03734632633815882,crisis
2022-05,2022-05-31,240290.76067098143,0.0008098289530633629,crisis
2022-06,2022-06-30,234465.1849048853,-0.02424386085352992,crisis
2022-07,2022-07-29,235187.66526957045,0.0030813972017988966,crisis
2022-08,2022-08-31,232007.33370564948,-0.013522527043566268,crisis
2022-09,2022-09-30,232007.16774344933,-7.153316987640324e-07,crisis
2022-10,2022-10-31,253364.63230395803,0.09205519281251484,crisis
2022-11,2022-11-30,254673.5553502036,0.005166163226267839,crisis
2022-12,2022-12-30,245225.6472258998,-0.03709811217466963,crisis
2023-01,2023-01-31,275830.5977649356,0.12480322056543613,crisis
2023-02,2023-02-28,258657.65827650556,-0.06225900834636511,normal
2023-03,2023-03-31,259480.01066193584,0.003179308089734434,normal
2023-04,2023-04-28,249159.25370642668,-0.03977476696251403,normal
2023-05,2023-05-31,238482.70157622345,-0.04285031348979296,normal
2023-06,2023-06-30,251484.7751417065,0.054519986059984094,normal
2023-07,2023-07-31,261239.79133001337,0.038789688889954155,normal
2023-08,2023-08-31,245628.0917419053,-0.05976003697073262,caution
2023-09,2023-09-29,241526.72129322065,-0.016697481218859056,caution
2023-10,2023-10-31,247009.30115920075,0.02269968240625464,caution
2023-11,2023-11-30,249608.43344810492,0.0105224065519256,normal
2023-12,2023-12-29,259079.9915285493,0.03794566533511601,normal
2024-01,2024-01-31,262511.7596468354,0.013245978965951588,normal
2024-02,2024-02-29,292830.1702647782,0.1154935331610707,normal
2024-03,2024-03-28,308800.9004016686,0.054539223613637944,normal
2024-04,2024-04-30,288301.51836538326,-0.06638381562236728,caution
2024-05,2024-05-31,286215.9066919137,-0.007234133504723017,normal
2024-06,2024-06-28,251849.33526996628,-0.12007219241989942,normal
2024-07,2024-07-31,255534.96659351364,0.01463427060308331,normal
2024-08,2024-08-30,294404.9942259218,0.15211236313596088,caution
2024-09,2024-09-30,278251.087250271,-0.054869677119860794,caution
2024-10,2024-10-31,272631.25397245423,-0.0201969858711174,normal
2024-11,2024-11-29,285138.5512520791,0.045876241617142544,normal
2024-12,2024-12-31,272058.44912452705,-0.045872794366512926,normal
2025-01,2025-01-31,290430.895930462,0.06753124876311212,normal
2025-02,2025-02-28,322036.2938975335,0.10882243731616903,caution
2025-03,2025-03-31,301828.9233076287,-0.06274873662635805,crisis
2025-04,2025-04-30,291292.06135597,-0.03491004717569557,crisis
2025-05,2025-05-30,300148.7127789045,0.03040471265061817,normal
2025-06,2025-06-30,311970.32811383496,0.03938586051387971,normal
2025-07,2025-07-31,310941.7460184217,-0.0032970510421039823,normal
2025-08,2025-08-29,309274.16235455766,-0.005363009905287153,normal
2025-09,2025-09-30,315583.6785505988,0.020401045299114795,normal
2025-10,2025-10-31,319256.4245421053,0.011637946576877889,normal
2025-11,2025-11-28,353397.15685385006,0.10693827809639611,normal
2025-12,2025-12-31,345281.1735705401,-0.02296561567037847,caution
2026-01,2026-01-30,369934.7270796801,0.07140138355705439,caution
2026-02,2026-02-27,420225.8860368945,0.13594603392393134,caution
2026-03,2026-03-31,456065.36638895294,0.08528622710527611,caution
2026-04,2026-04-30,452972.91527047416,-0.006780719051227901,normal
2026-05,2026-05-15,427457.1941172149,-0.056329463182194006,normal
