date,base_equity_usd,overlay_equity_usd,base_cash_weight,overlay_cash_weight,crisis_state,policy_cash_floor,equity_drawdown_cash_floor,target_cash_weight_next,cash_action,turnover_from_cash_action,cash_action_cost_usd,base_equity_usd_peak,overlay_equity_usd_peak,base_drawdown,overlay_drawdown
2019-06-03,99958.73333248138,99958.73333248138,0.8348651842901806,0.8348651842901806,GREEN,0.03,0.0,0.8348651842901806,INIT,0.0,0.0,99958.73333248138,99958.73333248138,0.0,0.0
2019-06-04,100469.53007396698,100469.53007396699,0.8306206495003668,0.8348651842901806,GREEN,0.03,0.0,0.8348651842901806,HOLD_CASH,0.0,0.0,100469.53007396698,100469.53007396699,0.0,0.0
2019-06-05,101200.84265789032,101182.51644695886,0.8246182949992323,0.8348651842901806,GREEN,0.03,0.0,0.8348651842901806,HOLD_CASH,0.0,0.0,101200.84265789032,101182.51644695886,0.0,0.0
2019-06-06,101260.536475029,101238.71240204343,0.8241321765623324,0.8348651842901806,GREEN,0.03,0.0,0.8348651842901806,HOLD_CASH,0.0,0.0,101260.536475029,101238.71240204343,0.0,0.0
2019-06-07,101609.29810222624,101566.11893556226,0.8213034425360985,0.8348651842901806,GREEN,0.03,0.0,0.8348651842901806,HOLD_CASH,0.0,0.0,101609.29810222624,101566.11893556226,0.0,0.0
2019-06-10,101630.41598781584,101585.62583741311,0.8211327830739165,0.8348651842901806,GREEN,0.03,0.0,0.8348651842901806,HOLD_CASH,0.0,0.0,101630.41598781584,101585.62583741311,0.0,0.0
2019-06-11,101611.93929180143,101568.57519417671,0.8212820944730106,0.8348651842901806,GREEN,0.03,0.0,0.8348651842901806,HOLD_CASH,0.0,0.0,101630.41598781584,101585.62583741311,-0.000181802817934118,-0.00016784503807354412
2019-06-12,101875.96786769868,101812.4327032832,0.8191536048365224,0.8348651842901806,GREEN,0.03,0.0,0.8348651842901806,HOLD_CASH,0.0,0.0,101875.96786769868,101812.4327032832,0.0,0.0
2019-06-13,101825.23863872528,101766.13961883879,0.8195617063184307,0.8348651842901806,GREEN,0.03,0.0,0.8348651842901806,HOLD_CASH,0.0,0.0,101875.96786769868,101812.4327032832,-0.0004979508910215591,-0.00045468989606922694
2019-06-14,101600.99778636932,101561.0363727127,0.821370539101447,0.8348651842901806,GREEN,0.03,0.0,0.8348651842901806,HOLD_CASH,0.0,0.0,101875.96786769868,101812.4327032832,-0.0026990671802642474,-0.002469210526607868
2019-06-17,101708.51516231537,101660.39220506894,0.8205022577692238,0.8348651842901806,GREEN,0.03,0.0,0.8348651842901806,HOLD_CASH,0.0,0.0,101875.96786769868,101812.4327032832,-0.0016436919215411239,-0.0014933392138595236
2019-06-18,101751.58030590056,101699.99264604897,0.820154989968207,0.8348651842901806,GREEN,0.03,0.0,0.8348651842901806,HOLD_CASH,0.0,0.0,101875.96786769868,101812.4327032832,-0.0012209706018171396,-0.0011043843492269945
2019-06-19,102486.5508297348,102374.50504011169,0.8142733426913499,0.8348651842901806,GREEN,0.03,0.0,0.8348651842901806,HOLD_CASH,0.0,0.0,102486.5508297348,102374.50504011169,0.0,0.0
2019-06-20,102413.34726222992,102309.48883932178,0.8148553734051445,0.8348651842901806,GREEN,0.03,0.0,0.8348651842901806,HOLD_CASH,0.0,0.0,102486.5508297348,102374.50504011169,-0.0007142748674067168,-0.0006350819548718301
2019-06-21,102240.2794750595,102155.28217999738,0.8162347242545673,0.8348651842901806,GREEN,0.03,0.0,0.8348651842901806,HOLD_CASH,0.0,0.0,102486.5508297348,102374.50504011169,-0.0024029626588217834,-0.0021413813920606595
2019-06-24,101791.88654216766,101752.68312199668,0.8198302355901889,0.8348651842901806,GREEN,0.03,0.0,0.8348651842901806,HOLD_CASH,0.0,0.0,102486.5508297348,102374.50504011169,-0.006778101925990376,-0.006073991936482281
2019-06-25,100928.8435009384,100961.96462679085,0.8268406079998248,0.8348651842901806,GREEN,0.03,0.0,0.8348651842901806,HOLD_CASH,0.0,0.0,102486.5508297348,102374.50504011169,-0.015199138971749404,-0.013797775264138168
2019-06-26,101008.40275081634,101037.8618294939,0.8261893471467713,0.8348651842901806,GREEN,0.03,0.0,0.8348651842901806,HOLD_CASH,0.0,0.0,102486.5508297348,102374.50504011169,-0.014422849309995489,-0.01305640706242317
