signal_date,effective_next_trading_day,portfolio,crisis_state,prior_cash_weight,target_cash_weight,policy_cash_floor,equity_drawdown,equity_drawdown_cash_floor,base_cash_floor,turnover_from_cash_action,estimated_cost_usd,cash_action
2019-07-23,2019-07-24,concentrated,WATCH,0.1166876483881258,0.25,0.25,-0.004927695324834169,0.0,0.1125476455995199,0.1333123516118742,34.47705872124786,RAISE_CASH
2019-07-25,2019-07-26,concentrated,GREEN,0.25,0.15,0.03,0.0,0.0,0.1101617873707673,0.1,26.325731669911494,RELEASE_CASH
2019-07-26,2019-07-29,concentrated,GREEN,0.15,0.108739387606596,0.03,0.0,0.0,0.108739387606596,0.04126061239340399,10.995133299643346,RELEASE_CASH
2019-08-01,2019-08-02,concentrated,WATCH,0.108739387606596,0.2323908833309114,0.03,-0.007520578883130624,0.0,0.2323908833309114,0.1236514957243154,32.70285840439431,RAISE_CASH
2019-09-03,2019-09-04,concentrated,GREEN,0.2323908833309114,0.607883802937284,0.03,-0.038090092839204504,0.0,0.607883802937284,0.37549291960637254,96.6659293136205,RAISE_CASH
2019-09-24,2019-09-25,concentrated,GREEN,0.607883802937284,0.6379167936378168,0.03,-0.0848746377203703,0.45,0.6379167936378168,0.03003299070053289,7.355572049663132,RAISE_CASH
2019-10-01,2019-10-02,concentrated,WATCH,0.6379167936378168,0.5512957660136875,0.25,-0.08618940745110282,0.45,0.5512957660136875,0.08662102762412938,21.18443082480121,RELEASE_CASH
2019-11-01,2019-11-04,concentrated,GREEN,0.5512957660136875,0.4512957660136875,0.03,-0.07974085599281466,0.0,0.1876946846609983,0.09999999999999998,24.62903647350986,RELEASE_CASH
2019-11-14,2019-11-15,concentrated,GREEN,0.4512957660136875,0.3512957660136875,0.03,-0.07714827943244484,0.0,0.1870539737937036,0.09999999999999998,24.69842199723057,RELEASE_CASH
2019-11-15,2019-11-18,concentrated,GREEN,0.3512957660136875,0.2512957660136875,0.03,-0.060791112278475556,0.0,0.1829323064421471,0.09999999999999998,25.13619136802344,RELEASE_CASH
2019-11-18,2019-11-19,concentrated,GREEN,0.2512957660136875,0.1824207885560477,0.03,-0.058613275455533076,0.0,0.1824207885560477,0.06887497745763982,17.35269045667178,RELEASE_CASH
2019-11-20,2019-11-21,concentrated,GREEN,0.1824207885560477,0.45,0.03,-0.09231792094977487,0.45,0.1891479334998114,0.2675792114439523,65.00150482817001,RAISE_CASH
2019-11-26,2019-11-27,concentrated,GREEN,0.45,0.35,0.03,-0.07280192114484019,0.0,0.1831375839067431,0.10000000000000003,24.81474425003237,RELEASE_CASH
2019-11-27,2019-11-29,concentrated,GREEN,0.35,0.24999999999999997,0.03,-0.07700424460901145,0.0,0.1841287376309173,0.1,24.702276823279195,RELEASE_CASH
2019-11-29,2019-12-02,concentrated,GREEN,0.24999999999999997,0.45,0.03,-0.08416106711341886,0.45,0.1856445257672191,0.20000000000000004,49.021475372045515,RAISE_CASH
2019-12-18,2019-12-19,concentrated,GREEN,0.45,0.35,0.03,-0.07842263743392408,0.0,0.1199140233615437,0.10000000000000003,24.664316158779393,RELEASE_CASH
2019-12-19,2019-12-20,concentrated,GREEN,0.35,0.24999999999999997,0.03,-0.06647164772483793,0.0,0.1178051550353326,0.1,24.984162327498712,RELEASE_CASH
2019-12-20,2019-12-23,concentrated,GREEN,0.24999999999999997,0.14999999999999997,0.03,-0.0716751904722327,0.0,0.1185477432377837,0.1,24.84489911566145,RELEASE_CASH
