ticker,peak_market_value_usd,peak_weight,trough_market_value_usd,trough_weight,peak_to_trough_value_delta_usd
NET,64957.75,0.2858255163490276,0.0,0.0,-64957.75
DDOG,48984.20156860352,0.2155390958937301,0.0,0.0,-48984.20156860352
DXCM,23666.96401977539,0.1041388011648519,0.0,0.0,-23666.96401977539
PCTY,19502.699096679688,0.0858153036321021,0.0,0.0,-19502.699096679688
TSLA,15714.77963256836,0.0691477922617398,0.0,0.0,-15714.77963256836
