rank,ticker,target_weight,regime_state,row_type
1,GOOG,0.18,neutral,equity
2,LRCX,0.06333338795149054,neutral,equity
3,AMAT,0.06333338795149054,neutral,equity
4,VRT,0.06333338795149054,neutral,equity
5,GEV,0.06332029699790334,neutral,equity
6,GLW,0.06258909684882219,neutral,equity
7,FTI,0.06196077698323383,neutral,equity
8,NXPI,0.06109422923451814,neutral,equity
9,WELL,0.06103543608105076,neutral,equity
10,TER,0.04,neutral,equity
11,ON,0.04,neutral,equity
12,PR,0.04,neutral,equity
13,DTM,0.04,neutral,equity
14,KIM,0.04,neutral,equity
15,MLI,0.04,neutral,equity
16,ECG,0.04,neutral,equity
17,TKR,0.04,neutral,equity
18,CASH,1.1102230246251565e-16,neutral,cash
