rebalance_date,source_rebalance_date,state,multiplier,stock_weight_sum
2019-05-31,2019-05-31,caution,0.9,0.7200000000000001
2019-06-03,2019-05-31,crisis,0.7,0.5599999999999999
2019-06-11,2019-05-31,caution,0.9,0.7200000000000001
2019-06-12,2019-05-31,normal,1.0,0.8
2019-06-28,2019-06-28,normal,1.0,0.8
2019-07-31,2019-07-31,normal,1.0,0.8
2019-08-05,2019-07-31,crisis,0.7,0.5599999999999999
2019-08-30,2019-08-30,crisis,0.7,0.5599999999999999
2019-09-09,2019-08-30,caution,0.9,0.7200000000000001
2019-09-10,2019-08-30,normal,1.0,0.8
2019-09-30,2019-09-30,normal,1.0,0.8
2019-10-02,2019-09-30,crisis,0.7,0.5599999999999999
2019-10-15,2019-09-30,caution,0.9,0.7200000000000001
2019-10-16,2019-09-30,normal,1.0,0.8
2019-10-31,2019-10-31,normal,1.0,0.8
2019-11-29,2019-11-29,normal,1.0,0.8
2019-12-31,2019-12-31,normal,1.0,0.8
2020-01-31,2020-01-31,normal,1.0,0.8
2020-02-27,2020-01-31,caution,0.9,0.7200000000000001
2020-02-28,2020-02-28,caution,0.9,0.7200000000000001
2020-03-09,2020-02-28,crisis,0.7,0.5599999999999999
2020-03-26,2020-02-28,caution,0.9,0.7200000000000001
2020-03-27,2020-02-28,crisis,0.7,0.5599999999999999
2020-03-30,2020-02-28,caution,0.9,0.7200000000000001
2020-03-31,2020-03-31,crisis,0.7,0.5599999999999999
2020-04-02,2020-03-31,caution,0.9,0.7200000000000001
2020-04-03,2020-03-31,crisis,0.7,0.5599999999999999
2020-04-06,2020-03-31,caution,0.9,0.7200000000000001
2020-04-07,2020-03-31,crisis,0.7,0.5599999999999999
2020-04-08,2020-03-31,caution,0.9,0.7200000000000001
2020-04-09,2020-03-31,crisis,0.7,0.5599999999999999
2020-04-13,2020-03-31,caution,0.9,0.7200000000000001
2020-04-14,2020-03-31,normal,1.0,0.8
2020-04-21,2020-03-31,crisis,0.7,0.5599999999999999
2020-04-22,2020-03-31,normal,1.0,0.8
