ticker,Name,sector,portfolio_sleeve_label,portfolio_candidate_gate_label,governance_catalyst_score,governance_catalyst_label,event_regime_label,live_event_alert_label,portfolio_monster_early_score,rs_acceleration_score,market_cap_live,ownership_flow_pillar_score,insider_cluster_boost_score,event_revision_pillar_score,selection_flow_confirmation_score,event_reaction_score,live_event_growth_reentry_score,live_event_defensive_score,live_event_risk_score,focus_live_event_growth_score,focus_event_stress_penalty
QCOM,QUALCOMM INC,Information Technology,unassigned,rejected,1.2860754781659955,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,1.4282878487887969,205593237426.7578,0.0666666666666666,0.0,1.97919437585699,0.2,5.272890508443322,0.7930302672809909,0.1179384947061152,0.0,0.267144557485797,0.0
NXPI,NXP Semiconductors,Semiconductors,future_winner,adr_global_alpha_fallback,1.2547994918696939,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,0.8601168289287076,76258885632.0,0.0666666666666666,0.0,1.967811600575312,0.2,5.079560966843549,0.7930302672809909,0.1179384947061152,0.0,0.3094992091573311,0.0
DVA,DAVITA INC,Health Care,early_scout,early_relaxed,1.1627772444729194,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,1.7890618258607265,12125453686.523438,0.0666666666666666,0.0,2.6207562272816705,0.2,3.595486481923241,0.7930302672809909,0.1179384947061152,0.0,0.2799858536289027,0.0
UI,UBIQUITI INC,Information Technology,future_winner,future_relaxed,1.1164030013004165,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,0.7524437781250137,61502109747.51434,0.0666666666666666,0.0,2.578574856420693,0.2,3.342566688587857,0.7930302672809909,0.1179384947061152,0.0,0.4692740430408684,0.0
URI,UNITED RENTALS INC,Industrials,unassigned,rejected,1.1028244231438538,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,-0.0383390758634359,59493554715.57013,0.0666666666666666,0.0,2.181636832818545,0.2,3.78129353234697,0.7930302672809909,0.1179384947061152,0.0,0.2178559394464896,0.0
SFM,SPROUTS FARMERS MARKET INC,Consumer Staples,unassigned,rejected,0.9403877833480546,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,2.740925757925787,7421506099.515129,0.0666666666666666,0.0,2.4777798569363023,0.2,2.3077715907405785,0.7930302672809909,0.1179384947061152,0.0,0.0349854810774859,0.0025478135135665
VRT,VERTIV HOLDINGS CLASS A,Industrials,core_compounder,core_strict,0.8972118650376152,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,0.0,136819564948.02832,0.0666666666666666,0.0,1.8548141581863853,0.2,2.846306711148261,0.7930302672809909,0.1179384947061152,0.0,0.514569147618446,0.0
EME,EMCOR GROUP INC,Industrials,future_winner,future_relaxed,0.8849975006868848,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,-0.5940279518081439,42123383672.48291,0.0666666666666666,0.0,1.9335561628482811,0.2,2.65988827592753,0.7930302672809909,0.1179384947061152,0.0,0.328872562948343,0.0
COHR,COHERENT CORP,Information Technology,future_winner,rejected,0.8760023783568721,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,-1.776393333658902,56962320275.39063,0.0666666666666666,0.0,1.3533956459091272,0.2,3.373468149646317,0.7930302672809909,0.1179384947061152,0.0,0.5350858193156188,0.0
CHDN,CHURCHILL DOWNS INC,Consumer Discretionary,unassigned,rejected,0.872457014370446,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,0.1146689983780638,6429017057.459808,0.0666666666666666,0.0,2.288904507458718,0.2,2.1052716355958534,0.7930302672809909,0.1179384947061152,0.0,0.1122880470113614,0.0016706367550987
SNDK,SANDISK CORP,Information Technology,unassigned,rejected,0.858493011276986,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,0.0,204543048862.42383,0.0666666666666666,0.0,0.6414978443778353,0.0,4.205936104488799,0.7930302672809909,0.1179384947061152,0.0,0.4949236769414304,0.0
IFF,INTERNATIONAL FLAVORS & FRAGRANCES,Materials,unassigned,rejected,0.8549209115916291,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,0.9663589148101576,20691069501.81038,0.0666666666666666,0.0,1.500960629225038,0.0,3.0361717267901502,0.7930302672809909,0.1179384947061152,0.0,0.1543747494724355,0.0
NVT,NVENT ELECTRIC PLC,Industrials,future_winner,future_relaxed,0.8450791882830978,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,-1.5222865287920238,27908906510.368347,0.0666666666666666,0.0,1.686717099420894,0.2,2.722884944472133,0.7930302672809909,0.1179384947061152,0.0,0.3685137007208554,0.0
OLED,UNIVERSAL DISPLAY CORP,Information Technology,unassigned,rejected,0.8190185829945035,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,-0.0510750437812079,4398323910.883438,0.0666666666666666,0.0,1.974154020687064,0.2,2.1750313061464883,0.7930302672809909,0.1179384947061152,0.0,0.0119858312522753,0.0054797751719267
ALAB,ASTERA LABS INC,Information Technology,future_winner,future_relaxed,0.8111096291541304,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,-1.94914706315661,35263754558.13628,0.0666666666666666,0.0,1.3090330121301572,0.2,3.0,0.7930302672809909,0.1179384947061152,0.0,0.2146877778500653,0.0
CIEN,CIENA CORP,Information Technology,future_winner,future_relaxed,0.8040139368656302,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,0.0,80391986254.05884,0.0666666666666666,0.0,1.2907742431138942,0.2,2.977040410098348,0.7930302672809909,0.1179384947061152,0.0,0.5781754816045801,0.0
FLEX,FLEX LTD,Information Technology,future_winner,future_relaxed,0.8013719947511705,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,0.0,48151678710.9375,0.0666666666666666,0.0,0.751047463393478,0.0,3.6790631689625055,0.7930302672809909,0.1179384947061152,0.0,0.4334711559783188,0.0
MRVL,MARVELL TECHNOLOGY INC,Information Technology,future_winner,future_relaxed,0.7920620999125879,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,1.425802622386409,146856281585.69336,0.0666666666666666,0.0,1.3613573249427646,0.2,2.8032507213062394,0.7930302672809909,0.1179384947061152,0.0,0.4232790173225728,0.0
NBIX,NEUROCRINE BIOSCIENCES INC,Health Care,future_winner,future_relaxed,0.7884159108026072,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,-0.1433156098353326,14592819523.756714,0.0666666666666666,0.0,2.0069947041186684,0.2,1.9180929550051629,0.7930302672809909,0.1179384947061152,0.0,0.1736351622421295,0.0
TLN,TALEN ENERGY CORP,Utilities,future_winner,future_relaxed,0.7876567856829573,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,0.0404737989397228,18555209111.25,0.0666666666666666,0.0,1.6742432379842012,0.2,2.3567007423867867,0.7930302672809909,0.1179384947061152,0.0,0.1713989754971615,0.0
AMD,ADVANCED MICRO DEVICES INC,Information Technology,core_compounder,core_strict,0.7287700967490458,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,0.0,672043882446.3413,0.0666666666666666,0.0,0.897335350104734,0.2,3.0,0.7930302672809909,0.1179384947061152,0.0,0.3973577028973412,0.0
MTZ,MASTEC INC,Industrials,future_winner,rejected,0.7128791229387982,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,0.5455729650178256,34281410045.665405,0.0666666666666666,0.0,1.1620656782819936,0.2,2.541086403695336,0.7930302672809909,0.1179384947061152,0.0,0.5285448196706558,0.0
FSLR,FIRST SOLAR INC,Information Technology,future_winner,future_relaxed,0.7104992307128707,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,-2.2568493076824856,23356063047.264328,0.0666666666666666,0.0,1.9357489503298055,0.2,1.4957000451343427,0.7930302672809909,0.1179384947061152,0.0,0.1204233473690938,0.0012343714053636
