rebalance_date,regime_state,gross_return,cost,turnover,net_return,cash_weight,n_positions,selected_tickers,equity,drawdown
2019-04-30,bull,-0.013420311064151624,0.002231308640685206,0.4462617281370411,-0.01565161970483683,0.10747654372591775,11,"GDDY,NOW,SBUX,SHOP,PAYC,CPRT,MELI,UNH,CDNS,UI,W",0.9843483802951631,-0.01565161970483686
2019-05-31,bear,0.053933187019153346,0.0026430632885016355,0.5286126577003271,0.05129012373065171,0.40824018257176387,8,"HEI,MA,SBUX,HD,SHOP,MELI,NOW,TSCO",1.0348357305145688,0.0
2019-06-28,neutral,0.03009633100150727,0.0007926513539577348,0.15853027079154694,0.029303679647549534,0.2835924577876753,10,"HEI,MA,PAYC,SHOP,SBUX,PODD,MELI,NOW,WING,HD",1.0651602252494055,0.0
2019-07-31,neutral,0.05841205369513983,0.0012139920957066992,0.24279841914133984,0.057198061599433137,0.2663698311699453,10,"HEI,PODD,MA,MELI,FICO,PAYC,V,HD,CSGP,SHOP",1.126085325426487,0.0
2019-08-30,neutral,-0.08100688026401903,0.0024401772217341466,0.48803544434682933,-0.08344705748575318,0.22220259146405152,10,"HUBS,TREX,MA,PAYC,SHOP,LRCX,V,RNG,HEI,WING",1.03211681854176,-0.0834470574857532
2019-09-30,neutral,0.0024270222286315157,0.0022064119045587536,0.4412823809117507,0.0002206103240727621,0.3138066686934674,9,"PODD,TREX,LRCX,MA,LULU,ENTG,DG,AMT,TER",1.0323445141675793,-0.08324485644407531
2019-10-31,neutral,0.0032639521588486973,0.003179816473986504,0.6359632947973007,8.413568486219337e-05,0.12154481513703996,13,"CROX,CAT,RH,V,MA,ROKU,AMD,PODD,LRCX,BLD,HD,DLTR,DELL",1.0324313711802926,-0.08316772462222122
2019-11-29,bull,0.040207043974582676,0.003266141273565537,0.6532282547131074,0.03694090270101714,0.06678238681684223,12,"DELL,UI,MA,RH,DXCM,FTNT,AMD,QRVO,BABA,PCTY,V,CPRT",1.0705703180085415,-0.049299112744338514
2019-12-31,neutral,-0.015286298879481578,0.0020579127432298334,0.41158254864596666,-0.017344211622711412,0.060498865141967006,11,"AMD,LRCX,UI,MA,QRVO,BABA,RH,V,RNG,SWKS,FTNT",1.052002119856008,-0.06578827012280031
2020-01-31,neutral,-0.03066154862704535,0.0025160050451389733,0.5032010090277946,-0.03317755367218432,0.20093342193991726,10,"AMD,PCTY,MA,FTNT,PAYC,ADBE,BABA,FICO,NOW,CHTR",1.0170992630612334,-0.09678312993198535
2020-02-28,bear,-0.10610738159309911,0.0022392634094667747,0.447852681893355,-0.10834664500256588,0.4512374657964261,9,"MA,ETSY,NOW,BABA,FRPT,RUN,V,TT,ALLE",0.9068999702739666,-0.1946436475135731
2020-03-31,deep_bear,0.0954544803267933,0.001583566727401381,0.3167133454802762,0.09387091359939191,0.4273701617679623,6,"BABA,MA,VEEV,RGEN,NOW,CNC",0.9920314990268452,-0.11904411093259837
2020-04-30,bear,0.1000763810543709,0.0013803685721442954,0.2760737144288591,0.0986960124822266,0.2800621267492994,8,"BABA,TSCO,ETSY,NOW,VEEV,AMZN,RGEN,ZTO",1.0899410522375608,-0.032097277508911004
2020-05-29,neutral,0.0623045319740949,0.0027074167543770667,0.5414833508754133,0.05959711521971783,0.08108357249593823,12,"EIX,TWLO,VEEV,NOW,ETSY,V,SE,NRG,APPF,MELI,MDB,JD",1.1548983947104632,0.0
2020-06-30,bull,0.1228580394388783,0.0020615933826542967,0.4123186765308593,0.120796446056224,0.07476734952647768,11,"ETSY,MELI,NOW,TWLO,AMZN,SE,V,XYZ,ZTO,APPF,SHOP",1.2944060163475255,0.0
2020-07-31,bull,0.062137057912632014,0.0010441320920920234,0.20882641841840469,0.06109292582053999,0.16258961887510937,11,"MELI,TWLO,ETSY,NOW,SE,JD,XYZ,ZTO,SAM,DOCU,PDD",1.3734850670859056,0.0
2020-08-31,neutral,-0.029951761585819213,0.002842585040830984,0.5685170081661968,-0.0327943466266502,0.04999999999999993,12,"SE,SAM,META,LOW,ETSY,TSLA,JD,NOW,AMD,AMZN,MELI,VEEV",1.3284425217093625,-0.03279434662665015
2020-09-30,neutral,0.03981962798052872,0.001486401170099761,0.2972802340199522,0.03833322681042896,0.20889548991092477,10,"SAM,TSLA,JD,ROKU,LOW,NOW,SE,ETSY,META,AMD",1.3793660101986658,0.0
2020-10-30,neutral,0.0729920545318023,0.003188300601996135,0.637660120399227,0.06980375392980616,0.2667122800377463,11,"PCTY,LOW,PAYC,PWR,DAR,GOOG,GOOGL,MELI,MU,SE,ALGN",1.475650935753712,0.0
2020-11-30,neutral,0.05550094489721252,0.0030097762077817263,0.6019552415563453,0.052491168689430795,0.277342774004554,11,"QCOM,ROKU,LRCX,LSCC,TER,ETSY,PCTY,PAYC,XYZ,MU,GOOG",1.5531095779490764,0.0
2020-12-31,bull,0.054497680505057676,0.00176588832341041,0.353177664682082,0.052731792181647266,0.237135792578818,11,"ENPH,QCOM,FRHC,PDD,ROKU,TER,LRCX,Z,LSCC,MU,XYZ",1.635007829448813,0.0
2021-01-29,neutral,-0.017208498888834568,0.0020978006243441223,0.41956012486882444,-0.01930629951317869,0.1496748059284312,11,"ALNY,IRDM,QCOM,AMAT,FRHC,PDD,ENPH,ROKU,ETSY,XYZ,MELI",1.603441878587082,-0.01930629951317875
2021-02-26,neutral,-0.07155386678591351,0.0034153146279953784,0.6830629255990757,-0.07496918141390889,0.21358322779692795,9,"DXCM,AMAT,ETSY,TER,LRCX,ASML,ZG,Z,MOH",1.4832331535046284,-0.09282810345645276
2021-03-31,bull,0.004818603132625105,0.001957721637016316,0.39154432740326317,0.002860881495608789,0.2793796333248928,11,"AMAT,TER,WSM,ASML,LRCX,UNH,LOW,ENTG,SAM,KLAC,FUTU",1.4874765077871632,-0.09023279216429503
2021-04-30,bull,-0.022025033235112706,0.002302871463824084,0.46057429276481676,-0.02432790469893679,0.20943840979299022,10,"TREX,LPX,UNH,AMAT,PWR,WSM,RH,PODD,TER,SAM",1.4512893210638098,-0.11236552209473982
2021-05-28,bull,0.054342830780231464,0.002980203226977762,0.5960406453955523,0.0513626275532537,0.06652436704445719,12,"ALNY,NVDA,LOW,LPX,WSM,ASML,RH,FTNT,AMAT,POOL,STLD,IDXX",1.5258313539336248,-0.06677428300266508
2021-06-30,bull,0.034828807537233095,0.0020141030864279244,0.4028206172855849,0.03281470445080517,0.1817726890535334,12,"ALNY,NVDA,LOW,MDB,DOCU,SHOP,GOOG,IDXX,FTNT,DXCM,FRHC,CROX",1.5759010588547286,-0.036150756913506776
2021-07-30,neutral,0.05191870861876483,0.0020813174775457066,0.4162634955091413,0.04983739114121913,0.09934436395633872,12,"ALNY,DXCM,MA,AMD,NVDA,FTNT,GOOG,GOOGL,CROX,ARES,SHOP,DOCU",1.6544398563247331,0.0
2021-08-31,bull,-0.02866206436373228,0.0027240713032380256,0.5448142606476051,-0.03138613566697031,0.22021321519375503,11,"LRCX,RGEN,NVDA,DKS,DXCM,FTNT,PCTY,DOCU,HUBS,CROX,GOOG",1.602513382541282,-0.03138613566697035
2021-09-30,neutral,0.054669839851260074,0.0028609368065430317,0.5721873613086064,0.05180890304471704,0.06448137404916388,12,"DXCM,EXPE,RGEN,RH,PCTY,MDB,MPWR,CPRT,GOOGL,GOOG,DDOG,PWR",1.685537843005225,0.0
2021-10-29,bull,-0.002155918649074809,0.0027592044698469733,0.5518408939693946,-0.0049151231189217826,0.20000000000000007,11,"DDOG,PCTY,MDB,SAIA,RH,GOOG,TSLA,GOOGL,NVDA,BE,HUBS",1.6772532169852525,-0.004915123118921727
2021-11-30,neutral,-0.011013476904442229,0.002844996921723828,0.5689993843447656,-0.013858473826166057,0.04999999999999993,13,"AMD,TSLA,GOOG,GOOGL,EXPE,BLDR,GDDY,SAIA,ENPH,NVDA,LRCX,TTD,HLI",1.6540090471778097,-0.018705480839991795
2021-12-31,bull,-0.0947729110569894,0.001970828299185249,0.39416565983704976,-0.09674373935617465,0.034423336449618924,13,"BLDR,GDDY,WMS,GOOG,GOOGL,SAIA,AMD,BLD,TSLA,ON,EXPE,LRCX,KNSL",1.493994027024885,-0.11363958203325031
2022-01-31,neutral,0.022914097376517308,0.0022472730686909533,0.4494546137381907,0.020666824307826355,0.050000000000000044,12,"BLDR,AAPL,QCOM,GOOG,GOOGL,GDDY,KLAC,EXPE,LNG,MA,SAIA,ON",1.5248701390983501,-0.09532132700172002
2022-02-28,bear,0.021921245410560796,0.0038122997703743775,0.7624599540748754,0.01810894564018642,0.25439678853795944,10,"FCX,LPX,OLN,FTNT,MA,MTDR,WMB,AAPL,NUE,LAD",1.5524839295556256,-0.07893855009055817
2022-03-31,neutral,-0.055257073172333374,0.0026000806294069175,0.5200161258813835,-0.057857153801740294,0.19692924398087241,10,"FCX,BLDR,FANG,STLD,AM,DAR,MOS,FTNT,OLN,OKE",1.4626616280685958,-0.13222854405882256
2022-04-29,bear,0.017118224143819662,0.001883702251828394,0.37674045036567877,0.015234521891991268,0.29999999999999993,9,"BLDR,MA,FCX,LPX,LOW,DAR,STLD,RS,MOS",1.4849445786619826,-0.11900846081604155
2022-05-31,bear,-0.14016800359942935,0.0024749955384754346,0.4949991076950869,-0.1426429991379048,0.27684834297592464,9,"FANG,VLO,STLD,LPX,WCC,MA,ALB,DVN,VICI",1.273127630408065,-0.24467573618036031
2022-06-30,bear,0.03617098882042616,0.002376651694156148,0.4753303388312296,0.03379433712627001,0.37512505337293334,9,"FANG,VICI,UTHR,HALO,PAG,AFG,HD,VLO,LOW",1.3161521347548446,-0.21915005336918758
2022-07-29,bear,0.04584543686892006,0.002250034296419516,0.45000685928390316,0.04359540257250054,0.3703702839464229,9,"FANG,CELH,MA,WCC,ENPH,ALB,AM,HD,WMS",1.373530316916138,-0.18510858559710186
2022-08-31,bear,-0.03489296390385683,0.002128748802607872,0.42574976052157437,-0.0370217127064647,0.2777041443352969,10,"MCK,AM,CELH,ENPH,WCC,LOW,OGE,FSLR,DKS,CHRW",1.3226798721296493,-0.21527726142809056
2022-09-30,bear,0.05521895948452598,0.001733404779410634,0.3466809558821268,0.053485554705115346,0.35618761053434966,9,"LOW,FSLR,AM,DKS,MCK,LPX,CELH,WMS,VRTX",1.3934241387877948,-0.17330593046585463
2022-10-31,bear,-0.001542082996475497,0.0022198599902702233,0.44397199805404464,-0.00376194298674572,0.41390592489691524,8,"WCC,LOW,FANG,VRTX,AFG,DLTR,FSLR,CHRD",1.38818215662132,-0.17641590642292293
2022-11-30,neutral,-0.058416721114313765,0.0035738376060309215,0.7147675212061843,-0.06199055872034469,0.05122646654601137,13,"ELF,FSLR,OGE,TPL,V,DKS,CPRT,MA,LNG,JBL,AXON,LSCC,CAR",1.3021279691267513,-0.22747034453695447
2022-12-30,bear,0.10509472476931929,0.002360735886818722,0.47214717736374434,0.10273398888250057,0.25,10,"MA,V,CPRT,DKS,ACLS,ELF,OGE,HALO,COR,AVGO",1.435900769430612,-0.148105291501212
2023-01-31,neutral,0.04843456035021645,0.0020815077732878884,0.4163015546575777,0.04635305257692856,0.04999999999999993,12,"OGE,LSCC,ACLS,MA,DKS,CPRT,FSLR,AMKR,STLD,ELF,LNG,NOC",1.5024591532912812,-0.10861737128816051
2023-02-28,neutral,-0.02665834117671665,0.0032559373717721946,0.6511874743544389,-0.029914278548488844,0.23895419017996988,11,"BLDR,STLD,EXPE,ACLS,RS,ORLY,LNG,WFRD,SCCO,ELF,PEN",1.4575141716719993,-0.1352824395367307
2023-03-31,bull,-0.026965456494307205,0.0022191802602218344,0.4438360520443669,-0.02918463675452904,0.039748331996660946,11,"AVGO,BLDR,STLD,LSCC,ACLS,NUE,ELF,ANET,MA,FTNT,PEN",1.4149771500071735,-0.1605189074341138
