rebalance_date,target_n,single_name_cap,gross_return,cost,turnover,net_return,cash_weight,n_positions,selected_tickers,equity,drawdown
2019-04-30,3,0.5,-0.13610046165257111,0.0025,0.5,-0.13860046165257112,0.0,3,"AMZN,MU,AAPL",0.8613995383474289,-0.13860046165257112
2019-05-31,3,0.5,0.07439009619210861,0.005,1.0,0.0693900961921086,0.0,3,"V,TGT,KO",0.9211721351731949,-0.07882786482680515
2019-06-28,3,0.5,0.014360516016051383,0.005,1.0,0.009360516016051382,0.0,3,"AMZN,HD,AAPL",0.9297947816980239,-0.07020521830197612
2019-07-31,3,0.5,-0.01882171343550755,0.005,1.0,-0.02382171343550755,0.0,3,"GOOG,GOOGL,INTC",0.9076454768545833,-0.0923545231454167
2019-08-30,3,0.5,-0.028663487560416624,0.00377940596911835,0.7558811938236699,-0.03244289352953497,0.0,3,"ABT,CRM,GOOG",0.8781988312864261,-0.12180116871357394
2019-09-30,3,0.5,0.05320597141363901,0.00377940596911835,0.7558811938236699,0.04942656544452066,0.0,3,"INTC,NRG,GOOG",0.9216051832943062,-0.07839481670569381
2019-10-31,3,0.5,0.005359530180905327,0.0037700558480371262,0.7540111696074252,0.0015894743328682005,0.0,3,"GOOG,CRM,GOOGL",0.9230700510781907,-0.07692994892180927
2019-11-29,3,0.5,-0.035497415469251184,0.0025,0.5,-0.037997415469251186,0.0,3,"XYZ,CRM,GOOG",0.8879957748401498,-0.1120042251598502
2019-12-31,3,0.5,0.022968199753689536,0.005,1.0,0.017968199753689535,0.0,3,"V,AVGO,PLNT",0.90395146030291,-0.09604853969709004
2020-01-31,3,0.5,0.008710014794643495,0.005,1.0,0.0037100147946434953,0.0,3,"XYZ,AMZN,PYPL",0.9073051335942732,-0.09269486640572677
2020-02-28,3,0.5,-0.2343906157469908,0.005,1.0,-0.2393906157469908,0.0,3,"ETSY,CSGP,HUBS",0.6901047989927344,-0.30989520100726564
2020-03-31,3,0.5,0.2346850226815435,0.005,1.0,0.2296850226815435,0.0,3,"AMZN,VEEV,MOH",0.8486115354020225,-0.1513884645979775
2020-04-30,3,0.5,0.03830866471335888,0.0025,0.5,0.035808664713358876,0.0,3,"AMZN,ABT,COST",0.8789991813451222,-0.12100081865487777
2020-05-29,3,0.5,-0.02817988012965975,0.0028354374539149717,0.5670874907829944,-0.03101531758357472,0.0,3,"COST,ABT,GOOGL",0.8517367425800011,-0.1482632574199989
2020-06-30,3,0.5,0.13277144450171197,0.005,1.0,0.12777144450171196,0.0,3,"MELI,NOW,AMZN",0.9605643765146307,-0.03943562348536933
2020-07-31,3,0.5,0.09400503720128597,0.0025,0.5,0.09150503720128597,0.0,3,"MELI,MA,CMCSA",1.048460855521832,0.0
2020-08-31,3,0.5,-0.04062672862343821,0.005,1.0,-0.04562672862343821,0.0,3,"AMZN,SE,JD",1.0006230165946395,-0.045626728623438195
2020-09-30,3,0.5,-0.09113492712189944,0.005,1.0,-0.09613492712189944,0.0,3,"MA,CMCSA,APH",0.9044281958178186,-0.13737533351431275
2020-10-30,3,0.5,0.19120176436156977,0.005,1.0,0.18620176436156977,0.0,3,"COST,MU,ADI",1.0728343216174476,0.0
2020-11-30,3,0.5,0.0443223354069768,0.005,1.0,0.0393223354069768,0.0,3,"CSCO,COR,BURL",1.1150206726482053,0.0
2020-12-31,3,0.5,0.022383014625110404,0.0026151639412700396,0.5230327882540079,0.019767850683840363,0.0,3,"CSCO,CIEN,AZO",1.1370622348145103,0.0
2021-01-29,3,0.5,0.04246359087706474,0.0025,0.5,0.03996359087706474,0.0,3,"INTC,CSCO,CIEN",1.1825033247683985,0.0
2021-02-26,3,0.5,-0.07217116792803659,0.005,1.0,-0.07717116792803659,0.0,3,"DXCM,MSFT,V",1.0912481621172347,-0.07717116792803669
2021-03-31,3,0.5,0.07353765652728489,0.002822525124009142,0.5645050248018284,0.07071513140327575,0.0,3,"MSFT,SPGI,MCO",1.1684159192949382,-0.01191320580533628
2021-04-30,3,0.5,-0.057274849130624306,0.005,1.0,-0.0622748491306243,0.0,3,"DXCM,MA,AMZN",1.095652994199026,-0.07344616184177133
2021-05-28,3,0.5,0.02495987507368207,0.005,1.0,0.01995987507368207,0.0,3,"HD,DHR,V",1.1175220910873442,-0.054952262983092526
