signal,ic_all,n_all,ic_deep_bear,n_deep_bear,ic_bear,n_bear,ic_neutral,n_neutral,ic_bull,n_bull,ic_strong_bull,n_strong_bull
rs_acceleration_score,0.06333704992459332,1216,0.6190476190476191,8,0.05475402336290195,163,0.04345517130349389,508,0.0814378023058593,211,0.26837252006084666,8
h1_oversold_value_score,0.007317098148027079,1216,,8,,163,0.015305781493183332,508,,211,,8
h6_dynamic_leader_score,0.0031473324534522524,1216,-0.24743582965269675,8,-0.16868136629245045,163,0.04496669243290708,508,0.1259620192768295,211,0.027950849718747367,8
stage2_overext_penalty,,1216,,8,,163,,508,,211,,8
theme_phase_multiplier_primary,-0.03835753498853397,1216,-0.12770236105969923,8,-0.027924462320660967,163,-0.012065126477562095,508,0.003744651265085753,211,0.0,8
theme_phase_multiplier_max,-0.029614125040538702,1216,-0.12770236105969923,8,-0.033470912201637865,163,0.009959852588195706,508,0.020812619525916735,211,0.0,8
explosion_entry_score,,1216,,8,,163,,508,,211,,8
explosion_exit_score,,1216,,8,,163,,508,,211,,8
explosion_net_score,,1216,,8,,163,,508,,211,,8
portfolio_monster_early_score,0.037304358133288015,1216,,8,,163,,508,,211,,8
entry_quality_score,-0.0180648168809906,1216,-0.5783552312542559,8,0.026389769960664836,163,-0.02185885152449521,508,0.027224236776591623,211,0.225,8
breakout_setup_quality_score,,1216,,8,,163,,508,,211,,8
selection_confirmation_score,-0.006823192186467151,1216,,8,-0.10336228971659556,163,0.07900070322487884,508,0.08603848432200747,211,,8
portfolio_risk_entry_block_score,0.036899613876727556,1216,,8,,163,,508,,211,,8
portfolio_hold_policy_exit_risk,,1216,,8,,163,,508,,211,,8
broken_momentum_penalty,,1216,,8,,163,,508,,211,,8
relative_strength_composite,,1216,,8,,163,,508,,211,,8
