ticker,drawdown_pnl_usd,drawdown_contribution_return_on_start
NVDA,-26683.238231658936,-0.25996262245394797
NET,-25732.099060058597,-0.25069610722737656
TSLA,-23520.899322509766,-0.2291533964981872
DDOG,-18375.300689697266,-0.17902217542718968
SAIA,-13486.019500732418,-0.13138813833007243
ENPH,-13263.118896484377,-0.12921651938623152
U,-9556.629791259766,-0.09310588620423817
SRE,-7807.970764160158,-0.07606949869699667
CAR,-6340.255859375,-0.061770221662097786
ON,-4110.0600662231445,-0.04004244102542677
BLDR,-3663.860076904297,-0.035695317998034014
STLD,-3132.8202896118164,-0.030521639506187897
ADM,-2454.748008728028,-0.023915490476542157
SNOW,-1820.0,-0.017731430074511237
MA,-1700.0726928710938,-0.016563033008368033
RKLB,-1597.589916229248,-0.015564590048001746
ANET,-1576.9872188568115,-0.015363867362394232
CIEN,-1549.7999572753924,-0.015098994270279739
BE,-1546.2207641601562,-0.015064123823880848
MDB,-1003.3801879882812,-0.009775475627178105
DXCM,-864.4896240234375,-0.008422328196984666
RGLD,-853.2809143066406,-0.008313126849419348
VST,-847.0481986999512,-0.008252404343400487
V,-752.3043212890625,-0.007329357949280027
BWA,-681.2714767456055,-0.006637317336084457
DBX,-603.2000885009766,-0.005876703401205526
FSLR,-572.4005126953125,-0.005576637178830394
AMD,-539.8500823974609,-0.005259513179532807
PCTY,-511.6798095703125,-0.004985063057107265
LAD,-507.6374816894531,-0.004945680499877756
DAR,-480.69988250732376,-0.004683239754672736
HIMX,-396.38289070129395,-0.0038617777523091345
DDS,-393.09576416015625,-0.003829752777358446
PLNT,-239.72003173828125,-0.002335482956168653
CW,-204.2037963867183,-0.0019894644706488058
LOW,-198.98156738281295,-0.001938586674815931
AMZN,-190.04997253417991,-0.0018515702190398861
REXR,-174.64749526977562,-0.0017015109066288784
HUBS,-154.3005371093759,-0.0015032797715463875
SNX,-142.56776428222656,-0.0013889727160712644
OKE,-131.8317527770996,-0.0012843766516304365
HLI,-107.28282928466797,-0.0010452076844268223
HII,-103.24365234375,-0.001005855825368325
EHC,-99.19812011718795,-0.0009664420496598268
AAPL,-91.75794982910156,-0.0008939558632830905
GOOG,-85.87957763671875,-0.0008366855635681525
GOOGL,-69.23487854003861,-0.0006745238503021832
NOW,-60.32000732421875,-0.0005876703252546101
FCX,-21.79764175415039,-0.00021236448382030998
CNC,57.200050354003906,0.0005572740072035946
COO,70.74405670166016,0.0006892270849410688
FTNT,78.19976806640625,0.0007618646809409227
KNSL,80.49273681640625,0.0007842040298715075
DVA,86.09993743896484,0.0008388324286367018
FDS,203.72900390625045,0.0019848387840184106
AM,209.58760929107666,0.0020419165047410484
DPZ,1190.9280700683594,0.01160266911988447
KMI,1213.389904975891,0.011821504534724093
LPX,1468.2860031127939,0.01430484098548247
VICI,1575.260248184204,0.015347042274634855
AVGO,1653.000175476077,0.016104426936598276
LNG,2167.9451904296875,0.021121301400811514
FANG,2564.6361389160156,0.02498608041964496
FICO,3186.93994140625,0.031048902594896628
BRKR,3235.6571769714355,0.03152353240580189
EXE,4925.702049255371,0.047988868930905676
WCC,5022.805160522461,0.048934900264669345
MEDP,5459.580017089844,0.05319019852155354
XOM,5474.0976486206055,0.05333163718547399
CHRW,6002.679611206055,0.058481370211974984
MOS,6879.302062988281,0.06702190301720748
BKR,7356.389179229736,0.07166994523758417
ACLS,12046.359870910645,0.11736219104585183
SQM,18805.98624420166,0.18321814839081427
