ticker,name,sector,score_rank,score,missed_winner_score,mom_1m,mom_3m,mom_6m,mom_12m,relative_strength_composite,entry_quality_score,future_winner_score,early_scout_score,portfolio_sleeve_label,diagnosis,policy_probe,production_activation_allowed
SNDK,SANDISK CORP,Information Technology,54,3.441574922684706,7.041044,0.5323358816670483,1.4147060360074208,4.40111929291703,34.06736041715983,5.009474391095076,0.0,0.9028946663446882,0.9125530001866109,unassigned,"strong_3m_momentum,strong_6m_momentum,strong_12m_momentum,high_relative_strength,entry_quality_chase_penalty,engine_likes_nonheld_name",fundamental_acceleration_override_replay,False
INTC,INTEL CORPORATION CORP,Information Technology,28,5.012511668384492,6.725764,0.8851276967042534,1.490991895526116,2.1284785052974686,4.423354339966228,5.009474391095076,0.0,0.8671378200067762,0.9564986572716535,core_compounder,"strong_3m_momentum,strong_6m_momentum,strong_12m_momentum,high_relative_strength,entry_quality_chase_penalty,engine_likes_nonheld_name",fundamental_acceleration_override_replay,False
STX,Seagate Technology,Information Technology,11,6.144798492197183,5.80061,0.5322247522592127,1.0104990943232495,1.7923530408355295,7.120494619963761,5.009474391095076,0.0,0.6587613231001471,0.7140977372836803,future_winner,"strong_3m_momentum,strong_6m_momentum,strong_12m_momentum,high_relative_strength,entry_quality_chase_penalty,engine_likes_nonheld_name",fundamental_acceleration_override_replay,False
LITE,LUMENTUM HOLDINGS INC,Information Technology,13,5.972715658236301,5.703007,0.20823417449231552,0.7947257867083242,2.9646386434315524,13.364560809930444,5.009474391095076,0.0,0.8927262831562207,0.7574305372217749,unassigned,"strong_3m_momentum,strong_6m_momentum,strong_12m_momentum,high_relative_strength,entry_quality_chase_penalty,engine_likes_nonheld_name",fundamental_acceleration_override_replay,False
HIMX,Himax Technologies,Information Technology,399,0.1512172923151161,5.453799,1.063126362426071,1.4957575942530776,1.5866834238585112,1.6230043950447377,4.875081006926121,0.0,0.8972010802592463,0.9564986572716535,early_scout,"strong_3m_momentum,strong_6m_momentum,strong_12m_momentum,high_relative_strength,entry_quality_chase_penalty,engine_likes_nonheld_name,ranking_mismatch",fundamental_acceleration_override_replay,False
RKLB,ROCKET LAB CORP,Industrials,87,2.7960431908374352,5.244835,0.7190528860070018,0.783251890664052,1.3921001517499758,4.839604900719634,4.509799511488334,0.0,0.9028946663446882,0.9564986572716535,future_winner,"strong_3m_momentum,strong_6m_momentum,strong_12m_momentum,high_relative_strength,entry_quality_chase_penalty,engine_likes_nonheld_name,ranking_mismatch",fundamental_acceleration_override_replay,False
FLEX,FLEX LTD,Information Technology,96,2.70647315916902,5.223296,0.794359921973399,1.2177669829343474,1.2595852361863482,2.5176125072050466,4.351875921243512,0.0,0.8110846958159986,0.9564986572716535,future_winner,"strong_3m_momentum,strong_6m_momentum,strong_12m_momentum,high_relative_strength,entry_quality_chase_penalty,engine_likes_nonheld_name,ranking_mismatch",fundamental_acceleration_override_replay,False
PL,Planet Labs,Information Technology,722,-3.4260995706741415,5.15719,0.20070737730739707,0.8817553069884285,2.0425691287441063,9.893048549353633,5.009474391095076,0.0,0.5828499254998032,0.766283297094966,early_scout,"strong_3m_momentum,strong_6m_momentum,strong_12m_momentum,high_relative_strength,entry_quality_chase_penalty,engine_likes_nonheld_name,ranking_mismatch",fundamental_acceleration_override_replay,False
AMD,ADVANCED MICRO DEVICES INC,Information Technology,17,5.815151274146037,4.849563,0.7465793202166895,1.0858694455504212,0.825969373724825,3.1204216489356638,3.658292058590314,0.0,0.9028946663446882,0.9564986572716535,core_compounder,"strong_3m_momentum,strong_6m_momentum,strong_12m_momentum,high_relative_strength,entry_quality_chase_penalty,engine_likes_nonheld_name",fundamental_acceleration_override_replay,False
BE,Bloom Energy,Industrials,305,0.7380433721264313,4.586876,0.32292385235137777,0.8629292932562997,1.0811608033994342,14.323110105962245,4.012441059111667,0.0,0.7366277804960888,0.7075443214496984,future_winner,"strong_3m_momentum,strong_6m_momentum,strong_12m_momentum,high_relative_strength,entry_quality_chase_penalty,engine_likes_nonheld_name,ranking_mismatch",fundamental_acceleration_override_replay,False
COHR,COHERENT CORP,Information Technology,19,5.433367328370406,4.54459,0.2880798103474078,0.804774406763336,1.4214850557771337,4.191076364680169,4.610840391770918,0.0,0.5823725248721245,0.6227601433386571,unassigned,"strong_3m_momentum,strong_6m_momentum,strong_12m_momentum,high_relative_strength,entry_quality_chase_penalty",fundamental_acceleration_override_replay,False
GLW,CORNING INC,Information Technology,14,5.968372181346839,4.028972,0.19494263253567135,0.5567753546669538,1.344187207416962,3.4629076977664752,4.4871997575559135,0.0,0.9028946663446882,0.9124288096070856,future_winner,"strong_3m_momentum,strong_6m_momentum,strong_12m_momentum,high_relative_strength,entry_quality_chase_penalty,engine_likes_nonheld_name",fundamental_acceleration_override_replay,False
