rebalance_date,ticker,Name,sector,industry_group,weight,period_forward_return,weighted_forward_return,concentrated_v2_score,concentrated_v2_stage,concentrated_v2_group,regime_state,portfolio_sleeve_label,portfolio_candidate_gate_label,portfolio_future_winner_engine_score,portfolio_monster_early_score,portfolio_stale_mega_leader_score,portfolio_risk_entry_block_score,rs_benchmark_3m,rs_acceleration_score,theme_horizon_primary,theme_holding_profile_primary,research_only_backtest,production_activation_allowed
2019-05-31,HEI,HEICO CORP,Industrials,Aerospace & Defense,0.15506799373995453,0.0960678287828531,0.014897045472310487,0.6009736787140505,new_full_exceptional,unknown,bear,future_winner,future_relaxed,0.5796513815873865,0.541614529446904,0.0,0.1083333333333333,0.3152364823842447,0.0532449126755429,unknown,neutral,True,False
2019-05-31,NOW,SERVICENOW INC,Information Technology,Software - Application,0.13648101820441338,0.0813358224960263,0.011100795870751102,0.5638070397404205,new_stage_65,structural_growth,bear,future_winner,future_relaxed,0.5796513815873865,0.5736660723726961,0.0,0.1333333333333333,0.094014621690066,-1.0646763545200115,structural_growth,long_duration,True,False
2019-05-31,SHOP,Shopify,Software,Software - Application,0.12813032179504186,0.1134242423125566,0.01453308466686668,0.5462863207330917,new_stage_65,unknown,bear,early_scout,adr_global_alpha_fallback,0.5796513815873865,0.5259075765404961,0.0,0.2416666666666667,0.453774204792951,-1.0021454259809586,unknown,neutral,True,False
2019-05-31,HD,HOME DEPOT INC,Consumer Discretionary,Specialty Retail,0.11751541422299064,0.1171100536242524,0.013762236461330667,0.5231687384435787,new_stage_65,unknown,bear,core_compounder,core_strict,0.5487490114359098,0.3861041980004491,0.0,0.0270833333333333,0.0513238863348849,0.3789407079013001,unknown,neutral,True,False
2019-05-31,FDS,FACTSET RESEARCH SYSTEMS INC,Financials,Capital Markets,0.1097275496769333,0.0279084119704284,0.0030623216608895018,0.5055361397025018,new_full_exceptional,unknown,bear,early_scout,early_relaxed,0.4541629692577665,0.4850663069908485,0.0,0.0,0.1947565188320844,0.1322565090976488,unknown,neutral,True,False
2019-05-31,AMT,AMERICAN TOWER REIT CORP,Real Estate,Equity REITs,0.10316800942707105,-0.024246913520589,-0.0025015058026695027,0.4901927603211517,new_full_exceptional,unknown,bear,future_winner,future_relaxed,0.4250761655051905,0.5324472062793145,0.0,0.1333333333333333,0.19720044034743,-0.4973635809201224,unknown,neutral,True,False
2019-05-31,MSCI,MSCI INC,Financials,Capital Markets,0.09990969293359524,0.0964051694702243,0.009631810878981321,0.48238987018407836,new_full_exceptional,unknown,bear,future_winner,future_relaxed,0.4279583494190678,0.4725359153035185,0.0,0.0,0.1781287683569988,0.0512712641831165,unknown,neutral,True,False
2019-06-28,HEI,HEICO CORP,Industrials,Aerospace & Defense,0.16461078763033862,0.0312220847037651,0.00513949195454792,0.6495672048143636,held_full,unknown,neutral,future_winner,future_relaxed,0.6521438343998639,0.5771473372094856,0.0,0.2416666666666667,0.3733295583579423,-0.5482580665284456,unknown,neutral,True,False
2019-06-28,HD,HOME DEPOT INC,Consumer Discretionary,Specialty Retail,0.15971719262517678,0.0317120361377829,0.005064957384354839,0.6398391026839011,held_full,unknown,neutral,core_compounder,core_strict,0.6521438343998639,0.5034571490875366,0.0,0.0135416666666666,0.0535227621075204,0.4892001839093582,unknown,neutral,True,False
2019-06-28,MSCI,MSCI INC,Financials,Capital Markets,0.13477646815468527,-0.0586802286089476,-0.007908713962423479,0.5877626426402892,held_full,unknown,neutral,future_winner,future_relaxed,0.5774363563454038,0.5099036374752098,0.0,0.2416666666666667,0.1661994357463205,-0.1359388102489158,unknown,neutral,True,False
2019-06-28,TER,TERADYNE INC,Information Technology,Semiconductors,0.15231121974014997,0.1609308832307587,0.024511579118736502,0.6248285880689255,new_full_exceptional,structural_growth,neutral,unassigned,rejected,0.6292242919705102,0.4950609831136943,0.0,0.2166666666666666,0.1672719282224226,0.7312425753962261,structural_growth,long_duration,True,False
2019-06-28,SHOP,Shopify,Software,Software - Application,0.13734261666139252,0.0256318354898856,0.003520343356015234,0.5933317688347743,held_full,unknown,neutral,early_scout,adr_global_alpha_fallback,0.6521438343998639,0.4902997406505153,0.0,0.2416666666666667,0.4147891505883798,-1.5656055704574507,unknown,neutral,True,False
2019-06-28,VEEV,VEEVA SYSTEMS INC CLASS A,Health Care,Diagnostics & Research,0.13501131547691145,-0.0195024503246339,-0.002633051473351942,0.5882745064910443,new_stage_65,unknown,neutral,early_scout,early_relaxed,0.6521438343998639,0.5208825049400887,0.0,0.2416666666666667,0.2399878571165277,-2.134741309435201,unknown,neutral,True,False
2019-06-28,KBR,KBR INC,Industrials,Construction & Engineering,0.1162303997113454,0.0557767930836894,0.0064829589547342244,0.5458267419248827,new_stage_65,unknown,neutral,early_scout,early_relaxed,0.6002398136327356,0.534083713058249,0.0,0.3385416666666667,0.2729389193227747,1.3696918029932377,unknown,neutral,True,False
2019-07-31,HEI,HEICO CORP,Industrials,Aerospace & Defense,0.16416195480547424,0.0728850488979895,0.011964952103186531,0.6520033284542076,held_full,unknown,neutral,future_winner,future_relaxed,0.662151339271672,0.5539692462259431,0.0,0.2416666666666667,0.3060411231052888,-0.6758721949579765,unknown,neutral,True,False
2019-07-31,HD,HOME DEPOT INC,Consumer Discretionary,Specialty Retail,0.16141494384229005,0.0667320524193459,0.010771550493749475,0.6465251519115456,held_full,unknown,neutral,core_compounder,core_strict,0.662151339271672,0.5376849040896388,0.0,0.0,0.0630629246190925,0.455689640137389,unknown,neutral,True,False
2019-07-31,TER,TERADYNE INC,Information Technology,Semiconductors,0.16789711972294222,-0.0574468655040466,-0.009645163255240672,0.6593791012790782,held_full,structural_growth,neutral,early_scout,early_relaxed,0.662151339271672,0.5606695190514037,0.0,0.325,0.1264999278893148,0.183821258585088,structural_growth,long_duration,True,False
