rebalance_date,net_return,drawdown,regime_state
2020-02-28,-0.12795224050175438,-0.12795224050175447,bear
2022-05-31,-0.10602796503311795,-0.1836257885083067,bear
2022-03-31,-0.09948498423072512,-0.12514105571390133,neutral
2021-12-31,-0.08864006994414157,-0.08864006994414153,bull
2023-08-31,-0.08592135234817944,-0.12513865332641882,bull
2024-11-29,-0.08193411134309682,-0.0819341113430968,bull
2025-02-28,-0.05966474979310802,-0.06342297784176465,neutral
2023-03-31,-0.05940070232462837,-0.06516577915799482,bull
2024-05-31,-0.058478552257549186,-0.05847855225754928,neutral
2026-02-27,-0.05375764503285001,-0.053757645032849966,neutral
