date,ticker,shares,price,market_value_usd,weight,cost_basis,unrealized_pnl_usd,held_days
2019-05-01,FDS,122.0,253.60531616210938,30939.848571777344,0.3100569927018486,253.60531616210938,0.0,0
2019-05-01,NOW,504.0,54.08000183105469,27256.320922851562,0.2731433180046221,54.08000183105469,0.0,0
2019-05-01,VICI,1706.0,15.683971405029297,26756.85521697998,0.268138030588267,15.683971405029297,0.0,0
2019-05-02,FDS,122.0,255.95469665527344,31226.47299194336,0.3144816458420011,253.60531616210938,286.6244201660156,1
2019-05-02,NOW,504.0,52.534000396728516,26477.136199951172,0.2666510999014132,54.08000183105469,-779.1847229003906,1
2019-05-02,VICI,1706.0,15.683971405029297,26756.85521697998,0.26946814865588586,15.683971405029297,0.0,1
2019-05-03,FDS,122.0,259.96356201171875,31715.554565429688,0.3158637472039708,253.60531616210938,775.7059936523438,2
2019-05-03,NOW,504.0,53.70399856567383,27066.81527709961,0.26956570097693755,54.08000183105469,-189.50564575195312,2
2019-05-03,VICI,1706.0,15.704578399658203,26792.010749816895,0.26682884869970364,15.683971405029297,35.15553283691406,2
2019-05-06,FDS,122.0,264.6158447265625,32283.133056640625,0.31972483311458355,253.60531616210938,1343.2844848632812,5
2019-05-06,NOW,504.0,53.95000076293945,27190.800384521484,0.2692915244607841,54.08000183105469,-65.52053833007812,5
2019-05-06,VICI,1706.0,15.629009246826172,26663.08977508545,0.2640651981857379,15.683971405029297,-93.76544189453125,5
2019-05-07,FDS,122.0,259.4041748046875,31647.309326171875,0.3182949024412184,253.60531616210938,707.4607543945312,6
2019-05-07,NOW,504.0,52.96200180053711,26692.848907470703,0.26846508975899996,54.08000183105469,-563.4720153808594,6
2019-05-07,VICI,1706.0,15.38856029510498,26252.883863449097,0.2640401122886849,15.683971405029297,-503.9713535308838,6
2019-05-08,FDS,122.0,257.84722900390625,31457.361938476562,0.31728747633204263,253.60531616210938,517.5133666992188,7
2019-05-08,NOW,504.0,53.19599914550781,26810.783569335938,0.27042082784425514,54.08000183105469,-445.537353515625,7
2019-05-08,VICI,1706.0,15.264906883239746,26041.931142807007,0.2626659739387612,15.683971405029297,-714.9240741729736,7
