row_type,ticker,projected_shares,reference_price,projected_market_value_usd,projected_weight
equity,GOOG,132.0,397.239990234375,52435.6787109375,0.15939147207994178
equity,VRT,59.0,373.9800109863281,22064.82064819336,0.06707158810098207
equity,MRVL,119.0,184.6132049560547,21968.971389770508,0.06678023010250914
equity,LRCX,72.0,300.489990234375,21635.279296875,0.06576588881398954
equity,FTI,289.0,72.94000244140625,21079.660705566406,0.06407694595369264
equity,UMC,1214.0,17.299999237060547,21002.199073791504,0.06384148178460311
equity,PWR,27.0,775.489990234375,20938.229736328125,0.06364703084743731
equity,CBOE,57.0,364.8699951171875,20797.589721679688,0.06321952004717217
equity,FIX,10.0,2043.239990234375,20432.39990234375,0.06210943347399272
equity,HPE,393.0,33.53499984741211,13179.254940032959,0.04006166979146059
equity,PR,650.0,20.270000457763672,13175.500297546387,0.04005025660853284
equity,MLI,94.0,140.1300048828125,13172.220458984375,0.04004028671190071
equity,STM,203.0,64.78820037841797,13152.004676818848,0.03997883574267852
equity,TKR,112.0,117.0,13104.0,0.03983291341854768
equity,ON,110.0,118.91999816894531,13081.199798583984,0.03976360645510677
equity,AMD,29.0,449.5799865722656,13037.819610595703,0.03963174143128065
equity,NXPI,44.0,293.8612060546875,12929.89306640625,0.039303671476285114
cash,CASH,0.0,1.0,1787.457240574356,0.005433427159886635
