ticker,side,quantity,reference_price,limit_price,gross_value_usd,estimated_fee_usd,cash_impact_usd,current_shares,current_weight,target_weight,target_value_usd,current_value_usd,trade_value_delta_usd,order_type,time_in_force,reason,status,estimated_cash_after_usd,client_order_id,idempotency_key
MU,SELL,54.0,803.6300048828125,801.6209298706056,43396.020263671875,108.49005065917969,43287.530213012695,54.0,0.11893557071488525,0.0,0.0,43396.020263671875,-43396.020263671875,limit,day,target_rebalance,ready,133191.34713782417,r1k-M-20260513-S-MU-ff24729904e6,ff24729904e6e5f18837b99737a8e1e6983d0a292b5bfc3653ed55c654c76bd9
LRCX,SELL,103.0,295.44000244140625,294.7014024353027,30430.320251464844,76.07580062866211,30354.24445083618,103.0,0.0834004474178588,0.0,0.0,30430.320251464844,-30430.320251464844,limit,day,target_rebalance,ready,163545.59158866035,r1k-M-20260513-S-LRCX-fc6a15c9d675,fc6a15c9d675938af626b196438d76988e232ad3ddeafdc52d539acc24bc73f0
AMAT,SELL,55.0,436.6099853515625,435.5184603881836,24013.549194335938,60.03387298583984,23953.515321350096,55.0,0.06581398849399138,0.0,0.0,24013.549194335938,-24013.549194335938,limit,day,target_rebalance,ready,187499.10691001045,r1k-M-20260513-S-AMAT-aff3f38c20b2,aff3f38c20b2fa6313a6f58e770d6c25eb6bb89b5b45106c3248b5896672cc0b
BE,SELL,61.0,289.760009765625,289.035609741211,17675.360595703125,44.188401489257814,17631.17219421387,61.0,0.048442900691545325,0.0,0.0,17675.360595703125,-17675.360595703125,limit,day,target_rebalance,ready,205130.27910422432,r1k-M-20260513-S-BE-90fb823f1046,90fb823f1046ccd226dee2a8f37d6b6a4770fcf1c7f6ab3b839a45cf7b2a844c
KO,SELL,205.0,80.26000213623047,80.05935213088989,16453.300437927246,41.133251094818114,16412.167186832427,205.0,0.045093597657998016,0.0,0.0,16453.300437927246,-16453.300437927246,limit,day,target_rebalance,ready,221542.44629105675,r1k-M-20260513-S-KO-50c9c25dbd5f,50c9c25dbd5f3f76e3ecedb248422c75ca6020dc52a4e94f6a4432169bfe5209
ETR,SELL,117.0,112.3499984741211,112.0691234779358,13144.949821472168,32.86237455368042,13112.087446918487,117.0,0.03602639365398427,0.0,0.0,13144.949821472168,-13144.949821472168,limit,day,target_rebalance,ready,234654.53373797523,r1k-M-20260513-S-ETR-83afd3202bf2,83afd3202bf2d0338d402c3508634b229cdbc8e871051c9308daa7a24a338f6e
SCCO,SELL,52.0,191.88999938964844,191.41027439117434,9978.279968261719,24.9456999206543,9953.334268341065,52.0,0.027347494437677682,0.0,0.0,9978.279968261719,-9978.279968261719,limit,day,target_rebalance,ready,244607.8680063163,r1k-M-20260513-S-SCCO-fdb6578a9950,fdb6578a9950e97550faf18edd02dcf013e1673205df7b62a1cec52566a37a85
APH,SELL,80.0,124.63999938964844,124.32839939117433,9971.199951171875,24.92799987792969,9946.271951293946,80.0,0.027328090218854496,0.0,0.0,9971.199951171875,-9971.199951171875,limit,day,target_rebalance,ready,254554.13995761026,r1k-M-20260513-S-APH-b2acb59ece35,b2acb59ece3505f41f13b3de195efb391fd13f0badede9fb86444314a04e8010
ADI,SELL,22.0,432.3900146484375,431.30903961181644,9512.580322265625,23.78145080566406,9488.798871459961,22.0,0.026071150366453424,0.0,0.0,9512.580322265625,-9512.580322265625,limit,day,target_rebalance,ready,264042.9388290702,r1k-M-20260513-S-ADI-bbbfc41b26c6,bbbfc41b26c63f2da911571bab334aad0e14a339c2cb14d5a941f817cdf557e7
ATI,SELL,55.0,164.8300018310547,164.41792682647707,9065.650100708008,22.66412525177002,9042.985975456239,55.0,0.024846247699164742,0.0,0.0,9065.650100708008,-9065.650100708008,limit,day,target_rebalance,ready,273085.92480452644,r1k-M-20260513-S-ATI-0e9f2740b3d2,0e9f2740b3d298f3cc00d91002deab670549df5457ae39768694e0a64c34826e
BKNG,SELL,54.0,155.02999877929688,154.64242378234863,8371.619934082031,20.929049835205078,8350.690884246826,54.0,0.022944117654532328,0.0,0.0,8371.619934082031,-8371.619934082031,limit,day,target_rebalance,ready,281436.6156887733,r1k-M-20260513-S-BKNG-ae37deb536a9,ae37deb536a9b33106ae93c674aa50574a40d84633cd1e8d02be1219d737325b
RGLD,SELL,32.0,244.99000549316406,244.37753047943116,7839.68017578125,19.599200439453124,7820.080975341797,32.0,0.021486229157959662,0.0,0.0,7839.68017578125,-7839.68017578125,limit,day,target_rebalance,ready,289256.69666411506,r1k-M-20260513-S-RGLD-b9a8fcfcd8f1,b9a8fcfcd8f1e46d643a7545833f69805e52343674075767361a05322f7a1234
THC,SELL,38.0,195.86000061035156,195.3703506088257,7442.680023193359,18.6067000579834,7424.073323135376,38.0,0.02039816994342693,0.0,0.0,7442.680023193359,-7442.680023193359,limit,day,target_rebalance,ready,296680.76998725045,r1k-M-20260513-S-THC-e0ced731a1c2,e0ced731a1c28fc0c81de2a8895ecb77e4d5c8be3bc8a7e40ee216507f4a156c
VZ,SELL,140.0,47.209999084472656,47.091974086761475,6609.399871826172,16.52349967956543,6592.876372146607,140.0,0.018114397151219815,0.0,0.0,6609.399871826172,-6609.399871826172,limit,day,target_rebalance,ready,303273.64635939704,r1k-M-20260513-S-VZ-2750fed3a1e4,2750fed3a1e49b53c56fe75d439f523c0694a1fe9ff71a4a6b6dad2ca3d4d333
GEV,BUY,40.0,1062.5699462890625,1065.226371154785,42502.7978515625,106.25699462890626,-42609.05484619141,0.0,0.0,0.1193116586282239,43533.24345611184,0.0,43533.24345611184,limit,day,target_rebalance,ready,260664.59151320564,r1k-M-20260513-B-GEV-2d88578b655a,2d88578b655ada8eee4f6ed4df1115c3a4e6d69bf466ca5b69383f626e3d6c69
