ticker,shares,price,price_date,market_value_usd,cost_basis,current_weight
ADI,27.0,417.5799865722656,2026-05-12,11274.659637451172,351.30999755859375,0.030658749158555057
AEM,6.0,197.05999755859375,2026-05-12,1182.3599853515625,174.4594544497403,0.0032151461216261817
AKAM,1.0,147.55999755859375,2026-05-12,147.55999755859375,87.70999908447266,0.00040125423706437055
AMAT,74.0,428.260009765625,2026-05-12,31691.24072265625,353.0712115313556,0.0861767743845572
APH,135.0,127.55999755859375,2026-05-12,17220.599670410156,134.71176480781457,0.04682731564696313
ATO,1.0,182.77999877929688,2026-05-12,182.77999877929688,170.7711181640625,0.0004970266344148637
BKNG,54.0,160.47999572753906,2026-05-12,8665.91976928711,167.65056937588764,0.023564902975181937
BLD,1.0,418.6099853515625,2026-05-12,418.6099853515625,422.5,0.0011383100642372312
CNQ,18.0,46.560001373291016,2026-05-12,838.0800247192383,36.17146301269531,0.002278958840346104
COST,10.0,1021.3099975585938,2026-05-12,10213.099975585938,1001.3170776367188,0.027772090719496018
DKS,1.0,218.3800048828125,2026-05-12,218.3800048828125,222.56040798887915,0.0005938323644561703
ETR,150.0,112.95500183105469,2026-05-12,16943.250274658203,106.05122375488281,0.04607313008153898
FTI,150.0,73.25,2026-05-12,10987.5,67.44703674316406,0.02987788697945806
GOOG,36.0,382.95001220703125,2026-05-12,13786.200439453125,306.0150621202257,0.03748828565243554
GTLS,44.0,207.375,2026-05-12,9124.5,207.05999755859375,0.024811902593316504
KO,149.0,80.16500091552734,2026-05-12,11944.585136413574,79.67218017578125,0.03248045185185706
LEA,1.0,136.86000061035156,2026-05-12,136.86000061035156,106.74415588378906,0.0003721581460973511
LRCX,72.0,288.2900085449219,2026-05-12,20756.880615234375,150.94014312527705,0.0564433886751378
MLM,1.0,581.5800170898438,2026-05-12,581.5800170898438,618.4745483398438,0.0015814682157107294
MU,43.0,751.239990234375,2026-05-12,32303.319580078125,240.01231825086805,0.08784117692604221
NOC,1.0,555.780029296875,2026-05-12,555.780029296875,682.8330688476562,0.001511311299273895
PBA,16.0,46.86000061035156,2026-05-12,749.760009765625,40.50447082519531,0.00203879361396994
PEG,93.0,78.8499984741211,2026-05-12,7333.049858093262,83.82633209228516,0.01994048098974666
PH,1.0,884.4149780273438,2026-05-12,884.4149780273438,948.0860595703125,0.002404955700244902
PPL,2.0,36.470001220703125,2026-05-12,72.94000244140625,35.79212377439342,0.00019834294873499256
PR,490.0,20.155000686645508,2026-05-12,9875.950336456299,18.6336612701416,0.02685529264777084
RGLD,35.0,246.2100067138672,2026-05-12,8617.350234985352,303.7432556152344,0.023432829704964613
SCCO,54.0,190.13999938964844,2026-05-12,10267.559967041016,218.85000610351562,0.027920181683736937
SSD,1.0,184.8249969482422,2026-05-12,184.8249969482422,173.13394165039062,0.0005025875194355641
STE,3.0,212.6699981689453,2026-05-12,638.0099945068359,263.5697021484375,0.0017349160871572152
STLD,1.0,234.16000366210938,2026-05-12,234.16000366210938,175.5167999267578,0.0006367423093994075
STT,1.0,150.5,2026-05-12,150.5,128.21334838867188,0.00040924887284718436
SYY,10.0,73.08000183105469,2026-05-12,730.8000183105469,82.2400131225586,0.0019872364370119135
TNL,3.0,63.439998626708984,2026-05-12,190.31999588012695,71.4156723022461,0.0005175298590978254
TPR,15.0,131.97500610351562,2026-05-12,1979.6250915527344,117.28659691704644,0.005383118520783792
VRT,43.0,367.69500732421875,2026-05-12,15810.885314941406,257.68865966796875,0.04299393351399249
VTR,2.0,88.7249984741211,2026-05-12,177.4499969482422,79.39158630371094,0.0004825329650352453
VZ,287.0,48.07500076293945,2026-05-12,13797.525218963623,49.239402770996094,0.03751908069064095
WBS,1.0,71.94499969482422,2026-05-12,71.94499969482422,55.877403259277344,0.00019563727596078295
WDC,2.0,480.8999938964844,2026-05-12,961.7999877929688,167.17966089016053,0.0026153857867688246
WEC,1.0,112.58999633789062,2026-05-12,112.58999633789062,108.80899810791016,0.0003061616551172781
PLTR,0.0,134.10009765625,2026-05-12,0.0,,0.0
GLW,0.0,196.16000366210938,2026-05-12,0.0,,0.0
FIX,0.0,2014.469970703125,2026-05-12,0.0,,0.0
PWR,0.0,765.8809814453125,2026-05-12,0.0,,0.0
UMC,0.0,15.984999656677246,2026-05-12,0.0,,0.0
OKE,0.0,88.63500213623047,2026-05-12,0.0,,0.0
SU,0.0,66.5,2026-05-12,0.0,,0.0
MLI,0.0,139.17999267578125,2026-05-12,0.0,,0.0
NXPI,0.0,294.0299987792969,2026-05-12,0.0,,0.0
ON,0.0,103.33499908447266,2026-05-12,0.0,,0.0
TKR,0.0,116.8949966430664,2026-05-12,0.0,,0.0
