rebalance_date,ticker,weight,stage,monster_onset_score,cum_return,peak_return,months_held,period_forward_return,weighted_forward_return,sector,industry_group,rs_acceleration_score,revenue_growth_final,revision_score,portfolio_monster_early_score,portfolio_risk_entry_block_score,portfolio_defensive_rotation_action,explosion_exit_score,stage2_overext_penalty
2019-04-30,ADBE,0.05,scout,1.9006711078428022,-0.06776632721891096,0.0,1,-0.067766327218911,-0.00338831636094555,Information Technology,Software - Application,0.0619429838240123,nan,1.0,0.5350558333550081,0.0135416666666666,neutral,0.0,0.0
2019-04-30,V,0.05,scout,1.7670913810851876,-0.026473959896697763,0.0,1,-0.0264739598966978,-0.0013236979948348902,Financials,Consumer Finance,0.0704374998338706,nan,0.0,0.52208751719324,0.0,neutral,0.0,0.0
2019-04-30,NOW,0.05,scout,1.7190209024160856,-0.05070289316354881,0.0,1,-0.0507028931635488,-0.00253514465817744,Information Technology,Software - Application,0.6558629658035118,nan,0.0,0.6185302948507074,0.1083333333333333,neutral,0.0,0.0
2019-05-31,ADBE,0.12,confirm,1.1924958900566969,0.03796329911846863,0.03796329911846863,2,0.1134153693697432,0.013609844324369184,Information Technology,Software - Application,0.0709691655833437,nan,1.0,0.4291665277802295,0.0270833333333333,neutral,0.0,0.0
2019-05-31,V,0.12,confirm,1.5525666574813872,0.04921956879043554,0.04921956879043554,2,0.0777519301682996,0.009330231620195951,Financials,Consumer Finance,-0.062240350317932,nan,0.0,0.5217142872050349,0.1333333333333333,neutral,0.0,0.0
2019-05-31,NOW,0.12,confirm,1.2481868624648327,0.026508967814092177,0.026508967814092177,2,0.0813358224960263,0.009760298699523157,Information Technology,Software - Application,-0.9935898814907264,nan,0.0,0.5845639278032937,0.1333333333333333,neutral,0.0,0.0
2019-05-31,PYPL,0.05,scout,1.5083812464006754,0.03681706717295086,0.03681706717295086,1,0.0368170671729508,0.0018408533586475402,Financials,Consumer Finance,-0.2194169072310873,nan,0.0,0.5159159552185494,0.1333333333333333,neutral,0.0,0.0
2019-05-31,KO,0.05,scout,1.4004595076635051,0.06151780322940681,0.06151780322940681,1,0.0615178032294068,0.00307589016147034,Consumer Staples,Food Beverage & Tobacco,0.2842796469801577,nan,1.0,0.4313401100488954,0.0,neutral,0.0,0.0
2019-05-31,MSFT,0.05,scout,1.363813770791283,0.09907145529818995,0.09907145529818995,1,0.0990714552981899,0.004953572764909496,Information Technology,Software - Infrastructure,0.012665105841525,nan,0.0,0.3821897513900226,0.0,neutral,0.0,0.0
2019-06-28,ADBE,0.2153846153846154,winner,1.7324495850861965,0.05203149685527997,0.05203149685527997,3,0.0135536562311588,0.0029192490344034337,Information Technology,Software - Application,-0.0066386443682334,nan,1.0,0.5385932549886498,0.1333333333333333,neutral,0.0,0.0
2019-06-28,V,0.2153846153846154,winner,1.6325213396602818,0.08787789234803345,0.08787789234803345,3,0.0368448365885551,0.007935810957534945,Financials,Consumer Finance,-0.3462011467013884,nan,0.0,0.5346872057947674,0.1333333333333333,neutral,0.0,0.0
2019-06-28,NOW,0.2153846153846154,winner,1.143797535488106,0.025489707329710676,0.026508967814092177,3,-0.0009929387042298,-0.00021386372091103384,Information Technology,Software - Application,-1.6649451571281535,nan,0.0,0.5676092727130011,0.2416666666666667,neutral,0.0,0.0
2019-06-28,PYPL,0.0923076923076923,confirm,1.480254440938247,-0.003333959309138379,0.03681706717295086,2,-0.0387252754158142,-0.003574640807613618,Financials,Consumer Finance,-0.8322474731800058,nan,0.0,0.50082103583232,0.1333333333333333,neutral,0.0,0.0
