rebalance_date,ticker,action,reason,stage
2019-04-30,ADBE,enter,monster_scout,scout
2019-04-30,V,enter,monster_scout,scout
2019-04-30,NOW,enter,monster_scout,scout
2019-05-31,ADBE,hold,hold,confirm
2019-05-31,V,hold,hold,confirm
2019-05-31,NOW,hold,hold,confirm
2019-05-31,PYPL,enter,monster_scout,scout
2019-05-31,KO,enter,monster_scout,scout
2019-05-31,MSFT,enter,monster_scout,scout
2019-06-28,ADBE,hold,hold,winner
2019-06-28,V,hold,hold,winner
2019-06-28,NOW,hold,hold,winner
2019-06-28,PYPL,hold,hold,confirm
2019-06-28,KO,hold,hold,confirm
2019-06-28,MSFT,hold,hold,confirm
2019-06-28,DIS,enter,monster_scout,scout
2019-06-28,HD,enter,monster_scout,scout
2019-07-31,ADBE,hold,hold,monster
2019-07-31,V,hold,hold,monster
2019-07-31,NOW,hold,hold,winner
2019-07-31,PYPL,hold,hold,confirm
2019-07-31,KO,hold,hold,winner
2019-07-31,MSFT,hold,hold,winner
2019-07-31,DIS,hold,hold,confirm
2019-07-31,HD,hold,hold,confirm
2019-08-30,ADBE,hold,hold,monster
2019-08-30,V,hold,hold,monster
2019-08-30,NOW,hold,hold,winner
2019-08-30,PYPL,hold,hold,confirm
2019-08-30,KO,hold,hold,monster
2019-08-30,MSFT,hold,hold,monster
2019-08-30,DIS,hold,hold,confirm
2019-08-30,HD,hold,hold,winner
2019-09-30,ADBE,hold,hold,monster
2019-09-30,V,exit,missing_from_candidate_book,monster
2019-09-30,NOW,hold,hold,winner
2019-09-30,PYPL,hold,hold,confirm
2019-09-30,KO,hold,hold,monster
2019-09-30,MSFT,hold,hold,monster
2019-09-30,DIS,hold,hold,confirm
2019-09-30,HD,hold,hold,monster
2019-09-30,GOOGL,enter,monster_scout,scout
2019-10-31,ADBE,hold,hold,monster
2019-10-31,NOW,hold,hold,winner
2019-10-31,PYPL,hold,hold,confirm
2019-10-31,KO,hold,hold,monster
2019-10-31,MSFT,hold,hold,monster
2019-10-31,DIS,hold,hold,confirm
2019-10-31,HD,hold,hold,monster
2019-10-31,GOOGL,hold,hold,confirm
2019-11-29,ADBE,hold,hold,monster
2019-11-29,NOW,hold,hold,winner
2019-11-29,PYPL,hold,hold,winner
2019-11-29,KO,hold,hold,monster
2019-11-29,MSFT,hold,hold,monster
2019-11-29,DIS,hold,hold,winner
2019-11-29,HD,hold,hold,monster
2019-11-29,GOOGL,hold,hold,winner
2019-12-31,ADBE,hold,hold,monster
2019-12-31,NOW,hold,hold,winner
2019-12-31,PYPL,hold,hold,monster
2019-12-31,KO,hold,hold,monster
2019-12-31,MSFT,hold,hold,monster
2019-12-31,DIS,hold,hold,monster
2019-12-31,HD,hold,hold,monster
2019-12-31,GOOGL,hold,hold,monster
2020-01-31,ADBE,hold,hold,monster
2020-01-31,NOW,hold,hold,winner
2020-01-31,PYPL,hold,hold,monster
2020-01-31,KO,hold,hold,monster
2020-01-31,MSFT,hold,hold,monster
2020-01-31,DIS,hold,hold,monster
2020-01-31,HD,hold,hold,monster
2020-01-31,GOOGL,hold,hold,monster
2020-02-28,ADBE,hold,hold,monster
2020-02-28,NOW,hold,hold,monster
2020-02-28,PYPL,hold,hold,monster
2020-02-28,KO,hold,hold,monster
2020-02-28,MSFT,hold,hold,monster
2020-02-28,DIS,hold,hold,monster
2020-02-28,HD,hold,hold,monster
2020-02-28,GOOGL,hold,hold,monster
2020-03-31,ADBE,hold,hold,monster
2020-03-31,NOW,hold,hold,monster
2020-03-31,PYPL,hold,hold,monster
2020-03-31,KO,hold,hold,monster
2020-03-31,MSFT,hold,hold,monster
2020-03-31,DIS,exit,failed_recovery_after_peak,monster
2020-03-31,HD,hold,hold,monster
2020-03-31,GOOGL,hold,hold,monster
2020-03-31,AMZN,enter,monster_scout,scout
2020-04-30,ADBE,hold,hold,monster
2020-04-30,NOW,hold,hold,monster
2020-04-30,PYPL,hold,hold,monster
2020-04-30,KO,hold,hold,monster
2020-04-30,MSFT,hold,hold,monster
2020-04-30,HD,hold,hold,monster
2020-04-30,GOOGL,hold,hold,monster
2020-04-30,AMZN,hold,hold,confirm
2020-05-29,ADBE,hold,hold,monster
2020-05-29,NOW,hold,hold,monster
2020-05-29,PYPL,hold,hold,monster
2020-05-29,KO,hold,hold,monster
2020-05-29,MSFT,hold,hold,monster
2020-05-29,HD,hold,hold,monster
2020-05-29,GOOGL,hold,hold,monster
2020-05-29,AMZN,hold,hold,winner
2020-06-30,ADBE,hold,hold,monster
2020-06-30,NOW,hold,hold,monster
2020-06-30,PYPL,hold,hold,monster
2020-06-30,KO,hold,hold,monster
2020-06-30,MSFT,hold,hold,monster
2020-06-30,HD,hold,hold,monster
2020-06-30,GOOGL,hold,hold,monster
2020-06-30,AMZN,hold,hold,monster
2020-07-31,ADBE,hold,hold,monster
2020-07-31,NOW,hold,hold,monster
2020-07-31,PYPL,hold,hold,monster
2020-07-31,KO,hold,hold,monster
2020-07-31,MSFT,hold,hold,monster
2020-07-31,HD,hold,hold,monster
2020-07-31,GOOGL,hold,hold,monster
2020-07-31,AMZN,hold,hold,monster
2020-08-31,ADBE,hold,hold,monster
2020-08-31,NOW,hold,hold,monster
2020-08-31,PYPL,hold,hold,monster
2020-08-31,KO,hold,hold,monster
2020-08-31,MSFT,hold,hold,monster
2020-08-31,HD,hold,hold,monster
2020-08-31,GOOGL,hold,hold,monster
2020-08-31,AMZN,hold,hold,monster
2020-09-30,ADBE,hold,hold,monster
2020-09-30,NOW,hold,hold,monster
2020-09-30,PYPL,hold,hold,monster
2020-09-30,KO,hold,hold,monster
2020-09-30,MSFT,hold,hold,monster
2020-09-30,HD,hold,hold,monster
2020-09-30,GOOGL,hold,hold,monster
2020-09-30,AMZN,hold,hold,monster
2020-10-30,ADBE,hold,hold,monster
2020-10-30,NOW,hold,hold,monster
2020-10-30,PYPL,hold,hold,monster
2020-10-30,KO,hold,hold,monster
2020-10-30,MSFT,hold,hold,monster
2020-10-30,HD,hold,hold,monster
2020-10-30,GOOGL,hold,hold,monster
2020-10-30,AMZN,hold,hold,monster
2020-11-30,ADBE,hold,hold,monster
2020-11-30,NOW,hold,hold,monster
2020-11-30,PYPL,hold,hold,monster
