date,ticker,shares,price,market_value_usd,weight,cost_basis,unrealized_pnl_usd,week_end_date
2019-06-07,AMT,139.0,175.95266723632812,24457.42074584961,0.23745473247814997,173.3273468017578,364.91954040527344,2019-06-07
2019-06-07,SBAC,123.0,202.28994750976562,24881.663543701172,0.2415736647693532,199.46424865722656,347.5609588623047,2019-06-07
2019-06-07,FDS,96.0,273.089111328125,26216.5546875,0.25453399377264735,258.8158874511719,1370.2294921875,2019-06-07
2019-06-07,HEI,215.0,126.92864990234375,27289.659729003906,0.2649526668289428,121.5122299194336,1164.5302963256836,2019-06-07
2019-06-14,HEI,215.0,125.1628646850586,26910.015907287598,0.2599292481655209,121.5122299194336,784.886474609375,2019-06-14
2019-06-14,FDS,96.0,276.9868469238281,26590.7373046875,0.2568452720201665,258.8158874511719,1744.412109375,2019-06-14
2019-06-14,SBAC,123.0,207.79441833496094,25558.713455200195,0.24687674638977192,199.46424865722656,1024.6108703613281,2019-06-14
2019-06-14,AMT,139.0,174.9339599609375,24315.820434570312,0.23487139308505656,173.3273468017578,223.31922912597656,2019-06-14
2019-06-21,AMT,139.0,178.974365234375,24877.436767578125,0.23624114902113832,173.3273468017578,784.9355621337891,2019-06-21
2019-06-21,SBAC,123.0,212.75759887695312,26169.184661865234,0.24850784713972152,199.46424865722656,1635.0820770263672,2019-06-21
2019-06-21,FDS,96.0,278.6227111816406,26747.7802734375,0.25400230757684183,258.8158874511719,1901.455078125,2019-06-21
2019-06-21,HEI,215.0,127.24612426757812,27357.916717529297,0.25979628611082684,121.5122299194336,1232.7872848510742,2019-06-21
2019-06-28,AMT,139.0,170.04974365234375,23636.91436767578,0.22853057543039132,173.3273468017578,-455.5868377685547,2019-06-28
2019-06-28,SBAC,123.0,206.27145385742188,25371.38882446289,0.24530012662955022,199.46424865722656,837.2862396240234,2019-06-28
2019-06-28,FDS,96.0,267.8546142578125,25714.04296875,0.24861303573221333,258.8158874511719,867.7177734375,2019-06-28
2019-06-28,HEI,215.0,132.81253051757812,28554.694061279297,0.27607751856083745,121.5122299194336,2429.564628601074,2019-06-28
2019-07-05,HD,154.0,179.43202209472656,27632.53140258789,0.26676776712144334,178.43072509765625,154.19973754882812,2019-07-05
2019-07-05,AWI,266.0,93.14265441894531,24775.946075439453,0.23918995030065446,91.9670639038086,312.7070770263672,2019-07-05
2019-07-05,KBR,1052.0,23.016298294067383,24213.145805358887,0.2337566090986726,23.126953125,-116.40888214111328,2019-07-05
2019-07-05,HEI,199.0,134.90682983398438,26846.45913696289,0.25917893133793507,121.5122299194336,2665.5253829956055,2019-07-05
2019-07-12,HEI,199.0,134.99615478515625,26864.234802246094,0.2569352537384967,121.5122299194336,2683.3010482788086,2019-07-12
2019-07-12,KBR,1052.0,23.348268508911133,24562.37847137451,0.23491981035082177,23.126953125,232.82378387451172,2019-07-12
2019-07-12,AWI,266.0,92.09767150878906,24497.98062133789,0.23430389562028237,91.9670639038086,34.74162292480469,2019-07-12
2019-07-12,HD,154.0,185.17665100097656,28517.20425415039,0.2727446050441778,178.43072509765625,1038.8725891113281,2019-07-12
2019-07-19,AWI,266.0,91.16466522216797,24249.80094909668,0.2323979707626165,91.9670639038086,-213.43804931640625,2019-07-19
2019-07-19,HD,154.0,180.77272033691406,27838.998931884766,0.2667950501290061,178.43072509765625,360.6672668457031,2019-07-19
2019-07-19,HEI,199.0,136.10781860351562,27085.45590209961,0.2595734703984348,121.5122299194336,2904.522148132324,2019-07-19
2019-07-19,KBR,1052.0,23.81855010986328,25057.114715576172,0.2401348623557637,23.126953125,727.5600280761719,2019-07-19
2019-07-26,HD,154.0,184.0565643310547,28344.710906982422,0.2673384753932573,178.43072509765625,866.3792419433594,2019-07-26
