portfolio,rebalance_date,runner_ticker_count,local_ticker_count,ticker_set_equal,ticker_overlap,runner_only_tickers,local_only_tickers,l1_weight_diff,max_weight_delta_abs
main,2021-08-31,15,15,False,14,NVDA,CROX,0.41497114582542216,0.1403629863559178
main,2024-10-31,10,10,False,9,BKNG,HLNE,0.37859534186978305,0.1565297563193941
main,2023-02-28,13,14,False,11,"BRBR,ORLY","CPRT,HLI,ITT",0.3767133956099433,0.1112990796069162
main,2020-09-30,14,15,False,12,"META,SAM","MELI,SHOP,ZM",0.3658002894254316,0.11457847289224982
main,2019-05-31,15,15,False,14,NOW,CPRT,0.3614285714285703,0.12
main,2025-01-31,14,14,False,13,EQT,VST,0.3602190536465219,0.1306023152197459
main,2020-11-30,9,11,False,8,SE,"ALB,MELI,ZM",0.3480187628541406,0.1157206257742524
main,2025-09-30,15,15,False,14,TER,UEC,0.3461028264683951,0.0523471280624
main,2020-02-28,15,15,False,13,"FTNT,TREX","PODD,STM",0.3212072215403123,0.14132291830042193
main,2020-08-31,14,15,False,13,SAM,"SHOP,ZM",0.304328959618977,0.1237480230904621
main,2024-07-31,14,14,False,13,AVGO,TLN,0.28527434304421406,0.0856283426851609
main,2023-08-31,15,15,False,14,SAIA,UBER,0.28453177591019385,0.0515390979089225
main,2023-05-31,15,15,False,12,"AXON,BRBR,CHRD","CPRT,INTU,QSR",0.27230776991328076,0.0712039688416348
main,2022-11-30,6,5,False,4,"HALO,MA",LNG,0.2717010079111985,0.0937277038397352
main,2021-07-30,15,14,False,14,NVDA,,0.2708594815825379,0.1354297407912687
main,2019-06-28,15,15,False,14,ACM,VEEV,0.262573338791103,0.0705723836812662
main,2022-07-29,15,15,False,13,"LPX,MEDP","ADM,LNG",0.2621630839127721,0.0764061056019594
main,2025-10-31,15,15,False,14,GOOG,UEC,0.2620199181051583,0.026222587328163297
main,2024-01-31,13,14,False,12,BLDR,"TPG,WING",0.2567712524611779,0.0832387133323997
main,2026-05-29,15,15,False,14,RVMD,STM,0.25078796024341976,0.0630953376034442
main,2026-07-02,15,15,False,14,RVMD,STM,0.25078796024341976,0.0630953376034442
main,2023-04-28,11,12,False,10,BRBR,"CPRT,INTU",0.23191630118039955,0.099134810088927
main,2020-12-31,15,15,True,15,,,0.2290375932569278,0.11451879662846398
main,2021-05-28,15,15,False,14,BEN,BAC,0.22882117118705841,0.062940046301821
main,2020-01-31,14,14,False,13,FTNT,STM,0.2181537501137496,0.0695351882160392
main,2023-03-31,15,15,False,13,"BRBR,MA","CPRT,INTU",0.21264685413149173,0.0848109422532557
main,2020-10-30,13,14,False,12,ROKU,"MELI,ZM",0.20429451001703694,0.08135935469771371
main,2022-08-31,15,15,False,13,"CW,DAR","ADM,LNG",0.2030452368871869,0.0594447327991687
main,2021-04-30,15,15,False,14,AVY,BAC,0.20074877268455543,0.0690557050235963
main,2020-07-31,15,15,False,14,SAM,ZM,0.1989090359625267,0.0531677600749765
main,2023-09-29,15,15,False,14,SAIA,UBER,0.19191828088425567,0.0582127440788606
main,2024-08-30,14,14,False,13,NEM,INSM,0.19067580092363062,0.0535184515195369
main,2023-12-29,15,15,False,14,DHI,WING,0.18547095421943716,0.0501076184271272
main,2019-08-30,13,14,False,13,,BURL,0.17721896046394897,0.08825133611329239
main,2021-06-30,15,15,False,14,DOCU,DKS,0.16888993616881898,0.038456806116321
main,2021-09-30,15,15,False,14,BX,CROX,0.16634512170303567,0.0364929366975919
main,2026-04-30,12,13,False,11,FIX,"COHR,KEYS",0.16331693326695942,0.03412831764431801
main,2025-02-28,13,13,False,12,ETR,FOXA,0.15783645532844381,0.0583196569431944
main,2023-11-30,13,14,False,13,,UBER,0.15518909612782872,0.07595209092774069
main,2022-10-31,15,15,False,13,"HALO,MA","EXE,LNG",0.1519970015721283,0.0581084639417445
main,2022-04-29,15,15,False,14,MA,OKE,0.1491767410934361,0.0707558794715879
main,2025-05-30,13,14,False,12,WING,"GE,THC",0.1471666437542246,0.04386315902198601
main,2025-03-31,15,15,False,13,"ETR,MA","FOXA,TPR",0.14140637856188762,0.0270757528022891
main,2020-05-29,15,15,False,14,TREX,JBHT,0.13883839518582908,0.026654587877177005
main,2019-07-31,15,15,False,14,FCN,SMG,0.13827364185110674,0.0637558685446009
main,2025-06-30,15,15,False,14,JBL,PLTR,0.1368296665368786,0.0612591884246588
main,2023-07-31,15,15,True,15,,,0.13653494544842582,0.048094666532668806
main,2022-12-30,15,15,False,14,HALO,HLI,0.13434585851335187,0.0270602981319821
main,2023-10-31,15,15,False,13,"BR,CTAS","EXE,UBER",0.1317979055110801,0.0327339154102412
main,2019-10-31,14,14,False,13,TGT,AEM,0.11718365432121136,0.0572607607829244
main,2021-01-29,14,14,False,13,AXON,MELI,0.11664385630993959,0.0296911726557343
main,2021-10-29,15,15,False,14,HUBS,BILL,0.11591332625903539,0.0336471884260123
main,2020-06-30,15,15,True,15,,,0.11428571428571443,0.05714285714285719
main,2023-06-30,15,15,False,14,CXT,WMS,0.11118093119277521,0.0371694850662265
main,2022-01-31,15,15,False,14,GOOGL,CIEN,0.10831853712942026,0.0173960280251406
main,2019-12-31,15,15,True,15,,,0.10572333539168191,0.0528616676958409
main,2025-08-29,15,15,True,15,,,0.10313478034964187,0.017395160619297093
main,2021-03-31,15,15,True,15,,,0.10274725274725202,0.0513736263736263
main,2024-06-28,14,14,True,14,,,0.10143492990998021,0.04502533136717091
main,2024-04-30,14,15,False,14,,CNM,0.09921580448274223,0.0486452760034709
main,2024-05-31,15,15,False,14,AES,GE,0.09730058170765257,0.032086824858406
main,2019-09-30,15,15,True,15,,,0.09729091678191065,0.04762952912390031
main,2025-11-28,15,15,False,14,GOOG,INSM,0.09715985819364276,0.0475862645078805
main,2022-02-28,15,15,False,14,DVA,KNSL,0.09001776268482525,0.02314685045589926
main,2020-04-30,15,15,False,14,TREX,PODD,0.08965947759583512,0.0227042068360165
main,2022-05-31,15,15,False,13,"SNX,WCC","LNG,OKE",0.08537149306001536,0.0087193764481118
main,2022-09-30,4,5,False,4,,LNG,0.08399999999999982,0.041999999999999926
main,2022-06-30,15,15,False,14,MEDP,LNG,0.08333799638367556,0.0416689981918377
main,2026-01-30,14,14,True,14,,,0.0832917710303434,0.03207226889856969
