portfolio,ticker,abs_weight_delta,net_weight_delta,changed_dates
main,CASH,3.228362973760206,-2.8945358120654725,86
main,ZM,0.3909718389627177,0.3909718389627177,6
main,BRBR,0.3670167664682762,-0.358176145194426,7
main,NVDA,0.3304611482967446,-0.22208361782939862,20
main,LNG,0.3167333716097029,0.3167291569360997,9
main,CPRT,0.2212745761545465,0.2202524656007631,7
main,STM,0.2159870159388442,0.2159870159388442,7
main,UBER,0.2008654676376481,0.2005847857929939,10
main,WING,0.17821488684108772,0.11954795685659492,7
main,NOW,0.1663561333939614,-0.08495160948811879,7
main,HALO,0.1545554018575542,-0.128390444841356,7
main,MA,0.1541250487061221,-0.09168675283188911,14
main,AVGO,0.14944702182677191,-0.042851387241752095,18
main,CROX,0.14800313181815758,0.14645095876631198,10
main,SAIA,0.14465450689904621,-0.1106426701524694,6
main,RVMD,0.1319903378563422,-0.126776252436749,5
main,JBL,0.1310570550496567,0.008062026722534907,7
main,GE,0.1274211456658395,-0.002387978652773501,6
main,MELI,0.127338489984009,0.12367493186523121,13
main,CIEN,0.12542320717308042,0.12327933930857801,13
main,SAM,0.1207657837020827,-0.1189616774528021,4
main,HLI,0.11877948718083631,0.11190875421492211,6
main,VST,0.1173395260011545,0.08893628530439991,14
main,BAC,0.11097942150520529,0.11097942150520529,2
main,INSM,0.10520401602548861,0.053573995869712995,8
main,AMD,0.10131869169173291,0.0452571392286939,19
main,ROKU,0.09468138980935108,0.014321232405157088,11
main,ETR,0.0943145403359802,-0.0943145403359802,3
main,FTNT,0.0941960545518467,-0.0394708358995987,7
main,SE,0.09417592289227499,0.019692670176565383,14
main,SHOP,0.091041309664393,0.0807603224819268,14
main,LRCX,0.08864115667502791,0.05806577697237812,16
main,LITE,0.08550075040432281,0.046491038280498206,14
main,GOOG,0.08526838381471799,-0.0663103893337952,5
main,TER,0.08355078635866713,-0.02504791712169848,10
main,BLDR,0.08302378829495183,-0.03593288661212319,12
main,TLN,0.0829725582939698,0.02649631334564659,8
main,ALB,0.0807791220545086,0.0712041728485,3
main,MU,0.07924692449771993,0.06084281416364372,16
main,TREX,0.07857498153237641,-0.0335285115867928,6
main,PODD,0.07515192891952,0.07515192891952,8
main,VEEV,0.07285017308273109,0.07285017308273109,2
main,ACM,0.0705723836812662,-0.0705723836812662,1
main,AVY,0.0690557050235963,-0.0690557050235963,1
main,AXON,0.06804617558070851,-0.03401643070585969,8
main,UAL,0.06692149716726631,0.06692149716726631,4
main,NEM,0.0661189344050779,-0.059629279733724304,3
main,EXEL,0.0658911932764419,0.050971901653680096,2
main,DXCM,0.06447295972817128,0.06431722508652449,11
main,ON,0.0640488330839673,0.05638128063704852,8
main,FCN,0.0637558685446009,-0.0637558685446009,1
main,BX,0.0629234677403875,-0.006647925163042898,3
main,TSLA,0.0628534126314853,0.05808379174403531,19
main,LPX,0.0627336114688141,-0.009650473143639308,6
main,BEN,0.0619646146483629,-0.0619646146483629,3
main,TGT,0.061309875970988005,-0.053211645594860794,3
main,FOXA,0.0601549041340661,0.0601549041340661,2
main,ALAB,0.0600536886478778,-0.004470813776359609,6
main,BLD,0.05956335792280198,0.04860274561276461,9
main,AMAT,0.05770582964253031,0.007744112306075343,14
main,TPR,0.056501019141398996,0.04350428268127981,6
main,BILL,0.05571098515926899,0.026607271096630598,4
main,WDC,0.055326806552289526,0.05184484744410975,12
main,DOCU,0.05529608659950509,-0.0216175256331369,5
main,XOM,0.053897863588169705,-0.041894081636082506,8
main,ONTO,0.053048820456791206,0.04733137139832041,7
main,DAR,0.05267373987695741,0.011112694848634811,7
main,PCTY,0.050937426911368,0.050937426911368,7
main,DKS,0.04997497638593699,0.026494555014115996,6
main,ITT,0.049161163113236206,0.033696153082955996,5
main,EQT,0.0487298863392874,-0.0487298863392874,2
main,ANET,0.04834129743789929,0.047553048887319496,7
main,UI,0.0470384074325004,-0.0257511022814296,7
main,BURL,0.0468593448940269,0.0468593448940269,1
main,UEC,0.046153900035343094,0.0407580356484421,4
main,ORLY,0.04561684187032369,-0.0289957542245725,3
main,XPO,0.043956962768307004,0.01778662104792199,5
main,RGEN,0.043104334994851404,0.043104334994851404,5
main,MEDP,0.041713917237358206,-0.02463285393454019,5
main,ADM,0.0416945010304251,0.0348205145328097,6
main,HUBS,0.04018163095879171,-0.027112745893232898,2
main,QSR,0.039993899176834505,0.039993899176834505,3
main,COHR,0.0399423752254721,0.0373042769519049,6
main,GOOGL,0.0391900384932956,-0.0018978097214761916,5
main,EXE,0.038604079057944406,-0.013328417141572603,10
main,DHI,0.0385885872219143,-0.0385885872219143,1
main,FTAI,0.0381882512502129,0.029062819110780496,12
main,MSTR,0.037944729009827406,0.037944729009827406,3
main,GTLS,0.037413562323288185,0.037413562323288185,4
main,HPE,0.0373585334620896,0.0373585334620896,2
main,CXT,0.0371694850662265,-0.0371694850662265,1
main,P,0.03715453890146739,-0.033044274772870585,5
main,CARR,0.036738149564893685,0.017507627195121084,6
main,INTU,0.036575674122304,0.036575674122304,3
main,HLNE,0.0358776737202991,0.0358776737202991,2
main,MTSI,0.0356931067637524,0.02077218665151781,3
main,CTAS,0.0355512600971286,-0.032629782152544404,4
main,NET,0.035454185784169305,0.024921985516455296,5
main,ALNY,0.03277461755617279,0.010090415282075195,5
main,BKNG,0.0327679146154974,-0.0327679146154974,1
main,BR,0.0327339154102412,-0.0327339154102412,1
main,FIX,0.0324628975945586,-0.0324628975945586,1
main,RH,0.03217680536571609,0.03217680536571609,5
main,AES,0.032086824858406,-0.032086824858406,1
