portfolio,rejection_reason,binding_constraint,count
concentrated,candidate_gate,candidate_gate,847
concentrated,cash,cash_binding,835
concentrated,cap_or_replacement,cap_binding,287
concentrated,unknown_requires_investigation,unknown,14
main,candidate_gate,candidate_gate,775
main,cash,cash_binding,654
main,cap_or_replacement,cap_binding,352
