leadership_theme,member_count,active_count_1d_gt_8pct,active_count_5d_gt_20pct,breadth_21d_positive,median_ret_5d,median_ret_21d,median_ret_63d,top_participation_score,top_bubble_climax_score,top_early_leadership_score,dollar_volume_20d_sum,top_tickers,leadership_state,leadership_score
memory_semiconductors,6,0,1,0.8333333333333334,0.02453094583312787,0.44069322192033966,0.8825483244430841,1.9875322286157984,1.4387620898714408,2.2739677798409166,54311110644.01535,"MU,SNDK,STX,WDC,PSA,EXR",emerging_leader,2.079279382782344
optical_networking_ai_infra,3,0,0,1.0,0.09116995292637542,0.236970015184649,0.804774406763336,2.269661294503582,2.0351787356012263,2.479853142495825,8747111528.050537,"COHR,LITE,CIEN",emerging_leader,1.789272634586835
ai_compute_semiconductors,31,4,2,0.967741935483871,0.01864119809014153,0.21673191424769533,0.2862025394408052,3.0560971338634313,3.1085528340411996,3.4753765096116114,113316932041.6246,"HIMX,STM,ON,QCOM,INTC,AMD,MTSI,MRVL",emerging_leader,1.624045924463427
rare_earths_battery_materials,1,0,0,1.0,0.0778906329155662,0.1349974024560716,0.10895590373300146,0.8501222655352366,1.2345836422171004,1.006088096592587,190700283.03836823,TECK,emerging_leader,0.48169535517499784
software_ai_platforms,42,0,4,0.6666666666666666,-0.02157211834767453,0.03585232237002933,-0.04058828422053723,2.3426441550264534,2.649242178572579,2.698565614009155,47435968233.87909,"AKAM,PANW,FTNT,CRWD,GEN,ORCL,VRSN,FFIV",neutral,0.35027786488388757
software,62,1,0,0.5483870967741935,-0.010231961245307564,0.010784021985513315,0.05797457819843066,1.9708911123938362,2.002102700281697,1.6901469541194787,67275637372.58423,"FLEX,CSCO,GLW,HPE,GOOGL,AAPL,GOOG,AMZN",neutral,0.3215944489162348
energy,100,0,0,0.61,-0.004468067570819356,0.015029041116045305,0.0474223898623376,0.8834598963142702,0.9690544768715198,0.7874744513979255,32430224681.519875,"TRGP,FCX,MPC,LIN,FANG,NUE,XOM,STLD",neutral,0.06531753866751427
medtech,58,0,0,0.3103448275862069,-0.006216288086934474,-0.04700208617056806,-0.0978450583408208,1.4006539592793739,1.4678464750932676,1.4631034604720188,34184012987.566364,"UNH,CVS,ELV,LLY,DVA,CI,VTR,WELL",neutral,-0.08903996885663712
consumer,124,0,1,0.3225806451612903,-0.032373788814527626,-0.04190506876026723,-0.0695090557283316,1.5860472077076428,1.9413737722093063,1.8507264013727052,64045909684.48957,"TSLA,SFM,HRB,PRMB,BWA,ARMK,PM,MUSA",neutral,-0.16690420305156303
industrial,113,0,1,0.3805309734513274,-0.03465604358197838,-0.015432099249948816,-0.0641592525177439,1.2970855046807763,1.1603271175153265,1.5469260197867551,33682762737.425434,"AAON,BE,VRT,FIX,MTZ,GWW,CMI,URI",neutral,-0.2424402282566252
banking,124,0,0,0.3467741935483871,-0.028346892924451583,-0.031161427469863223,-0.04605900802418328,0.8043557123682821,0.7965193648896867,0.825730570749631,36763006507.40527,"CBOE,GS,BEN,APO,MS,BLK,BK,STT",neutral,-0.3338250569965922
general,35,0,0,0.2857142857142857,-0.005660980385601588,-0.026599281879202685,0.004478518957191202,0.371976418711764,0.19827698077532696,0.23614047509180427,12573510851.912178,"LYV,NEE,VZ,ETR,DIS,D,TMUS,SO",neutral,-0.3767020651641494
power_grid_gas_turbine,10,1,0,0.6,-0.029694730357763932,0.015290162535104845,0.04383561443732298,0.6392011057047007,0.6460332418073064,0.5003900374023453,7629011376.076279,"NXT,PWR,NVT,GEV,ETN,AEP,GTLS,VST",neutral,-0.41558696191921535
space_launch,24,0,1,0.25,-0.010931744374452546,-0.07332373789976848,-0.07553393690508337,0.8322448018713025,1.097864003526736,0.511652253496248,13763890097.627096,"RKLB,BA,HWM,CW,KRMN,RTX,GE,GD",neutral,-0.4768040060512874
nuclear_power,4,0,0,0.25,-0.053262474722597986,-0.03950011785147639,-0.018774817109053377,-0.374896304905066,-0.502841830552345,-0.5945183990660582,1704689705.197072,"UEC,CCJ,BWXT,CEG",neutral,-1.2831054152226047
