sector,member_count,active_count_1d_gt_8pct,active_count_5d_gt_20pct,breadth_21d_positive,median_ret_5d,median_ret_21d,median_ret_63d,top_participation_score,top_bubble_climax_score,top_early_leadership_score,dollar_volume_20d_sum,top_tickers,leadership_state,leadership_score
Information Technology,94,8,9,0.8404255319148937,0.04023233706832552,0.15077208352157723,0.21462757401380828,3.9441292772759393,4.791365142532548,4.124580868547346,220008743376.27576,"MU,SNDK,AMD,QCOM,FLEX,AKAM,HIMX,FTNT",emerging_leader,3.0403122971481347
Semiconductors,3,0,0,1.0,0.06134525863579032,0.5117526594697472,0.5328031245630376,2.430762404022797,2.4694555640418687,3.155999075308882,1858880687.3990726,"STM,UMC,NXPI",emerging_leader,2.5487127121758175
Real Estate,46,0,0,0.8043478260869565,0.009055042540769609,0.0383973791276101,0.0449061541789344,0.7947229820674505,0.919062134775952,1.2510307192085262,7996255636.575165,"DOC,IRM,HST,CUZ,CCI,EQIX,KRC,LINE",neutral,0.6044237478419384
Industrials,151,2,2,0.5033112582781457,-0.0036328859255483348,0.0033206170423296655,-0.03313356703121184,2.026011966650836,2.104063746542234,2.425178573314999,54528801450.64583,"RKLB,AAON,BE,NVT,VRT,ECG,FIX,PWR",neutral,0.5400334513155023
Communication,13,0,0,0.6923076923076923,0.0018200649113504497,0.011255980698191115,0.0031482701925418244,0.7604070648228051,0.4475881089910021,0.6472286128606937,22501832702.128468,"GOOGL,GOOG,DIS,TTWO,LYV,OMC,VZ,TMUS",neutral,0.3646513393891709
Financials,121,1,0,0.5371900826446281,-0.009202413991280078,0.008620704144873148,-0.047077889226150416,1.0440242603648417,1.543782553930594,1.0365420131976761,37083396377.454384,"CPAY,CBOE,APO,ARES,BEN,MS,IVZ,JEF",neutral,0.2854578342021531
Consumer Staples,39,1,0,0.5384615384615384,-0.0045420968996789934,0.003069811496964725,-0.05630751336125617,0.9235697602161228,1.1635379185251393,0.8696118088054016,16058999601.497358,"MNST,PRMB,SFM,CASY,ADM,PM,WMT,COST",neutral,0.1732998707434246
Consumer Discretionary,71,1,0,0.39436619718309857,-0.009159595908656226,-0.015254262903920512,-0.05243038089731111,1.3104946039380025,1.5299533671864407,1.2471481329187337,57912431548.24391,"TSLA,AMZN,HRB,TXRH,EBAY,BWA,MUSA,SBUX",neutral,0.15339082404917054
Materials,44,0,0,0.2727272727272727,0.016564072432797117,-0.026170436072773584,-0.05228532572902023,0.8767877035532173,1.335875575909372,0.823398986789813,11740597626.314125,"TECK,IFF,ESI,STLD,FCX,DD,NEM,CTVA",neutral,0.10283910999834607
Health Care,67,0,1,0.29850746268656714,-0.006875750112577239,-0.044126401366648804,-0.09069104056101218,1.5854006950934076,1.7792533397810795,1.8952014081682782,35548972951.644196,"DVA,UNH,CVS,WST,RVMD,NBIX,WAT,JAZZ",neutral,-0.09830245902176374
Financial,6,0,0,0.5,-0.0018523734387289603,-0.0075174164317043934,-0.0861682960242004,-0.31211041233154235,-0.12508979989666555,-0.17065935867420381,627099788.2444477,"MFC,SAN,SLF,IBN,HDB,CIB",neutral,-0.5197061753026
Energy,38,0,0,0.47368421052631576,-0.05062092393422318,-0.011723861756401999,0.09909981994384365,0.37554004537231667,0.20884374187770538,0.27022035286199114,17781005720.093185,"DINO,MPC,VLO,PSX,CVX,TRGP,PBR,XOM",neutral,-0.6745530121000545
Internet,3,0,0,0.3333333333333333,-0.017545343583028172,-0.01779855743222658,-0.06129434925283339,-0.38310589054084976,-0.7618467566381592,-0.4534727574317931,1604359583.110466,"PDD,NTES,MELI",neutral,-0.7461606028141413
Software,1,0,0,0.0,0.024481784448640465,-0.029729784872788767,-0.17410390798583586,-0.42613601970745985,-0.04801183474737593,-0.1929577468578551,39373166.35887146,GIB,neutral,-0.801859691510837
Utilities,37,0,0,0.10810810810810811,-0.037831481455267824,-0.05932978279951806,0.027634584297340004,0.142328559689188,-0.09360124787568547,0.20889251554760177,10235527333.645863,"TLN,CEG,NEE,ETR,EVRG,D,LNT,AEP",neutral,-1.1009338553668326
