etf,theme,label,price_status,price_date,ret_1d,ret_5d,ret_21d,ret_63d,volume_z_20d,dollar_volume_20d,holdings,attention_score
DRAM,memory_semiconductors,Roundhill Memory ETF,ok,2026-05-13,0.06315792839478496,0.1203779904193738,0.5333146298413785,,0.9316307533553894,1168027312.4923325,"MU,SNDK,WDC,STX",1.496317768076435
SOXX,semiconductors_broad,iShares Semiconductor ETF,ok,2026-05-13,0.023837648066354467,0.042259323133151616,0.31664338272652093,0.4675608631469239,0.006178291134213642,3503319950.977173,"NVDA,AVGO,AMD,MU,INTC,QCOM,MRVL,LRCX,AMAT,KLAC,MCHP,ON,MPWR",1.2703304747112543
XSD,semiconductors_equal_weight,SPDR S&P Semiconductor ETF,ok,2026-05-13,0.0240653534766333,0.06077870685052589,0.45031618081127833,0.5308433987313397,-0.0012418126238771202,64656355.16662598,"AMD,INTC,MU,MRVL,ON,MCHP,LSCC,MPWR,TER,ALAB,CRUS,ONTO",1.2516143322460085
SMH,semiconductors_broad,VanEck Semiconductor ETF,ok,2026-05-14,0.009275752637355916,0.0697464277876434,0.27543050669150104,0.4226934583523829,-0.744578108165721,4875375926.599585,"NVDA,TSM,AVGO,ASML,AMD,MU,INTC,QCOM,LRCX,AMAT,KLAC,ARM",1.1563787367402374
ARKK,innovation_beta,ARK Innovation ETF,ok,2026-05-13,-0.0020457234955602033,-0.019225920383176165,0.04303088523200893,0.10131226226772028,-0.271434767037546,620017927.8647995,"TSLA,COIN,ROKU,HOOD,CRSP,PATH,PLTR",-0.07989463038175312
XBI,biotech_small,SPDR Biotech ETF,ok,2026-05-13,0.006967625942406297,-0.01329159405589897,0.0009578903746183531,0.08985162006044156,-0.5911966894535053,1069851165.8999634,"EXEL,INSM,CRSP,BEAM,EDIT",-0.14244516556609355
XME,metals_mining,SPDR Metals & Mining ETF,ok,2026-05-13,-0.002103577179937477,-0.006444361653706654,0.0701023256281923,-0.0026149367581385086,-0.20831103237387366,260319574.79232788,"MP,FCX,CLF,X,NUE,STLD,AA",-0.1898906569349878
ITA,aerospace_defense,iShares U.S. Aerospace & Defense ETF,ok,2026-05-13,0.0014197938022331158,0.01024979215687849,-0.041286098901170076,-0.02205455051996852,-1.4161406283534062,218005864.8313141,"RTX,LMT,NOC,GD,RKLB,KTOS,HWM",-0.5535266775639893
URA,nuclear_uranium,Global X Uranium ETF,ok,2026-05-13,-0.019135181785244648,-0.08496390475199589,0.008894799760520211,-0.007447360230867672,-0.5966201407054907,243341299.91703033,"CCJ,UEC,UUUU,LEU,NXE,DNN",-0.636406110917001
NLR,nuclear_power,VanEck Uranium and Nuclear ETF,ok,2026-05-13,-0.025017870998548686,-0.08609719332338772,-0.03508776664156277,-0.0681787857181575,0.4494884530390044,68359894.85404968,"CEG,BWXT,CCJ,LEU,SMR,OKLO",-0.7603492143565409
