ticker,source_etf,source_etf_theme,source_etf_label,etf_attention_score,ticker_in_scored_universe,ticker_participation_score,ticker_ret_5d,ticker_ret_21d,ticker_dollar_volume_20d,ticker_market_cap,ticker_name,combined_watch_score
MU,DRAM,memory_semiconductors,Roundhill Memory ETF,1.496317768076435,True,3.7167276358892662,0.22805927592217246,0.7405693541929979,28327236104.812798,895533582366.5304,MICRON TECHNOLOGY INC,3.3546815860210684
MU,SOXX,semiconductors_broad,iShares Semiconductor ETF,1.2703304747112543,True,3.7167276358892662,0.22805927592217246,0.7405693541929979,28327236104.812798,895533582366.5304,MICRON TECHNOLOGY INC,3.1286942926558874
MU,XSD,semiconductors_equal_weight,SPDR S&P Semiconductor ETF,1.2516143322460085,True,3.7167276358892662,0.22805927592217246,0.7405693541929979,28327236104.812798,895533582366.5304,MICRON TECHNOLOGY INC,3.1099781501906416
MU,SMH,semiconductors_broad,VanEck Semiconductor ETF,1.1563787367402374,True,3.7167276358892662,0.22805927592217246,0.7405693541929979,28327236104.812798,895533582366.5304,MICRON TECHNOLOGY INC,3.0147425546848705
AMD,SOXX,semiconductors_broad,iShares Semiconductor ETF,1.2703304747112543,True,3.1271945973784474,0.10067080247126192,0.7417480051018694,16963729185.214533,733085413386.3478,ADVANCED MICRO DEVICES INC,2.833927773400478
SNDK,DRAM,memory_semiconductors,Roundhill Memory ETF,1.496317768076435,True,2.6499261069509203,0.049464186415318245,0.5769973045748304,18916121777.621216,208249739843.73096,SANDISK CORP,2.821280821551895
AMD,XSD,semiconductors_equal_weight,SPDR S&P Semiconductor ETF,1.2516143322460085,True,3.1271945973784474,0.10067080247126192,0.7417480051018694,16963729185.214533,733085413386.3478,ADVANCED MICRO DEVICES INC,2.815211630935232
MRVL,SOXX,semiconductors_broad,iShares Semiconductor ETF,1.2703304747112543,True,2.996755755910174,0.1537604605577787,0.3715690682367121,4196293938.780749,159875035491.94336,MARVELL TECHNOLOGY INC,2.768708352666341
ON,SOXX,semiconductors_broad,iShares Semiconductor ETF,1.2703304747112543,True,2.993492903471712,0.18198983647267641,0.6418610750778555,1367655452.896356,46605126756.12383,ON SEMICONDUCTOR CORP,2.7670769264471105
STX,DRAM,memory_semiconductors,Roundhill Memory ETF,1.496317768076435,True,2.5207159737466536,0.06209230559975487,0.5666475510875792,3260895275.414697,182529132926.96875,Seagate Technology,2.756675754949762
MRVL,XSD,semiconductors_equal_weight,SPDR S&P Semiconductor ETF,1.2516143322460085,True,2.996755755910174,0.1537604605577787,0.3715690682367121,4196293938.780749,159875035491.94336,MARVELL TECHNOLOGY INC,2.7499922102010954
ON,XSD,semiconductors_equal_weight,SPDR S&P Semiconductor ETF,1.2516143322460085,True,2.993492903471712,0.18198983647267641,0.6418610750778555,1367655452.896356,46605126756.12383,ON SEMICONDUCTOR CORP,2.7483607839818642
