rebalance_date,ticker,Name,sector,weight,raw_score,concentrated_score,portfolio_sleeve_label,concentrated_selection_source,period_forward_return,raw_period_forward_return,risk_adjusted_forward_return,weighted_forward_return,raw_weighted_forward_return,position_risk_action,position_risk_reason,position_risk_hard_stop,position_risk_enabled,target_n,weighting_mode,rebalance_action,active_rebalance_interval_months,next_scheduled_rebalance_date,portfolio_monster_early_score,portfolio_risk_entry_block_score,portfolio_defensive_rotation_action,target_stock_names,portfolio_mode
2019-05-31,MA,MASTERCARD INC CLASS A,Financials,0.5,5.754177477765715,0.7563239920904526,early_scout,preferred_final_label,0.07223982199124857,0.07223982199124857,0.07223982199124857,0.03611991099562428,0.03611991099562428,hold,hold,-0.08,True,1,conviction_curve,initial_rebalance,1,2019-06-28,0.5608871312481104,0.13333333333333333,neutral,1,concentrated_alpha
2019-06-28,MA,MASTERCARD INC CLASS A,Financials,0.5,5.6324724835479465,0.7670288328991904,early_scout,preferred_final_label,0.015824992567917473,0.015824992567917473,0.015824992567917473,0.007912496283958736,0.007912496283958736,hold,hold,-0.08,True,1,conviction_curve,rebalance,1,2019-07-31,0.5798391015662416,0.13333333333333333,neutral,1,concentrated_alpha
2019-07-31,V,VISA INC CLASS A,Financials,0.5,6.024502907071694,0.7608846288876562,early_scout,preferred_final_label,0.008876038643346629,0.008876038643346629,0.008876038643346629,0.004438019321673314,0.004438019321673314,hold,hold,-0.08,True,1,conviction_curve,rebalance,1,2019-08-30,0.565404010209566,0.13333333333333333,neutral,1,concentrated_alpha
2019-08-30,V,VISA INC CLASS A,Financials,0.5,5.884796204981535,0.7578342426720164,early_scout,preferred_final_label,-0.04154680412375811,-0.04154680412375811,-0.04154680412375811,-0.020773402061879054,-0.020773402061879054,hold,hold,-0.08,True,1,conviction_curve,rebalance,1,2019-09-30,0.5523649149581362,0.13333333333333333,neutral,1,concentrated_alpha
2019-09-30,AEP,AMERICAN ELECTRIC POWER INC,Utilities,0.5,3.9769250280583974,0.726167941870593,early_scout,preferred_final_label,0.014784780970979794,0.014784780970979794,0.014784780970979794,0.007392390485489897,0.007392390485489897,hold,hold,-0.08,True,1,conviction_curve,rebalance,1,2019-10-31,0.565644579402389,0.13333333333333333,neutral,1,concentrated_alpha
2019-10-31,V,VISA INC CLASS A,Financials,0.5,5.962203858101926,0.7579288728513152,early_scout,preferred_final_label,0.024529968632897248,0.024529968632897248,0.024529968632897248,0.012264984316448624,0.012264984316448624,hold,hold,-0.08,True,1,conviction_curve,rebalance,1,2019-11-29,0.49398329358382526,0.146875,neutral,1,concentrated_alpha
2019-11-29,MA,MASTERCARD INC CLASS A,Financials,0.5,6.046650995165139,0.7853858430024984,early_scout,preferred_final_label,0.03396559004774269,0.03396559004774269,0.03396559004774269,0.016982795023871344,0.016982795023871344,hold,hold,-0.08,True,1,conviction_curve,rebalance,1,2019-12-31,0.5415544103539468,0.146875,neutral,1,concentrated_alpha
2019-12-31,LRCX,LAM RESEARCH CORP,Information Technology,0.5,2.981044337273629,0.6499511120404018,early_scout,monster_extreme_early,0.014267433112120642,0.014267433112120642,0.014267433112120642,0.007133716556060321,0.007133716556060321,hold,hold,-0.08,True,1,conviction_curve,rebalance,1,2020-01-31,0.6511512052510626,0.2416666666666667,promote_monster_early,1,concentrated_alpha
2020-01-31,MA,MASTERCARD INC CLASS A,Financials,0.5,6.736686823084512,0.7737200769485314,early_scout,preferred_final_label,-0.0624531574807643,-0.0624531574807643,-0.0624531574807643,-0.03122657874038215,-0.03122657874038215,hold,hold,-0.08,True,1,conviction_curve,rebalance,1,2020-02-28,0.5225465332363125,0.13333333333333333,neutral,1,concentrated_alpha
2020-02-28,MA,MASTERCARD INC CLASS A,Financials,0.5,6.798825839747724,0.7783316727629841,early_scout,preferred_final_label,-0.08,-0.22734115770285657,-0.08,-0.04,-0.11367057885142828,risk_exit,hard_stop,-0.08,True,1,conviction_curve,rebalance,1,2020-03-31,0.4036408282564674,0.146875,neutral,1,concentrated_alpha
2020-03-31,MA,MASTERCARD INC CLASS A,Financials,0.5,5.829199598739766,0.7620835876281575,early_scout,preferred_final_label,0.16530482188147433,0.16530482188147433,0.16530482188147433,0.08265241094073716,0.08265241094073716,hold,hold,-0.08,True,1,conviction_curve,rebalance,1,2020-04-30,0.3088997173906542,0.29270833333333335,neutral,1,concentrated_alpha
2020-04-30,AMZN,AMAZON.COM INC,Consumer Discretionary,0.5,6.155234785156496,0.5923787680917265,future_winner,monster_extreme_early,0.04758648889297512,0.04758648889297512,0.04758648889297512,0.02379324444648756,0.02379324444648756,hold,hold,-0.08,True,1,conviction_curve,rebalance,1,2020-05-29,0.6473946585191123,0.10833333333333334,promote_monster_early,1,concentrated_alpha
2020-05-29,NVDA,NVIDIA CORP,Information Technology,0.5,4.787609021423246,0.7443253420055207,early_scout,preferred_final_label,0.0783221850992104,0.0783221850992104,0.0783221850992104,0.0391610925496052,0.0391610925496052,hold,hold,-0.08,True,1,conviction_curve,rebalance,1,2020-06-30,0.5884128314084611,0.2416666666666667,promote_monster_early,1,concentrated_alpha
2020-06-30,NOW,SERVICENOW INC,Information Technology,0.5,5.674326509719267,0.6469646662597797,future_winner,monster_extreme_early,0.09457801615219186,0.09457801615219186,0.09457801615219186,0.04728900807609593,0.04728900807609593,hold,hold,-0.08,True,1,conviction_curve,rebalance,1,2020-07-31,0.6363449372674825,0.2416666666666667,promote_monster_early,1,concentrated_alpha
