ticker,target_weight,Name,sector,portfolio_sleeve_label
CASH,0.1919731774731462,Cash,Cash,
SNDK,0.12,SANDISK CORP,Information Technology,future_winner
WDC,0.1104153943715569,WESTERN DIGITAL CORP,Information Technology,future_winner
STM,0.1056389984119841,STMicroelectronics,Semiconductors,early_scout
CIEN,0.0926794611583633,CIENA CORP,Information Technology,future_winner
MRVL,0.085362735260021,MARVELL TECHNOLOGY INC,Information Technology,future_winner
LITE,0.0634873591219573,LUMENTUM HOLDINGS INC,Information Technology,future_winner
ON,0.0565392822796569,ON SEMICONDUCTOR CORP,Information Technology,future_winner
PWR,0.0527335948983447,QUANTA SERVICES INC,Industrials,future_winner
FIX,0.0396083058545,COMFORT SYSTEMS USA INC,Industrials,future_winner
MU,0.0314494861899499,MICRON TECHNOLOGY INC,Information Technology,future_winner
COHR,0.0253755418403508,COHERENT CORP,Information Technology,future_winner
TER,0.0134631015598921,TERADYNE INC,Information Technology,unassigned
KEYS,0.0112735615802763,KEYSIGHT TECHNOLOGIES INC,Information Technology,future_winner
