ticker,shares,price,price_date,market_value_usd,cost_basis,current_weight
CIEN,104.0,428.2200012207031,2026-06-18,44534.880126953125,384.7685052914754,0.05590313913633919
COHR,46.0,389.57000732421875,2026-06-18,17920.220336914062,280.01750584652547,0.022494650664660953
FIX,12.0,1967.4100341796875,2026-06-18,23608.92041015625,1866.2886962890625,0.02963548478822454
KEYS,20.0,363.6700134277344,2026-06-18,7273.4002685546875,313.2699890136719,0.009130055050068855
LITE,40.0,850.0,2026-06-18,34000.0,325.85889053728863,0.042679057970231256
MRVL,311.0,310.5799865722656,2026-06-18,96590.37582397461,164.9499969482422,0.12124665438699517
MU,34.0,1133.989990234375,2026-06-18,38555.65966796875,470.0354830366454,0.048397624530874865
ON,330.0,121.62000274658203,2026-06-18,40134.60090637207,103.02999877929688,0.05037961643221028
PWR,42.0,702.25,2026-06-18,29494.5,742.2100219726562,0.03702345515597017
SNDK,60.0,2184.75,2026-06-18,131085.0,761.0600128173828,0.16454659747140482
STM,1140.0,78.38999938964844,2026-06-18,89364.59930419922,55.75,0.11217637982912959
TER,24.0,437.9200134277344,2026-06-18,10510.080322265625,213.4003681650596,0.0131929508042871
WDC,154.0,746.22998046875,2026-06-18,114919.4169921875,337.99684083636345,0.1442544841092573
