row_type,ticker,projected_shares,reference_price,projected_market_value_usd,projected_weight
equity,SNDK,43.0,2288.22998046875,98393.88916015625,0.12186453791091945
equity,WDC,118.0,759.655029296875,89639.29345703125,0.11102164137471594
equity,STM,1064.0,80.0999984741211,85226.39837646484,0.10555610459765803
equity,CIEN,170.0,438.4700012207031,74539.90020751953,0.09232047408889098
equity,MRVL,224.0,307.739990234375,68933.7578125,0.08537705556703706
equity,LITE,60.0,841.1900024414062,50471.400146484375,0.06251073017915723
equity,ON,348.0,130.89999389648438,45553.19787597656,0.05641935141403598
equity,PWR,59.0,712.3900146484375,42031.01086425781,0.05205699013039683
equity,FIX,15.0,2011.8599853515625,30177.899780273438,0.03737646558374154
equity,MU,22.0,1187.760009765625,26130.72021484375,0.03236388124752521
equity,COHR,49.0,415.0899963378906,20339.40982055664,0.02519112518388653
equity,TER,25.0,442.989990234375,11074.749755859375,0.013716494723367305
equity,KEYS,24.0,371.95001220703125,8926.80029296875,0.011056178407126289
cash,CASH,0.0,1.0,155965.35718262204,0.1931689695915416
