rebalance_date,equity,equity_value_usd,benchmark_equity,benchmark_value_usd,net_return,bench_return,drawdown_before_month,drawdown_after_month,equity_peak,drawdown_circuit_breaker_active,drawdown_circuit_breaker_event,drawdown_circuit_breaker_cash_target,dd_breaker_level,dd_trigger_equity,dd_breaker_multilevel_active,vol_target_active,vol_cash_floor_p6c,recent_returns_len,raw_gross_return,position_risk_return_delta,position_risk_exit_count,position_risk_enabled,position_risk_hard_stop,position_risk_trailing_stop
2019-04-30,1.005184322581777,100518.4322581777,0.9386810683613055,93868.10683613055,0.005184322581777026,-0.06131893163869451,0.0,0.0,1.005184322581777,False,,0.0,0,1.0,1,0,0.0,1,0.0012672417116852109,0.006417080870091813,3,True,-0.08,-0.15
2019-05-31,1.0557713512000648,105577.13512000648,1.0138863711765451,101388.6371176545,0.05032612176874894,0.08011805644118142,0.0,0.0,1.0557713512000648,False,,0.0,0,1.0,1,0,0.0,2,0.05268564067945774,0.0,1,True,-0.08,-0.15
2019-06-28,1.0610739820625934,106107.39820625934,1.0102027204974469,101020.27204974469,0.005022518234181346,-0.0036331987329345505,0.0,0.0,1.0610739820625934,False,,0.0,0,1.0,1,0,0.0,3,0.007955966007486175,0.0,1,True,-0.08,-0.15
2019-07-31,1.069103117742239,106910.3117742239,0.9940281763363923,99402.81763363924,0.007566989498732349,-0.01601118650035893,0.0,0.0,1.069103117742239,False,,0.0,0,1.0,1,0,0.0,4,0.010336543182112967,0.0,1,True,-0.08,-0.15
2019-08-30,1.073667391890633,107366.7391890633,1.0056503165476978,100565.03165476977,0.004269255296938107,0.011691962549935209,0.0,0.0,1.073667391890633,False,,0.0,0,1.0,1,0,0.0,5,0.006703032194638503,0.0003226755255319978,5,True,-0.08,-0.15
2019-09-30,1.0893103670614708,108931.03670614708,1.0489716902723578,104897.16902723578,0.014569665884415082,0.043077969560411544,0.0,0.0,1.0893103670614708,False,,0.0,0,1.0,1,0,0.0,6,0.01669990668469302,0.0,0,True,-0.08,-0.15
2019-10-31,1.0837564607785,108375.64607784999,1.0650333649139971,106503.3364913997,-0.005098552672323366,0.01531182851795454,0.0,-0.005098552672323368,1.0893103670614708,False,,0.0,0,1.0,1,0,0.0,7,-0.002348552672323366,0.0,0,True,-0.08,-0.15
2019-11-29,1.1135639626694345,111356.39626694344,1.114278678263725,111427.8678263725,0.027503874689266114,0.046238282266118924,-0.005098552672323368,0.0,1.1135639626694345,False,,0.0,0,1.0,1,0,0.0,8,0.030253874689266113,0.0,2,True,-0.08,-0.15
2019-12-31,1.192938715052585,119293.8715052585,1.1112243606625787,111122.43606625787,0.07127992198389152,-0.0027410715656029927,0.0,0.0,1.192938715052585,False,,0.0,0,1.0,1,0,0.0,9,0.07338486909923748,0.0,0,True,-0.08,-0.15
2020-01-31,1.1617637544146695,116176.37544146695,1.0569478029777035,105694.78029777035,-0.026132910471047245,-0.048843923519200194,0.0,-0.026132910471047353,1.192938715052585,False,,0.0,0,1.0,1,0,0.0,10,-0.04392631915014524,0.019645973387516495,3,True,-0.08,-0.15
2020-02-28,1.0927284519922347,109272.84519922346,0.8449822658042982,84498.22658042982,-0.059422840624957333,-0.20054494325665084,-0.026132910471047353,-0.08400285932201723,1.192938715052585,False,,0.0,0,1.0,1,0,0.0,11,-0.12096745056048389,0.06365939997828204,10,True,-0.08,-0.15
