ticker,target_weight,Name,sector,portfolio_sleeve_label
CASH,0.1919985179455908,Cash,Cash,
SNDK,0.12,SANDISK CORP,Information Technology,future_winner
WDC,0.1099989190085882,WESTERN DIGITAL CORP,Information Technology,future_winner
STM,0.1063291908532586,STMicroelectronics,Semiconductors,early_scout
CIEN,0.092525549905502,CIENA CORP,Information Technology,future_winner
MRVL,0.0849520252680818,MARVELL TECHNOLOGY INC,Information Technology,future_winner
LITE,0.0632148778167302,LUMENTUM HOLDINGS INC,Information Technology,future_winner
ON,0.0565555884393195,ON SEMICONDUCTOR CORP,Information Technology,future_winner
PWR,0.0525883589251918,QUANTA SERVICES INC,Industrials,future_winner
FIX,0.0396390064619635,COMFORT SYSTEMS USA INC,Industrials,future_winner
MU,0.0320665448094318,MICRON TECHNOLOGY INC,Information Technology,future_winner
COHR,0.0253301407185236,COHERENT CORP,Information Technology,future_winner
TER,0.013589564764906,TERADYNE INC,Information Technology,unassigned
KEYS,0.0112117150829116,KEYSIGHT TECHNOLOGIES INC,Information Technology,future_winner
