row_type,ticker,projected_shares,reference_price,projected_market_value_usd,projected_weight
equity,SNDK,44.0,2184.75,96129.0,0.1211055942677526
equity,WDC,118.0,746.22998046875,88055.1376953125,0.11093395103371098
equity,STM,1078.0,78.38999938964844,84504.41934204102,0.10646067183336189
equity,CIEN,171.0,428.2200012207031,73225.62020874023,0.09225137316527
equity,MRVL,218.0,310.5799865722656,67706.4370727539,0.08529817534196817
equity,LITE,59.0,850.0,50150.0,0.06318015949950372
equity,ON,369.0,121.62000274658203,44877.78101348877,0.05653809296941217
equity,PWR,59.0,702.25,41432.75,0.052197961186501746
equity,FIX,16.0,1967.4100341796875,31478.560546875,0.039657437211691876
equity,MU,23.0,1133.989990234375,26081.769775390625,0.03285843219219372
equity,COHR,51.0,389.57000732421875,19868.070373535156,0.02503026630403421
equity,TER,24.0,437.9200134277344,10510.080322265625,0.013240848476836244
equity,KEYS,24.0,363.6700134277344,8728.080322265625,0.010995842609874816
cash,CASH,0.0,1.0,151014.13877493487,0.1902511939078878
