rebalance_date,portfolio_kind,variant_id,avg_name_overlap,monthly_turnover_proxy,median_holding_months,leader_exit_count,warning_hold_count,shakeout_guard_count,benchmark_risk_score,gross_exposure_cap,market_regime,residual_cash_reason
2019-06-28,main,main_N12_cap12_sub40_theme60,0.0,0.30000000000000004,1.0,0,0,2,0.0,1.0,risk_on,position_caps_or_liquidity_caps_left_cash
2019-06-28,main,main_N12_cap12_sub40_theme70,0.0,0.3500000000000001,1.0,0,0,2,0.0,1.0,risk_on,position_caps_or_liquidity_caps_left_cash
2019-06-28,main,main_N12_cap12_sub50_theme60,0.0,0.30000000000000004,1.0,0,0,2,0.0,1.0,risk_on,position_caps_or_liquidity_caps_left_cash
2019-06-28,main,main_N12_cap12_sub50_theme70,0.0,0.3500000000000001,1.0,0,0,2,0.0,1.0,risk_on,position_caps_or_liquidity_caps_left_cash
2019-06-28,main,main_N12_cap15_sub40_theme60,0.0,0.30000000000000004,1.0,0,0,2,0.0,1.0,risk_on,position_caps_or_liquidity_caps_left_cash
2019-06-28,main,main_N12_cap15_sub40_theme70,0.0,0.35000000000000003,1.0,0,0,2,0.0,1.0,risk_on,position_caps_or_liquidity_caps_left_cash
2019-06-28,main,main_N12_cap15_sub50_theme60,0.0,0.30000000000000004,1.0,0,0,2,0.0,1.0,risk_on,position_caps_or_liquidity_caps_left_cash
2019-06-28,main,main_N12_cap15_sub50_theme70,0.0,0.35000000000000003,1.0,0,0,2,0.0,1.0,risk_on,position_caps_or_liquidity_caps_left_cash
2019-06-28,main,main_N15_cap12_sub40_theme60,0.0,0.3,1.0,0,0,2,0.0,1.0,risk_on,position_caps_or_liquidity_caps_left_cash
2019-06-28,main,main_N15_cap12_sub40_theme60_risk,0.0,0.3,1.0,0,0,2,0.0,1.0,risk_on,position_caps_or_liquidity_caps_left_cash
2019-06-28,main,main_N15_cap12_sub40_theme70,0.0,0.35000000000000003,1.0,0,0,2,0.0,1.0,risk_on,position_caps_or_liquidity_caps_left_cash
2019-06-28,main,main_N15_cap12_sub40_theme70_risk,0.0,0.35000000000000003,1.0,0,0,2,0.0,1.0,risk_on,position_caps_or_liquidity_caps_left_cash
2019-06-28,main,main_N15_cap12_sub50_theme60,0.0,0.3,1.0,0,0,2,0.0,1.0,risk_on,position_caps_or_liquidity_caps_left_cash
2019-06-28,main,main_N15_cap12_sub50_theme60_risk,0.0,0.3,1.0,0,0,2,0.0,1.0,risk_on,position_caps_or_liquidity_caps_left_cash
2019-06-28,main,main_N15_cap12_sub50_theme70,0.0,0.35000000000000003,1.0,0,0,2,0.0,1.0,risk_on,position_caps_or_liquidity_caps_left_cash
2019-06-28,main,main_N15_cap12_sub50_theme70_risk,0.0,0.35000000000000003,1.0,0,0,2,0.0,1.0,risk_on,position_caps_or_liquidity_caps_left_cash
2019-06-28,main,main_N15_cap15_sub40_theme60,0.0,0.3,1.0,0,0,2,0.0,1.0,risk_on,position_caps_or_liquidity_caps_left_cash
2019-06-28,main,main_N15_cap15_sub40_theme60_risk,0.0,0.3,1.0,0,0,2,0.0,1.0,risk_on,position_caps_or_liquidity_caps_left_cash
2019-06-28,main,main_N15_cap15_sub40_theme70,0.0,0.35,1.0,0,0,2,0.0,1.0,risk_on,position_caps_or_liquidity_caps_left_cash
2019-06-28,main,main_N15_cap15_sub40_theme70_risk,0.0,0.35,1.0,0,0,2,0.0,1.0,risk_on,position_caps_or_liquidity_caps_left_cash
2019-06-28,main,main_N15_cap15_sub50_theme60,0.0,0.3,1.0,0,0,2,0.0,1.0,risk_on,position_caps_or_liquidity_caps_left_cash
2019-06-28,main,main_N15_cap15_sub50_theme60_risk,0.0,0.3,1.0,0,0,2,0.0,1.0,risk_on,position_caps_or_liquidity_caps_left_cash
2019-06-28,main,main_N15_cap15_sub50_theme70,0.0,0.35,1.0,0,0,2,0.0,1.0,risk_on,position_caps_or_liquidity_caps_left_cash
2019-06-28,main,main_N15_cap15_sub50_theme70_risk,0.0,0.35,1.0,0,0,2,0.0,1.0,risk_on,position_caps_or_liquidity_caps_left_cash
2019-06-28,main,main_N18_cap12_sub40_theme60,0.0,0.35708608705327377,1.0,0,0,3,0.0,1.0,risk_on,position_caps_or_liquidity_caps_left_cash
2019-06-28,main,main_N18_cap12_sub40_theme60_risk,0.0,0.35708608705327377,1.0,0,0,3,0.0,1.0,risk_on,position_caps_or_liquidity_caps_left_cash
2019-06-28,main,main_N18_cap12_sub40_theme70,0.0,0.39465702919454626,1.0,0,0,3,0.0,1.0,risk_on,position_caps_or_liquidity_caps_left_cash
2019-06-28,main,main_N18_cap12_sub40_theme70_risk,0.0,0.39465702919454626,1.0,0,0,3,0.0,1.0,risk_on,position_caps_or_liquidity_caps_left_cash
2019-06-28,main,main_N18_cap12_sub50_theme60,0.0,0.35708608705327377,1.0,0,0,3,0.0,1.0,risk_on,position_caps_or_liquidity_caps_left_cash
2019-06-28,main,main_N18_cap12_sub50_theme60_risk,0.0,0.35708608705327377,1.0,0,0,3,0.0,1.0,risk_on,position_caps_or_liquidity_caps_left_cash
2019-06-28,main,main_N18_cap12_sub50_theme70,0.0,0.39465702919454626,1.0,0,0,3,0.0,1.0,risk_on,position_caps_or_liquidity_caps_left_cash
2019-06-28,main,main_N18_cap12_sub50_theme70_risk,0.0,0.39465702919454626,1.0,0,0,3,0.0,1.0,risk_on,position_caps_or_liquidity_caps_left_cash
2019-06-28,main,main_N18_cap15_sub40_theme60,0.0,0.35708608705327377,1.0,0,0,3,0.0,1.0,risk_on,position_caps_or_liquidity_caps_left_cash
2019-06-28,main,main_N18_cap15_sub40_theme60_risk,0.0,0.35708608705327377,1.0,0,0,3,0.0,1.0,risk_on,position_caps_or_liquidity_caps_left_cash
2019-06-28,main,main_N18_cap15_sub40_theme70,0.0,0.39465702919454626,1.0,0,0,3,0.0,1.0,risk_on,position_caps_or_liquidity_caps_left_cash
2019-06-28,main,main_N18_cap15_sub40_theme70_risk,0.0,0.39465702919454626,1.0,0,0,3,0.0,1.0,risk_on,position_caps_or_liquidity_caps_left_cash
2019-06-28,main,main_N18_cap15_sub50_theme60,0.0,0.35708608705327377,1.0,0,0,3,0.0,1.0,risk_on,position_caps_or_liquidity_caps_left_cash
2019-06-28,main,main_N18_cap15_sub50_theme60_risk,0.0,0.35708608705327377,1.0,0,0,3,0.0,1.0,risk_on,position_caps_or_liquidity_caps_left_cash
2019-06-28,main,main_N18_cap15_sub50_theme70,0.0,0.39465702919454626,1.0,0,0,3,0.0,1.0,risk_on,position_caps_or_liquidity_caps_left_cash
2019-06-28,main,main_N18_cap15_sub50_theme70_risk,0.0,0.39465702919454626,1.0,0,0,3,0.0,1.0,risk_on,position_caps_or_liquidity_caps_left_cash
2019-06-28,concentrated,concentrated_N3_cap40_sub70,0.0,0.45,1.0,0,0,0,0.0,1.0,risk_on,position_caps_or_liquidity_caps_left_cash
2019-06-28,concentrated,concentrated_N3_cap40_sub70_risk,0.0,0.45,1.0,0,0,0,0.0,1.0,risk_on,position_caps_or_liquidity_caps_left_cash
2019-06-28,concentrated,concentrated_N3_cap40_sub80,0.0,0.45,1.0,0,0,0,0.0,1.0,risk_on,position_caps_or_liquidity_caps_left_cash
2019-06-28,concentrated,concentrated_N3_cap40_sub80_risk,0.0,0.45,1.0,0,0,0,0.0,1.0,risk_on,position_caps_or_liquidity_caps_left_cash
2019-06-28,concentrated,concentrated_N3_cap45_sub70,0.0,0.4776964404425312,1.0,0,0,0,0.0,1.0,risk_on,position_caps_or_liquidity_caps_left_cash
2019-06-28,concentrated,concentrated_N3_cap45_sub70_risk,0.0,0.4776964404425312,1.0,0,0,0,0.0,1.0,risk_on,position_caps_or_liquidity_caps_left_cash
2019-06-28,concentrated,concentrated_N3_cap45_sub80,0.0,0.4776964404425312,1.0,0,0,0,0.0,1.0,risk_on,position_caps_or_liquidity_caps_left_cash
2019-06-28,concentrated,concentrated_N3_cap45_sub80_risk,0.0,0.4776964404425312,1.0,0,0,0,0.0,1.0,risk_on,position_caps_or_liquidity_caps_left_cash
2019-06-28,concentrated,concentrated_N5_cap30_sub70,0.0,0.45,1.0,0,0,0,0.0,1.0,risk_on,position_caps_or_liquidity_caps_left_cash
2019-06-28,concentrated,concentrated_N5_cap30_sub70_risk,0.0,0.45,1.0,0,0,0,0.0,1.0,risk_on,position_caps_or_liquidity_caps_left_cash
2019-06-28,concentrated,concentrated_N5_cap30_sub80,0.0,0.45,1.0,0,0,0,0.0,1.0,risk_on,position_caps_or_liquidity_caps_left_cash
2019-06-28,concentrated,concentrated_N5_cap30_sub80_risk,0.0,0.45,1.0,0,0,0,0.0,1.0,risk_on,position_caps_or_liquidity_caps_left_cash
2019-06-28,concentrated,concentrated_N5_cap35_sub70,0.0,0.46169544787318456,1.0,0,0,0,0.0,1.0,risk_on,position_caps_or_liquidity_caps_left_cash
2019-06-28,concentrated,concentrated_N5_cap35_sub70_risk,0.0,0.46169544787318456,1.0,0,0,0,0.0,1.0,risk_on,position_caps_or_liquidity_caps_left_cash
2019-06-28,concentrated,concentrated_N5_cap35_sub80,0.0,0.46169544787318456,1.0,0,0,0,0.0,1.0,risk_on,position_caps_or_liquidity_caps_left_cash
2019-06-28,concentrated,concentrated_N5_cap35_sub80_risk,0.0,0.46169544787318456,1.0,0,0,0,0.0,1.0,risk_on,position_caps_or_liquidity_caps_left_cash
2019-07-31,main,main_N12_cap12_sub40_theme60,0.8333333333333334,0.27540961428364985,2.0,0,1,2,0.0,1.0,risk_on,position_caps_or_liquidity_caps_left_cash
2019-07-31,main,main_N12_cap12_sub40_theme70,0.8333333333333334,0.25245644059677647,2.0,0,1,2,0.0,1.0,risk_on,position_caps_or_liquidity_caps_left_cash
2019-07-31,main,main_N12_cap12_sub50_theme60,0.8333333333333334,0.27540961428364985,2.0,0,1,2,0.0,1.0,risk_on,position_caps_or_liquidity_caps_left_cash
