rebalance_date,portfolio_kind,variant_id,position_count,avg_market_leader_tape_score,avg_sector_leadership_score,avg_future_winner_confirmation_score,avg_smart_money_confirmation_score,avg_leader_chase_risk_score,dual_leader_share,evidence_confidence_avg
2019-06-28,main,main_N18_cap12_sub40_theme60_risk,18,1.4715735288037015,1.358173006629147,0.5066471854420542,0.07497978945500848,0.09273458347274868,1.0,1.0
2019-06-28,concentrated,concentrated_N5_cap30_sub70_risk,5,2.378274747121579,1.3854577055312465,0.6208959692727352,0.07494612183993823,0.14649565524077773,1.0,1.0
2019-07-31,main,main_N18_cap12_sub40_theme60_risk,18,1.2612213247578725,0.9569052062913914,0.4305746352646322,0.08187286507349248,0.0788267202953003,1.0,1.0
2019-07-31,concentrated,concentrated_N5_cap30_sub70_risk,5,1.3915412745876852,0.8742968643974715,0.44742046437482835,0.07486183883351283,0.09819309593957995,1.0,1.0
2019-08-30,main,main_N18_cap12_sub40_theme60_risk,18,1.1121879515346709,0.5980121909722582,0.36814109998139627,0.06563631945438612,0.0559163838577293,1.0,1.0
2019-08-30,concentrated,concentrated_N5_cap30_sub70_risk,5,0.9162088233151024,0.6828039506146588,0.22265087310470624,0.080630082644901,0.05266475049378076,1.0,1.0
2019-09-30,main,main_N18_cap12_sub40_theme60_risk,18,0.6588937046689991,0.4734089150344295,0.3770108843825819,0.05177993934280847,0.06009668310535172,1.0,1.0
2019-09-30,concentrated,concentrated_N5_cap30_sub70_risk,5,1.0843315682783263,0.3034240509116487,0.29662541596797765,0.0691950931690612,0.08599943878509822,1.0,1.0
2019-10-31,main,main_N18_cap12_sub40_theme60_risk,18,1.3486915964749886,0.6086449856606224,0.41394388017091477,0.06440204354158921,0.0886722665258593,1.0,1.0
2019-10-31,concentrated,concentrated_N5_cap30_sub70_risk,5,1.551324737007173,0.4318868580783132,0.33319173292365356,0.07673593761779055,0.10110276467843352,1.0,1.0
2019-11-29,main,main_N18_cap12_sub40_theme60_risk,18,1.30730926966664,1.761741641553425,0.5566635806886163,0.054362877116130644,0.1179729108401672,1.0,1.0
2019-11-29,concentrated,concentrated_N5_cap30_sub70_risk,5,2.598283179219277,1.7902869777637545,0.6309011185970785,0.06884042693451042,0.24203891034288466,1.0,1.0
2019-12-31,main,main_N18_cap12_sub40_theme60_risk,18,1.649203532511393,1.3987574625679224,0.6454279772458454,0.051132251963507534,0.1531625951700143,0.8888888888888888,1.0
2019-12-31,concentrated,concentrated_N5_cap30_sub70_risk,5,1.4110492759628772,1.4469132476763358,0.5953015072802377,0.06897668818973735,0.1546390748227746,1.0,1.0
2020-01-31,main,main_N18_cap12_sub40_theme60_risk,18,0.9191334737521439,0.9931198850882761,0.542855409383128,0.06159370976960074,0.08684361475322029,0.7222222222222222,1.0
2020-01-31,concentrated,concentrated_N5_cap30_sub70_risk,5,1.7901580518687763,0.8911202415909709,0.44587420091953495,0.07783826360285641,0.1157458261716408,1.0,1.0
2020-02-28,main,main_N18_cap12_sub40_theme60_risk,18,2.3711818883709554,1.3517473063881265,0.6118313362583646,0.1273962521600176,0.1830252005657522,0.9444444444444444,1.0
2020-02-28,concentrated,concentrated_N5_cap30_sub70_risk,5,3.3315728016344273,1.4254835345593246,0.7545803730852952,0.16917921579979125,0.2771820529292968,1.0,1.0
2020-03-31,main,main_N18_cap12_sub40_theme60_risk,18,1.3181310844285745,0.8571776991605149,0.5598411184841754,0.12677924521696235,0.11220355989441015,0.8333333333333334,1.0
2020-03-31,concentrated,concentrated_N5_cap30_sub70_risk,5,2.0132172637114687,0.9718279511761836,0.7338320802491152,0.17071133662554505,0.14863194771866253,1.0,1.0
