rebalance_date,source_rebalance_date,state,multiplier,shadow_drawdown,stock_weight_sum
2025-08-29,2025-08-29,caution,0.8,-0.11455501376980082,0.8
2025-09-17,2025-08-29,normal,1.0,-0.07553960979862728,1.0
2025-09-30,2025-09-30,normal,1.0,-0.0964948579937358,1.0
2025-10-31,2025-10-31,normal,1.0,-0.08598066007564165,1.0
2025-11-28,2025-11-28,normal,1.0,-0.010477699899092974,1.0
2025-12-31,2025-12-31,normal,1.0,-0.030705662019455793,1.0
2026-01-30,2026-01-30,normal,1.0,-0.0005611937786651477,1.0
2026-02-27,2026-02-27,normal,1.0,0.0,1.0
2026-03-31,2026-03-31,normal,1.0,-0.00710366150366315,1.0
2026-05-07,2026-03-31,caution,0.8,-0.11054823817556103,0.8
