signal,ic_all,n_all,ic_deep_bear,n_deep_bear,ic_bear,n_bear,ic_neutral,n_neutral,ic_bull,n_bull,ic_strong_bull,n_strong_bull
rs_acceleration_score,0.03342434513322236,926,,6,0.02905273565026476,146,0.023911825014611872,386,0.015237107491959346,216,,5
h1_oversold_value_score,0.008921986952653106,926,,6,,146,0.01579201935890216,386,,216,,5
h6_dynamic_leader_score,0.022867384396337977,926,,6,-0.026423505760501922,146,0.06544841148966768,386,0.05073331699847699,216,,5
stage2_overext_penalty,,926,,6,,146,,386,,216,,5
theme_phase_multiplier_primary,-0.050385941566299594,926,,6,0.05636225180972978,146,-0.07812858137210489,386,0.002362713475791997,216,,5
theme_phase_multiplier_max,-0.028124871653152722,926,,6,0.06184197346585468,146,-0.04349602633818968,386,0.06021327955697633,216,,5
explosion_entry_score,,926,,6,,146,,386,,216,,5
explosion_exit_score,,926,,6,,146,,386,,216,,5
explosion_net_score,,926,,6,,146,,386,,216,,5
portfolio_monster_early_score,0.039411168882228974,926,,6,,146,,386,,216,,5
entry_quality_score,-0.015077482738606594,926,,6,0.008125982757470066,146,-0.048953310027585066,386,0.09930583113986412,216,,5
breakout_setup_quality_score,,926,,6,,146,,386,,216,,5
selection_confirmation_score,-0.01066008520882578,926,,6,-0.02089487966758668,146,0.04065465640747082,386,0.02043321977753167,216,,5
portfolio_risk_entry_block_score,0.0357282000749673,926,,6,,146,,386,,216,,5
portfolio_hold_policy_exit_risk,,926,,6,,146,,386,,216,,5
broken_momentum_penalty,,926,,6,,146,,386,,216,,5
relative_strength_composite,,926,,6,,146,,386,,216,,5
