ticker,position_pnl_usd,avg_weight,max_weight,days_held,sector,industry_group,primary_lane
DDOG,-53766.1819152832,0.06889934730955466,0.2151291770396478,28,Information Technology,Software - Application,MARKET_LEADER
ORLY,-19041.886909484863,0.05870933750076068,0.1018110226125717,41,Consumer Discretionary,Auto Manufacturers & Parts,QUALITY_COMPOUNDER
STLD,-16439.625659942627,0.01543863979688415,0.0234817772502201,42,Materials,Metals & Mining,MARKET_LEADER
MA,-16031.856994628906,0.045856380246968226,0.1071558573194026,123,Financials,Consumer Finance,QUALITY_COMPOUNDER
NVDA,-11828.239923477173,0.05749777322180847,0.0790769178825127,48,Information Technology,Semiconductors,MARKET_LEADER
BLDR,-10084.340187072754,0.036355657464379326,0.0678906274754152,84,Industrials,Construction & Engineering,MARKET_LEADER
NET,-8435.995483398438,0.26272893115240253,0.272654694878456,6,Information Technology,Software - Infrastructure,MARKET_LEADER
TMUS,-6328.466018676758,0.023363472899788258,0.0406722476179323,42,Communication,Communication Equipment,MARKET_LEADER
WCC,-6002.287811279297,0.04996989334432845,0.068414228971704,65,Industrials,Capital Goods - Machinery,QUALITY_COMPOUNDER
LOPE,-4438.560012817381,0.07623298402524889,0.0912918787384906,42,Consumer Discretionary,Other,MARKET_LEADER
RKLB,-3643.319808959961,0.06383053793109919,0.0760584440750137,22,Industrials,Aerospace & Defense,MARKET_LEADER
DXCM,-3516.9009704589844,0.09778492338934774,0.1024714340192665,6,Health Care,Medical Devices,MARKET_LEADER
FANG,-3513.244110107422,0.027767805795665033,0.0391183383108193,43,Energy,Oil Gas & Consumable Fuels,QUALITY_COMPOUNDER
LPX,-2579.616241455078,0.02858486365035778,0.030705580872477,23,Materials,Construction & Engineering,MARKET_LEADER
ACLS,-2537.2397537231445,0.024743939205080008,0.0311203375409753,62,Information Technology,Semiconductors,MARKET_LEADER
CTAS,-2481.61068725586,0.01735863847573559,0.0230279900883202,44,Industrials,Commercial Services,QUALITY_COMPOUNDER
PCTY,-1790.8793334960938,0.08742321307111105,0.0893509475296359,6,Industrials,Software - Application,MARKET_LEADER
KNSL,-1529.9507904052734,0.05429654420035742,0.0585814877197483,20,Financials,Insurance,MARKET_LEADER
TSLA,-1418.2789001464844,0.07333030894451076,0.0774941763746497,28,Consumer Discretionary,Auto Manufacturers & Parts,MARKET_LEADER
CARR,-1108.8512496948242,0.10209023371451464,0.1057156752526879,11,Industrials,Construction & Engineering,QUALITY_COMPOUNDER
BRKR,-947.1017074584961,0.019336067373014985,0.0218174293815334,23,Health Care,Medical Devices,QUALITY_COMPOUNDER
MLI,-929.6438140869177,0.10375600272835774,0.1058403041124661,11,Industrials,Other,MARKET_LEADER
RGLD,-608.5962524414058,0.018010261365290322,0.0198587962652546,21,Materials,Metals & Mining,MARKET_LEADER
PLNT,-479.4400634765625,0.039255806832199744,0.0411244330394256,19,Consumer Discretionary,Specialty Retail,QUALITY_COMPOUNDER
CW,-131.94351196289062,0.015594331122248442,0.0163872580463555,21,Industrials,Aerospace & Defense,QUALITY_COMPOUNDER
LOW,-110.73623657226562,0.011796450333545015,0.012434384481242,21,Consumer Discretionary,Specialty Retail,QUALITY_COMPOUNDER
DPZ,-64.94970703125,0.009816169423340066,0.0100909544976385,20,Consumer Discretionary,Hotels Restaurants & Leisure,QUALITY_COMPOUNDER
AFG,-58.96095275878906,0.04160997503123492,0.0430475243439325,21,Financials,Insurance,QUALITY_COMPOUNDER
FDS,101.864501953125,0.005039944688513485,0.0053389683826264,20,Financials,Capital Markets,QUALITY_COMPOUNDER
FTNT,143.88757324218932,0.04915755185196762,0.0536735370340215,23,Information Technology,Software - Infrastructure,QUALITY_COMPOUNDER
