ticker,pnl_usd,contribution_return_on_start,positive_contribution_share
WDC,111865.69262695312,1.115975853862447,0.10207067263420283
SNDK,90225.71887207031,0.9000947591178763,0.08232550657767775
STM,84497.68544960022,0.842951708022571,0.07709902283120472
MRVL,83914.88276672362,0.8371376491598108,0.07656725066355177
RVMD,49161.238082885735,0.4904341389941452,0.044856653731935224
CIEN,35713.56044006348,0.3562796615355251,0.03258646194982955
ON,31623.56079864502,0.3154776896803102,0.028854584868753447
RKLB,28042.850090980537,0.2797564010923425,0.025587403109475222
AXON,23150.40985107422,0.23094925525534493,0.021123347558724907
LITE,20707.92041015625,0.20658289971443541,0.01889472380212943
ONTO,19866.150329589844,0.19818537351711746,0.018126659560903265
SQM,17418.228401184082,0.1737648233011434,0.015893078988335578
TPL,17228.414978027344,0.17187123830642753,0.01571988573022723
MU,16167.456924438473,0.16128708563225186,0.014751825732354402
MRNA,14545.259349823,0.145103988911954,0.013271668646671826
UI,12840.492614746094,0.1280971795127749,0.011716172200464794
SN,12503.879997253422,0.1247391208943925,0.011409033564142988
DVA,12421.240112304688,0.12391470266568404,0.01133362967180524
GOOG,12377.303039550781,0.12347638497299993,0.011293539752686566
CRS,11870.010635375977,0.11841561915094567,0.010830666143268013
XPO,11562.143775939941,0.11534432916679642,0.010549756271023192
XOM,11038.31204986572,0.11011856652180595,0.010071791531593792
PWR,10151.331298828125,0.10127001717880355,0.009262475290430285
MTSI,10036.479232788086,0.10012424916488417,0.009157679732839378
CPRT,9783.759880065918,0.09760311253381544,0.008927088622068237
ACLS,9091.380294799805,0.09069591086439041,0.00829533416431883
ROKU,8988.969749450684,0.08967425987286053,0.00820189074120001
GOOGL,8931.386245727539,0.08909980493295214,0.008149349279920582
NTRA,8902.24951171875,0.08880913590967388,0.008122763773955329
SFM,8725.320045471191,0.0870440816957113,0.007961326346584969
TLN,8617.260070800785,0.08596607181020235,0.007862728161203638
ALB,8373.129852294922,0.08353062066648805,0.007639974115454098
RH,8125.599914550781,0.08106125381107755,0.007414118031704616
EXP,8073.834289550781,0.08054483822195904,0.007366885032569662
HUBS,7970.759948730471,0.07951656518482826,0.007272835936266823
JBL,7829.915809631348,0.07811149938939427,0.0071443241854624575
DKS,7641.891433715824,0.0762357619891976,0.0069727633246601745
NEM,7398.987579345703,0.07381254509471014,0.006751128261945469
KBR,7268.7952880859375,0.0725137424860369,0.00663233567747556
CRUS,7247.7602005004865,0.07230389575574821,0.006613142433431325
CW,6945.1044921875,0.06928459238775969,0.00633698742112468
HIMX,6937.508076667786,0.06920881029499441,0.0063300561518186225
EHC,6202.420616149902,0.061875553447869075,0.00565933334326069
KGC,5911.380516052246,0.05897212777206507,0.005393776870289494
GE,5803.868347167969,0.05789958281521808,0.005295678524526103
JD,5741.780059814453,0.057280188004645904,0.005239026720884991
EBAY,5658.589878082275,0.05645027999700379,0.00516312071604505
MOS,5644.2503662109375,0.05630722855175014,0.005150036779517392
BKR,5316.309413909912,0.053035678752465,0.0048508105127361
RGLD,4922.223724365234,0.049104266864182206,0.004491231177349702
MSTR,4768.819091796875,0.04757389716998267,0.004351258736615155
HLI,4700.625244140625,0.0468935930876566,0.004289035978803251
SE,4599.360240936278,0.0458833700624954,0.004196637793545138
HII,4528.2274169921875,0.045173746655403316,0.004131733397784088
CHRW,4330.506591796875,0.04320127715611232,0.003951325113997066
NVDA,4246.307215690613,0.04236130139197683,0.0038744982803832393
ATI,4237.640914916992,0.042274846088491407,0.0038665908055494345
KMI,4218.781138420105,0.04208670033365345,0.003849382401189149
VKTX,4192.439060211182,0.04182391088917428,0.003825346849464332
UAL,4160.849731445314,0.04150877469938649,0.003796523499253222
WING,3901.0165405273438,0.03891667018291545,0.0035594414417708517
CHRD,3382.490509033203,0.033743837322743664,0.003086317827460895
COO,3344.613105773926,0.03336597109359219,0.003051756989928657
BLD,3261.980339050293,0.032541623876533046,0.0029763595925404052
SWKS,3217.200584411621,0.03209489956146273,0.002935500777214369
OC,3203.939292907715,0.03196260447829775,0.002923400651500976
KLAC,3032.387481689453,0.03025119792897808,0.0027668700088037818
AN,2951.7300453186035,0.029446556672927542,0.002693274980784088
FTNT,2884.0478019714355,0.028771356372129662,0.0026315190309338056
WDAY,2833.559875488282,0.028267687145723728,0.002585451854348873
CEG,2793.455596923828,0.027867605534789147,0.0025488591279065127
KNSL,2752.4485473632812,0.02745851785050403,0.002511442677580252
LULU,2710.4794921875,0.02703983316634638,0.0024731484553659447
NFG,2674.653888702392,0.026682435759683404,0.0024404597609201362
TSCO,2649.457334518432,0.026431074100809082,0.002417469430522796
P,2621.8093032836914,0.026155256425700248,0.0023922422757189335
MA,2474.6727294921884,0.024687417093413266,0.002257989059175829
CRM,2391.899658203127,0.02386167019336349,0.002182463642365084
WAL,2307.5025329589826,0.023019721677280405,0.0021054563746338573
RUN,2292.6904544830304,0.022871955891930987,0.0020919412496867226
CNC,2142.3700866699214,0.021372354925059286,0.001954783013832668
DLTR,2140.3098754882812,0.021351802190091338,0.0019529031958461136
BAC,2104.2490692138654,0.02099205839261394,0.001919999893093269
BWA,1996.8448371887207,0.01992059021744777,0.0018220000331797828
DPZ,1950.7670898437495,0.01946091708415889,0.0017799568780843763
SHOP,1893.5377349853516,0.018889995145052157,0.0017277385562053168
LI,1790.0900173187256,0.017857997288138888,0.0016333487761329094
VRSN,1749.5337829589844,0.01745340695122488,0.0015963436673868904
LSCC,1659.040382385254,0.016550641790587482,0.0015137739174607946
COF,1613.1520385742206,0.016092858153224896,0.0014719035816243972
ITT,1600.0153884887686,0.01596180649697768,0.0014599171836600657
TGT,1463.5788269042969,0.014600710840778242,0.0013354270805212463
UTHR,1455.579864501955,0.014520912926982316,0.0013281285115533193
TEAM,1423.3603515625,0.014199489999011484,0.0012987301564325625
BRBR,1352.5099601745605,0.013492684148451778,0.0012340834632816986
DXCM,1348.312858581543,0.013450813723980937,0.001230253862153299
CHWY,1280.4002685546875,0.01277331547707901,0.00116828773490204
PDD,1265.4501953125,0.0126241730513722,0.00115464669808435
DASH,1236.2405548095703,0.012332776710494245,0.0011279946693566528
HEI,1214.8668518066406,0.0121195519415882,0.0011084924592423512
FIX,1213.4560546875,0.012105477782811836,0.0011072051922749774
ALLY,1136.0877990722656,0.011333649502894174,0.0010366113425813387
VICI,1097.600578308105,0.010949699714121061,0.0010014940834917328
CCJ,1054.1889953613281,0.010516624325153443,0.0009618836420110764
SAIA,1046.8997192382812,0.010443906265179652,0.0009552326188115244
EQT,959.4225730895996,0.009571231358563968,0.0008754150184566764
ZM,918.2300415039072,0.00916029329945412,0.0008378293270107879
ARES,914.6721649169922,0.009124799804810858,0.00083458298000441
BR,843.519287109375,0.008414976339712193,0.000769660286306871
VRT,843.085262298584,0.008410646493827851,0.000769264264941097
XYZ,830.0201644897461,0.00828030864546145,0.000757343154097696
FANG,762.5241622924809,0.007606966292542017,0.0006957571380224284
EFX,679.1948547363281,0.006775670361073051,0.0006197241892902132
BKNG,661.0300445556641,0.006594457613218204,0.0006031498996230854
VVV,606.1765193939227,0.006047237029836323,0.0005530993785192891
BBY,603.1642456054688,0.006017186486777088,0.0005503508610379626
PYPL,531.5070190429678,0.005302331621799171,0.0004849679796327867
SAN,528.3198475837708,0.005270536293785205,0.0004820598786144912
CXT,527.4328460693359,0.005261687537305864,0.00048125054342798465
AM,526.0415525436401,0.005247807947023529,0.00047998107230896197
URI,397.1224136352539,0.003961706348365629,0.00036235016228829055
AVY,385.9361877441406,0.0038501121884656564,0.00035214340833065257
PEN,378.69972229003906,0.003777920969473988,0.0003455405716695729
VTR,354.06082153320494,0.003532122479654286,0.0003230590662664455
BPOP,353.426513671875,0.0035257946034257808,0.0003224802987413651
GWRE,305.65936279296875,0.0030492679245410353,0.0002788956651907686
FCN,274.66001892089844,0.0027400174435899703,0.00025061064047999506
CACC,230.5804443359375,0.002300278147920577,0.000210390697066956
MUSA,218.80281829833984,0.002182784160576205,0.00019964432627657798
REGN,188.4432983398442,0.0018799165841734916,0.00017194310215463908
BABA,157.93682861328125,0.0015755830320185816,0.00014410779526507196
FDS,135.8194580078125,0.0013549394104844926,0.00012392703348202457
AGCO,124.5710220336914,0.0012427246407364677,0.00011366351658958393
ROIV,113.98053741455078,0.0011370736154925143,0.00010400034047890021
CB,109.45980834960938,0.001091974672645463,9.987544887344312e-05
ARMK,100.59989929199219,0.0010035879265079285,9.179131820073893e-05
CHDN,95.20429992675781,0.0009497612485755173,8.686816040730605e-05
JBHT,90.56564331054688,0.0009034858565720585,8.263566705016335e-05
ASTS,53.730560302734375,0.0005360178487636194,4.902588364961586e-05
RVTY,53.1536865234375,0.0005302629368392947,4.8499521247568035e-05
KVUE,50.238704681396484,0.00050118298145911,4.583977677769001e-05
DINO,43.322078704833984,0.0004321824916862363,3.95287742781012e-05
CROX,39.370059967041016,0.00039275702189455993,3.5922796418788244e-05
BEAM,36.190040588378906,0.000361033043272838,3.302122124102338e-05
VRTX,30.79974365234375,0.0003072592625496979,2.8102901593247586e-05
MELI,21.6600341796875,0.00021608121820668438,1.9763469979783952e-05
JLL,6.09063720703125,6.07603984570101e-05,5.557337749346707e-06
GGG,-7.5590972900390625,-7.540980487031036e-05,0.0
C,-7.762973785400391,-7.744368353901063e-05,0.0
