ticker,drawdown_pnl_usd,drawdown_contribution_return_on_start
AMD,-10489.500625610352,-0.10464360558060597
PENN,-7414.319670200348,-0.07396549854076859
NOW,-7180.007743835449,-0.07162799500456629
STM,-6142.932615280151,-0.06128209918136239
PCTY,-5640.38981628418,-0.056268715577846164
FTNT,-5413.504051208496,-0.05400529567256803
PAYC,-5013.378692626953,-0.05001363184598151
QRVO,-4867.01993560791,-0.04855355203957249
SHOP,-4552.832000732422,-0.045419202797529076
TSLA,-4527.591751098633,-0.045167405231400365
DXCM,-4006.8397216796875,-0.03997236574222112
SE,-2687.520206451416,-0.026810790571590883
RNG,-1944.3337860107422,-0.0193967382320944
PODD,-515.0000000000002,-0.0051376570532285296
MA,-456.3327941894531,-0.004552391065411506
UI,-439.4849853515625,-0.0043843167665621186
