as_of_date,ticker,shares,price,market_value_usd,weight,cost_basis,unrealized_pnl_usd,realized_pnl_usd
2026-06-22,AMAT,60.0,631.094970703125,37865.6982421875,0.04689874558736736,356.6059670584542,16469.34021868025,5937.845729233879
2026-06-22,AVT,238.0,92.2300033569336,21950.740798950195,0.02718719727812256,69.49060305427102,5411.977272033691,-22.176291894912723
2026-06-22,CIEN,84.0,438.4700012207031,36831.48010253906,0.0456178096568324,354.52400867716625,7051.463373657098,21904.25220770276
2026-06-22,LITE,34.0,841.1900024414062,28600.460083007812,0.03542323959102968,611.504536318802,7809.305848168544,12267.86718619425
2026-06-22,LRCX,84.0,398.1099853515625,33441.23876953125,0.04141880968753129,200.84501635271408,16570.257395903267,11589.672076528868
2026-06-22,MRVL,258.0,307.739990234375,79396.91748046875,0.09833744011589607,164.9499969482422,36839.818267822266,0.0
2026-06-22,MU,79.0,1187.760009765625,93833.04077148438,0.11621737115963161,439.9046382958829,59080.57434610963,27031.999693416354
2026-06-22,ON,291.0,130.89999389648438,38091.89822387695,0.04717890668000771,103.02999877929688,8110.1685791015625,-4457.396299905777
2026-06-22,ONTO,122.0,341.010009765625,41603.22119140625,0.051527872899406885,267.70148305423925,8943.640258789062,1767.296321144105
2026-06-22,PR,1402.0,18.639999389648438,26133.27914428711,0.032367500583577534,21.10030527699861,-3449.348854064945,0.0
2026-06-22,RVMD,205.0,165.27999877929688,33882.39974975586,0.0419652117753073,97.3517560030701,13925.289769126492,7151.936798046514
2026-06-22,SEB,3.0,4809.7099609375,14429.1298828125,0.01787126932383249,4583.36982421875,679.0204101562485,1744.2889270019527
2026-06-22,SNDK,51.0,2288.22998046875,116699.72900390625,0.14453901960722793,763.8439343022366,77743.68835449219,863.0176611328125
2026-06-22,STM,622.0,80.0999984741211,49822.19905090332,0.061707528089055656,55.75,15145.69905090332,-2665.5467282104487
2026-06-22,TER,51.0,442.989990234375,22592.489501953125,0.027982038270111056,204.74615200763475,12150.435749563752,29393.823839450306
2026-06-22,TPL,37.0,354.0299987792969,13099.109954833984,0.016223966642935468,530.2791748046875,-6521.219512939453,6764.575245742801
2026-06-22,UI,31.0,589.4600219726562,18273.260681152344,0.02263243630833674,1018.4410400390625,-13298.411560058594,-836.7578456878663
2026-06-22,WDC,130.0,759.655029296875,98755.15380859375,0.12231367831348909,277.24490863438473,62713.31568612374,42349.04120325767
