date,base_equity_usd,overlay_equity_usd,base_cash_weight,overlay_cash_weight,crisis_state,policy_cash_floor,equity_drawdown_cash_floor,target_cash_weight_next,cash_action,turnover_from_cash_action,cash_action_cost_usd,base_equity_usd_peak,overlay_equity_usd_peak,base_drawdown,overlay_drawdown
2019-06-03,99882.10127439024,99882.10127439024,0.5278484368850235,0.5278484368850235,GREEN,0.03,0.0,0.5278484368850235,INIT,0.0,0.0,99882.10127439024,99882.10127439024,0.0,0.0
2019-06-04,101371.05416860104,101371.05416860104,0.5200953217157028,0.5278484368850235,GREEN,0.03,0.0,0.5278484368850235,HOLD_CASH,0.0,0.0,101371.05416860104,101371.05416860104,0.0,0.0
2019-06-05,102894.43615712645,102869.82511135351,0.5123951595397022,0.5278484368850235,GREEN,0.03,0.0,0.5278484368850235,HOLD_CASH,0.0,0.0,102894.43615712645,102869.82511135351,0.0,0.0
2019-06-06,103256.53336514952,103220.3627926461,0.5105983061046004,0.5278484368850235,GREEN,0.03,0.0,0.5278484368850235,HOLD_CASH,0.0,0.0,103256.53336514952,103220.3627926461,0.0,0.0
2019-06-07,104786.89728726866,104696.26819763395,0.503141255208099,0.5278484368850235,GREEN,0.03,0.0,0.5278484368850235,HOLD_CASH,0.0,0.0,104786.89728726866,104696.26819763395,0.0,0.0
2019-06-10,105322.18646611692,105204.4992291632,0.5005840915336469,0.5278484368850235,GREEN,0.03,0.0,0.5278484368850235,HOLD_CASH,0.0,0.0,105322.18646611692,105204.4992291632,0.0,0.0
2019-06-11,104484.07196988584,104413.02485347324,0.5045995053262673,0.5278484368850235,GREEN,0.03,0.0,0.5278484368850235,HOLD_CASH,0.0,0.0,105322.18646611692,105204.4992291632,-0.00795762530528843,-0.0075231989267484645
2019-06-12,104876.9411562872,104787.2022519855,0.5027092747862609,0.5278484368850235,GREEN,0.03,0.0,0.5278484368850235,HOLD_CASH,0.0,0.0,105322.18646611692,105204.4992291632,-0.004227459804710398,-0.003966531662003447
2019-06-13,105057.9032343817,104958.86927670844,0.5018433588271375,0.5278484368850235,GREEN,0.03,0.0,0.5278484368850235,HOLD_CASH,0.0,0.0,105322.18646611692,105204.4992291632,-0.002509283566955345,-0.0023347856247070142
2019-06-14,104339.12894048216,104278.2590685519,0.5053004713174565,0.5278484368850235,GREEN,0.03,0.0,0.5278484368850235,HOLD_CASH,0.0,0.0,105322.18646611692,105204.4992291632,-0.009333812358244375,-0.008804187723889134
2019-06-17,104335.04024877072,104274.35901234274,0.5053202730815036,0.5278484368850235,GREEN,0.03,0.0,0.5278484368850235,HOLD_CASH,0.0,0.0,105322.18646611692,105204.4992291632,-0.009372633159906663,-0.00884125891606935
2019-06-18,104548.84708966734,104478.31020862515,0.5042868716214579,0.5278484368850235,GREEN,0.03,0.0,0.5278484368850235,HOLD_CASH,0.0,0.0,105322.18646611692,105204.4992291632,-0.0073426065523086725,-0.00690264224304904
2019-06-19,105982.8987711859,105835.23881495147,0.4974633798638131,0.4974633798638131,GREEN,0.03,0.0,0.4974633798638131,RELEASE_CASH,0.03038505702121036,8.040135165527948,105982.8987711859,105835.23881495147,0.0,0.0
2019-06-20,106150.98260106564,106003.08846317313,0.4966756758966564,0.4974633798638131,GREEN,0.03,0.0,0.4974633798638131,HOLD_CASH,0.0,0.0,106150.98260106564,106003.08846317313,0.0,0.0
2019-06-21,105989.81939305784,105842.40166417763,0.4974308979144439,0.4974633798638131,GREEN,0.03,0.0,0.4974633798638131,HOLD_CASH,0.0,0.0,106150.98260106564,106003.08846317313,-0.0015182450888229226,-0.0015158690310360656
2019-06-24,105196.36666860104,105050.10373778892,0.5011828136286299,0.4974633798638131,GREEN,0.03,0.0,0.4974633798638131,HOLD_CASH,0.0,0.0,106150.98260106564,106003.08846317313,-0.008993001374770326,-0.008990159996284386
