portfolio,official_metric_mode,target_type,target_contract_status,status,valid_for_production,evidence_window_label,pit_universe_label_clean,production_promotion_allowed,verdict_status,target_pass,cagr,cagr_target,canonical_cagr_target,cagr_gap_pp,max_dd,max_dd_target,canonical_max_dd_target,max_dd_gap_pp,sharpe,start_date,end_date,years,broker_ledger_trading_days_estimate,broker_ledger_actual_trading_days,broker_ledger_calendar_trading_days,broker_ledger_observed_equity_days,data_readiness_status,data_readiness_policy_replay_ready,ending_capital_usd,avg_cash_weight,latest_cash_weight,latest_position_count,broker_trade_count,total_fees_usd,order_preview_count,order_preview_buy_count,order_preview_sell_count,journal_trade_count,journal_win_rate,journal_avg_realized_return,journal_avg_holding_days,journal_profit_factor,legacy_cagr,legacy_max_dd,legacy_sharpe
main,broker_ledger_next_close,interim_operating_gate,unresolved_user_decision_required,completed,True,research_7y,False,False,ok,False,0.3060872204873475,0.3,0.35,0.0,-0.2601966930283808,-0.25,-0.25,1.0197,1.130253864790919,2019-06-03,2026-07-02,7.080082135523614,1784,1784,1784,1781,warn,True,662357.6558341384,0.26388894898463366,0.052109546321410606,15,1706,39730.03787428141,13,6,7,1157,0.5799481417458946,0.11280313070992527,59.96369922212619,3.739207175693199,0.309439932575059,-0.1368860679426782,1.8463807785850805
concentrated,broker_ledger_next_close,interim_operating_gate,unresolved_user_decision_required,completed,True,research_7y,False,False,ok,False,0.4452717958497554,0.5,0.5,5.4728,-0.23268227718381962,-0.28,-0.25,0.0,1.3543257573594534,2019-06-03,2026-07-02,7.080082135523614,1784,1784,1784,1762,warn,True,1356612.433080578,0.41541689424130623,0.17060291640833936,5,600,48106.15071687699,4,1,3,406,0.5714285714285714,0.1349723288338098,53.970443349753694,4.311070546120427,0.5742580140422668,-0.19779829350016986,1.7599628105138057
