signal,ic_all,n_all,ic_deep_bear,n_deep_bear,ic_bear,n_bear,ic_neutral,n_neutral,ic_bull,n_bull,ic_strong_bull,n_strong_bull
rs_acceleration_score,0.04408516853915542,1044,,7,-0.040882093492923564,163,0.043577698538938864,396,0.14580073789361217,227,,7
h1_oversold_value_score,,1044,,7,,163,,396,,227,,7
h6_dynamic_leader_score,-0.014456663654674556,1044,,7,-0.03825537418084639,163,-0.02838791532426503,396,0.16221087514580307,227,,7
stage2_overext_penalty,,1044,,7,,163,,396,,227,,7
theme_phase_multiplier_primary,-0.059892044465750055,1044,,7,0.007868565025550509,163,0.010258885703543354,396,0.05536212263700087,227,,7
theme_phase_multiplier_max,-0.052040766386538775,1044,,7,0.03044558051478279,163,0.010780084839672336,396,0.08455514195490509,227,,7
explosion_entry_score,,1044,,7,,163,,396,,227,,7
explosion_exit_score,,1044,,7,,163,,396,,227,,7
explosion_net_score,,1044,,7,,163,,396,,227,,7
portfolio_monster_early_score,0.0945160732573169,1044,,7,,163,,396,,227,,7
entry_quality_score,-0.02910932200661827,1044,,7,0.05515020146652484,163,0.026654232870566084,396,0.03204472487613631,227,,7
breakout_setup_quality_score,,1044,,7,,163,,396,,227,,7
selection_confirmation_score,-0.05520265756416793,1044,,7,0.05141179237003524,163,0.0297249553251124,396,0.04399609480938067,227,,7
portfolio_risk_entry_block_score,0.06911149764902269,1044,,7,,163,,396,,227,,7
portfolio_hold_policy_exit_risk,,1044,,7,,163,,396,,227,,7
broken_momentum_penalty,,1044,,7,,163,,396,,227,,7
relative_strength_composite,,1044,,7,,163,,396,,227,,7
