adaptive_rebalance_policy,avg_rebalance_interval_months,rebalance_count,rebalanced_month_ratio,strategy_cagr,benchmark_cagr,excess_cagr,sharpe,sortino,max_dd,ir,beat_month_ratio,avg_turnover_monthly,avg_cash_weight,avg_stock_names,rebalance_interval_months,trade_cost_bps_per_side,starting_capital_usd,ending_capital_usd,months,benchmark_source,portfolio_mode,policy_mode,sleeve_test,sleeve_role,target_stock_names,weighting_mode,comparison_objective
False,1.0,83,1.0,0.5170890988093275,0.12431659548690965,0.39277250332241787,1.5432355056586495,5.224851840259044,-0.22908116330639683,1.2731636378611701,0.5903614457831325,0.7031934219167351,0.08201724842423457,2.0,1,25.0,100000.0,1786460.2470905066,83,FRED:SP500 (fallback ^GSPC),concentrated_alpha,fixed_interval,future_early_concentrated,concentrated_alpha,2,score_power,0.612784783486399
False,1.0,83,1.0,0.5170890988093275,0.12431659548690965,0.39277250332241787,1.543235505658649,5.224851840259041,-0.22908116330639683,1.27316363786117,0.5903614457831325,0.7031934219167351,0.08201724842423457,2.0,1,25.0,100000.0,1786460.2470905066,83,FRED:SP500 (fallback ^GSPC),concentrated_alpha,fixed_interval,future_early_concentrated,concentrated_alpha,2,winner_take_all,0.612784783486399
False,1.0,83,1.0,0.5170890988093273,0.12431659548690965,0.39277250332241764,1.5432355056586495,5.224851840259044,-0.22908116330639694,1.2731636378611701,0.5903614457831325,0.7031934219167351,0.08201724842423457,2.0,1,25.0,100000.0,1786460.2470905047,83,FRED:SP500 (fallback ^GSPC),concentrated_alpha,fixed_interval,future_early_concentrated,concentrated_alpha,2,conviction_curve,0.6127847834863988
False,1.0,83,1.0,0.43243153809103063,0.12431659548690965,0.308114942604121,1.7696899020615104,4.860833144061667,-0.1259120118944551,1.507166606384414,0.6265060240963856,0.6218436303699335,0.08148233555359613,4.0,1,25.0,100000.0,1200911.3915931354,83,FRED:SP500 (fallback ^GSPC),concentrated_alpha,fixed_interval,future_early_concentrated,concentrated_alpha,4,score_power,0.5856497196764051
False,1.0,83,1.0,0.4373223482388311,0.12431659548690965,0.31300575275192144,1.7631097888243288,5.036345630962229,-0.13633489866932746,1.4730379113876628,0.5783132530120482,0.633834485693869,0.07862699628799916,4.0,1,25.0,100000.0,1229560.0191087683,83,FRED:SP500 (fallback ^GSPC),concentrated_alpha,fixed_interval,future_early_concentrated,concentrated_alpha,4,conviction_curve,0.5838851918879451
False,1.0,83,1.0,0.4206959184556891,0.12431659548690965,0.29637932296877945,1.7548515723296052,4.788743584299801,-0.1281304031399898,1.5706692185649818,0.6385542168674698,0.6075951842364763,0.08674466067274013,5.0,1,25.0,100000.0,1134486.9424190351,83,FRED:SP500 (fallback ^GSPC),concentrated_alpha,fixed_interval,future_early_concentrated,concentrated_alpha,5,score_power,0.5710371233493299
False,1.0,83,1.0,0.4199217499925185,0.12431659548690965,0.29560515450560887,1.7480949410291327,4.906151181349311,-0.12559489204395813,1.4937684052610003,0.6144578313253012,0.6227792226884992,0.08156386058333925,5.0,1,25.0,100000.0,1130217.8983028783,83,FRED:SP500 (fallback ^GSPC),concentrated_alpha,fixed_interval,future_early_concentrated,concentrated_alpha,5,conviction_curve,0.5698221321073319
False,1.0,83,1.0,0.4542902650915035,0.12431659548690965,0.32997366960459384,1.6663066000314155,4.928034884628043,-0.20091764712292814,1.3775927756416166,0.5783132530120482,0.6409243815965189,0.08767699763954583,3.0,1,25.0,100000.0,1333531.9361835904,83,FRED:SP500 (fallback ^GSPC),concentrated_alpha,fixed_interval,future_early_concentrated,concentrated_alpha,3,score_power,0.5657434085183314
False,1.0,83,1.0,0.45451751827973363,0.12431659548690965,0.330200922792824,1.6579948428372002,4.931179856736446,-0.2177674837271425,1.3369941837351909,0.5662650602409639,0.660060596731012,0.0807570455976658,3.0,1,25.0,100000.0,1334973.9184722148,83,FRED:SP500 (fallback ^GSPC),concentrated_alpha,fixed_interval,future_early_concentrated,concentrated_alpha,3,conviction_curve,0.5572640922671075
False,1.0,83,1.0,0.42147734893861766,0.12431659548690965,0.297160753451708,1.7572613541557096,4.975352636969583,-0.1607517179416028,1.410134410433646,0.6144578313253012,0.6584689246487964,0.07056195105377512,4.0,1,25.0,100000.0,1138810.0127635172,83,FRED:SP500 (fallback ^GSPC),concentrated_alpha,fixed_interval,future_early_concentrated,concentrated_alpha,4,winner_take_all,0.556446032344227
False,1.0,83,1.0,0.40816917437564393,0.12431659548690965,0.2838525788887343,1.7423111895217387,4.48423555399232,-0.1428381227568737,1.4252537645666552,0.6385542168674698,0.6527393036469021,0.0726780459722779,5.0,1,25.0,100000.0,1067077.4177879866,83,FRED:SP500 (fallback ^GSPC),concentrated_alpha,fixed_interval,future_early_concentrated,concentrated_alpha,5,winner_take_all,0.5496360004090531
False,1.0,83,1.0,0.442516766095832,0.12431659548690965,0.31820017060892236,1.6612468809471597,4.824612284476219,-0.21593732503251584,1.3455703059958173,0.5662650602409639,0.6620460452887401,0.08352130932255018,3.0,1,25.0,100000.0,1260625.2874498193,83,FRED:SP500 (fallback ^GSPC),concentrated_alpha,fixed_interval,future_early_concentrated,concentrated_alpha,3,winner_take_all,0.5451469993261945
False,1.0,83,1.0,0.39282229429942994,0.12431659548690965,0.2685056988125203,1.6863137382845832,4.716820845303838,-0.13557209207126564,1.4213920186253577,0.6265060240963856,0.6200640404439057,0.08653589973295817,7.0,1,25.0,100000.0,989187.5893860242,83,FRED:SP500 (fallback ^GSPC),concentrated_alpha,fixed_interval,future_early_concentrated,concentrated_alpha,7,conviction_curve,0.5310624223239255
