rebalance_date,stock_weight,cash_weight,total_weight,total_weight_error,explicit_cash,cash_row_count,row_count,contract_pass
2019-05-31,0.1697499999999999,0.8302499999999999,0.9999999999999998,-2.220446049250313e-16,True,1,6,True
2019-06-28,0.9214999999999995,0.0785000000000002,0.9999999999999998,-2.220446049250313e-16,True,1,6,True
2019-07-31,0.9214999999999998,0.0785000000000001,0.9999999999999999,-1.1102230246251565e-16,True,1,6,True
2019-08-30,0.4475494351854205,0.5524505648145794,1.0,0.0,True,1,6,True
2019-09-30,0.4444148320479616,0.5555851679520383,0.9999999999999999,-1.1102230246251565e-16,True,1,6,True
2019-10-31,0.8239343114341268,0.1760656885658732,1.0,0.0,True,1,6,True
2019-11-29,0.8832941351464334,0.1167058648535664,0.9999999999999998,-2.220446049250313e-16,True,1,6,True
2019-12-31,0.9214999999999998,0.0785000000000001,0.9999999999999999,-1.1102230246251565e-16,True,1,6,True
2020-01-31,0.9215,0.0785,1.0,0.0,True,1,6,True
2020-02-28,0.19415360424657807,0.8058463957534219,1.0,0.0,True,1,6,True
2020-03-31,0.0287499999999998,0.97125,0.9999999999999998,-2.220446049250313e-16,True,1,6,True
2020-04-30,0.2799999999999999,0.72,0.9999999999999999,-1.1102230246251565e-16,True,1,6,True
2020-05-29,0.6274870681394418,0.3725129318605581,0.9999999999999999,-1.1102230246251565e-16,True,1,6,True
2020-06-30,0.9115205226389419,0.0884794773610578,0.9999999999999997,-3.3306690738754696e-16,True,1,6,True
2020-07-31,0.9699999999999998,0.03,0.9999999999999998,-2.220446049250313e-16,True,1,6,True
2020-08-31,0.9214999999999998,0.0785,0.9999999999999998,-2.220446049250313e-16,True,1,6,True
2020-09-30,0.5269254727516615,0.4730745272483383,0.9999999999999998,-2.220446049250313e-16,True,1,6,True
2020-10-30,0.456,0.544,1.0,0.0,True,1,6,True
2020-11-30,0.6602705425267723,0.3397294574732276,0.9999999999999999,-1.1102230246251565e-16,True,1,6,True
2020-12-31,0.9699999999999998,0.0300000000000001,0.9999999999999999,-1.1102230246251565e-16,True,1,6,True
2021-01-29,0.5426882535103875,0.4573117464896123,0.9999999999999998,-2.220446049250313e-16,True,1,6,True
2021-02-26,0.41892033545089435,0.5810796645491056,1.0,0.0,True,1,6,True
2021-03-31,0.4113665348681216,0.5886334651318783,0.9999999999999999,-1.1102230246251565e-16,True,1,6,True
2021-04-30,0.75,0.25,1.0,0.0,True,1,6,True
2021-05-28,0.35981158888462955,0.6401884111153704,1.0,0.0,True,1,6,True
2021-06-30,0.9699999999999998,0.03,0.9999999999999998,-2.220446049250313e-16,True,1,6,True
2021-07-30,0.8030317209860975,0.1969682790139024,1.0,0.0,True,1,6,True
2021-08-31,0.8483303023475717,0.1516696976524282,0.9999999999999999,-1.1102230246251565e-16,True,1,6,True
2021-09-30,0.5332018173594169,0.4667981826405831,1.0,0.0,True,1,6,True
2021-10-29,0.7499999999999998,0.2500000000000001,0.9999999999999999,-1.1102230246251565e-16,True,1,6,True
2021-11-30,0.3303333394010074,0.6696666605989925,0.9999999999999999,-1.1102230246251565e-16,True,1,6,True
2021-12-31,0.16,0.84,1.0,0.0,True,1,6,True
2022-01-31,0.22977257296787612,0.7702274270321238,0.9999999999999999,-1.1102230246251565e-16,True,1,6,True
2022-02-28,0.13205133352988022,0.8679486664701197,0.9999999999999999,-1.1102230246251565e-16,True,1,6,True
2022-03-31,0.0,1.0,1.0,0.0,True,1,1,True
2022-04-29,0.08001193757825549,0.9199880624217442,0.9999999999999998,-2.220446049250313e-16,True,1,6,True
2022-05-31,0.12749999999999978,0.8725,0.9999999999999998,-2.220446049250313e-16,True,1,6,True
2022-06-30,0.07499999999999969,0.925,0.9999999999999998,-2.220446049250313e-16,True,1,6,True
2022-07-29,0.23223797525396728,0.7677620247460326,0.9999999999999999,-1.1102230246251565e-16,True,1,6,True
2022-08-31,0.1399999999999998,0.86,0.9999999999999998,-2.220446049250313e-16,True,1,6,True
2022-09-30,0.0375,0.9625,1.0,0.0,True,1,2,True
2022-10-31,0.2199999999999999,0.78,0.9999999999999999,-1.1102230246251565e-16,True,1,6,True
2022-11-30,0.6705729236764765,0.3294270763235231,0.9999999999999996,-4.440892098500626e-16,True,1,6,True
2022-12-30,0.096036706241277,0.9039632937587228,0.9999999999999998,-2.220446049250313e-16,True,1,6,True
2023-01-31,0.3731503975477307,0.6268496024522691,0.9999999999999998,-2.220446049250313e-16,True,1,6,True
2023-02-28,0.7215713444436579,0.2784286555563416,0.9999999999999996,-4.440892098500626e-16,True,1,6,True
2023-03-31,0.5513583538167849,0.4486416461832149,0.9999999999999998,-2.220446049250313e-16,True,1,6,True
2023-04-28,0.41983295525250036,0.5801670447474995,0.9999999999999998,-2.220446049250313e-16,True,1,6,True
2023-05-31,0.5,0.5,1.0,0.0,True,1,3,True
2023-06-30,0.791162187073226,0.2088378129267738,0.9999999999999999,-1.1102230246251565e-16,True,1,6,True
2023-07-31,0.763048827062841,0.2369511729371588,0.9999999999999999,-1.1102230246251565e-16,True,1,6,True
2023-08-31,0.6509982723316163,0.3490017276683835,0.9999999999999998,-2.220446049250313e-16,True,1,6,True
2023-09-29,0.2427050071311269,0.757294992868873,0.9999999999999999,-1.1102230246251565e-16,True,1,6,True
2023-10-31,0.1803559549046213,0.8196440450953785,0.9999999999999998,-2.220446049250313e-16,True,1,6,True
2023-11-30,0.9214999999999998,0.0785000000000001,0.9999999999999999,-1.1102230246251565e-16,True,1,6,True
2023-12-29,0.8690213786825258,0.130978621317474,0.9999999999999998,-2.220446049250313e-16,True,1,6,True
2024-01-31,0.9214999999999999,0.0785,0.9999999999999999,-1.1102230246251565e-16,True,1,6,True
2024-02-29,0.7124999999999998,0.2875000000000002,1.0,0.0,True,1,6,True
2024-03-28,0.7099999999999999,0.29,0.9999999999999998,-2.220446049250313e-16,True,1,6,True
2024-04-30,0.266,0.734,1.0,0.0,True,1,6,True
2024-05-31,0.9214999999999998,0.0785000000000001,0.9999999999999999,-1.1102230246251565e-16,True,1,6,True
2024-06-28,0.7124999999999998,0.2875000000000001,0.9999999999999999,-1.1102230246251565e-16,True,1,6,True
2024-07-31,0.5041946395826614,0.4958053604173384,0.9999999999999998,-2.220446049250313e-16,True,1,6,True
2024-08-30,0.6600423357208993,0.3399576642791003,0.9999999999999996,-4.440892098500626e-16,True,1,6,True
2024-09-30,0.7766568972840456,0.2233431027159541,0.9999999999999998,-2.220446049250313e-16,True,1,6,True
2024-10-31,0.9214999999999999,0.0785000000000001,1.0,0.0,True,1,6,True
2024-11-29,0.97,0.03,1.0,0.0,True,1,6,True
2024-12-31,0.6168402270166735,0.3831597729833265,1.0,0.0,True,1,6,True
2025-01-31,0.6372361662051016,0.3627638337948982,0.9999999999999998,-2.220446049250313e-16,True,1,6,True
2025-02-28,0.3127563171334162,0.6872436828665838,1.0,0.0,True,1,6,True
2025-03-31,0.13999999999999982,0.86,0.9999999999999998,-2.220446049250313e-16,True,1,6,True
2025-04-30,0.1399999999999997,0.86,0.9999999999999997,-3.3306690738754696e-16,True,1,6,True
2025-05-30,0.9214999999999999,0.0785000000000001,1.0,0.0,True,1,6,True
2025-06-30,0.6536549915621903,0.3463450084378096,0.9999999999999999,-1.1102230246251565e-16,True,1,6,True
2025-07-31,0.9699999999999999,0.0299999999999998,0.9999999999999997,-3.3306690738754696e-16,True,1,6,True
2025-08-29,0.9699999999999999,0.03,0.9999999999999999,-1.1102230246251565e-16,True,1,6,True
2025-09-30,0.9214999999999999,0.0785000000000001,1.0,0.0,True,1,6,True
2025-10-31,0.9129008733601531,0.0870991266398468,0.9999999999999999,-1.1102230246251565e-16,True,1,6,True
2025-11-28,0.8680139830756003,0.1319860169243997,1.0,0.0,True,1,6,True
2025-12-31,0.9214999999999997,0.0785000000000001,0.9999999999999998,-2.220446049250313e-16,True,1,6,True
2026-01-30,0.9214999999999999,0.0785,0.9999999999999999,-1.1102230246251565e-16,True,1,6,True
2026-02-27,0.3759597709012555,0.6240402290987445,1.0,0.0,True,1,6,True
2026-03-31,0.1073751859120665,0.8926248140879334,0.9999999999999999,-1.1102230246251565e-16,True,1,6,True
2026-04-30,0.9214999999999998,0.0785,0.9999999999999998,-2.220446049250313e-16,True,1,6,True
2026-05-29,0.8324561122829374,0.1675438877170625,0.9999999999999999,-1.1102230246251565e-16,True,1,6,True
2026-07-02,0.8324561122829374,0.1675438877170625,0.9999999999999999,-1.1102230246251565e-16,True,1,6,True
