rebalance_date,ticker,Name,sector,weight,raw_score,portfolio_sleeve_label,portfolio_sleeve_role,portfolio_selection_path,period_forward_return,weighted_forward_return,target_n,cash_target,regime_state,regime_state_score
2019-06-28,V,VISA INC CLASS A,Financials,0.09763400039549285,4.847839228965122,core_compounder,core_compounder,,0.022015576987259644,0.0021494688522811114,18,0.0,neutral,0
2019-06-28,ADBE,ADOBE INC,Information Technology,0.06061638389561177,4.206012240163428,core_compounder,core_compounder,,-0.0013353160166403866,-8.094202828663279e-05,18,0.0,neutral,0
2019-06-28,PYPL,PAYPAL HOLDINGS INC,Financials,0.05243078514494828,4.215942452108233,core_compounder,core_compounder,,-0.053718363143320236,-0.002816495956305732,18,0.0,neutral,0
2019-06-28,DHR,DANAHER CORP,Health Care,0.03546980787720197,3.6554594702102823,core_compounder,core_compounder,,-0.022216110924604404,-0.000788001186274326,18,0.0,neutral,0
2019-06-28,SNPS,SYNOPSYS INC,Information Technology,0.03636219927758672,3.2554708958918877,core_compounder,core_compounder,,0.014840276237512162,0.0005396250818828521,18,0.0,neutral,0
2019-06-28,MA,MASTERCARD INC CLASS A,Financials,0.07,5.132426940507695,core_compounder,core_compounder,,0.015825106635757757,0.001107757464503043,18,0.0,neutral,0
2019-06-28,ORCL,ORACLE CORP,Information Technology,0.09100020890964826,6.342946632739635,core_compounder,core_compounder,,-0.01088538359698854,-0.0009905721813876155,18,0.0,neutral,0
2019-06-28,PAYC,PAYCOM SOFTWARE INC,Industrials,0.059084432011938685,3.4769674392533974,core_compounder,core_compounder,,0.043361467296338274,0.0025619876664084015,18,0.0,neutral,0
2019-06-28,HD,HOME DEPOT INC,Consumer Discretionary,0.11151553121145902,5.769336962925561,core_compounder,core_compounder,,0.02117324380848684,0.0023611455307731457,18,0.0,neutral,0
2019-06-28,MELI,MercadoLibre,Internet,0.03916377447484417,2.53767526472141,core_compounder,core_compounder,,-0.0042410962135509545,-0.00016609733563362512,18,0.0,neutral,0
2019-06-28,SHOP,Shopify,Software,0.05352786198050492,4.319497250195629,core_compounder,core_compounder,,0.08233960842368204,0.004407463195231673,18,0.0,neutral,0
2019-06-28,VEEV,VEEVA SYSTEMS INC CLASS A,Health Care,0.06097793663647973,3.2934463533424005,core_compounder,core_compounder,,-0.000603736551590961,-3.6814609188040396e-05,18,0.0,neutral,0
2019-06-28,NOW,SERVICENOW INC,Information Technology,0.03752238601335637,3.7395582898920345,core_compounder,core_compounder,,-0.016348045848606496,-0.0006134176868954611,18,0.0,neutral,0
2019-06-28,MKTX,MARKETAXESS HOLDINGS INC,Financials,0.035222033801785194,3.4120644432448204,core_compounder,core_compounder,,0.05251771061625643,0.001849780578518157,18,0.0,neutral,0
2019-06-28,AVGO,BROADCOM INC,Information Technology,0.04,3.52646929311835,core_compounder,core_compounder,,-0.041600484159829865,-0.0016640193663931945,18,0.0,neutral,0
2019-06-28,FDS,FACTSET RESEARCH SYSTEMS INC,Financials,0.04,2.314324143676699,core_compounder,core_compounder,,-0.04469176076487791,-0.0017876704305951163,18,0.0,neutral,0
2019-06-28,RGEN,REPLIGEN CORP,Health Care,0.04,1.9006727725257047,core_compounder,core_compounder,,0.09410141158683882,0.003764056463473553,18,0.0,neutral,0
2019-06-28,WING,WINGSTOP INC,Consumer Discretionary,0.039472658369142044,1.9291864040904512,core_compounder,core_compounder,,-0.024308397644189794,-0.0009595170757103611,18,0.0,neutral,0
2019-07-31,ORCL,ORACLE CORP,Information Technology,0.08050417681805638,5.134892946855295,core_compounder,core_compounder,,-0.07744230055107915,-0.0062344286567611405,18,0.0,neutral,0
2019-07-31,ADBE,ADOBE INC,Information Technology,0.04615674583506141,4.239107409972056,core_compounder,core_compounder,,-0.049807769348109265,-0.0022989645504120416,18,0.0,neutral,0
2019-07-31,T,AT&T INC,Communication,0.03915352260897443,3.9382575109796205,core_compounder,core_compounder,,0.01740138429332916,0.0006813254933563157,18,0.0,neutral,0
2019-07-31,UNH,UNITEDHEALTH GROUP INC,Health Care,0.049263467824684506,4.5212173785046605,core_compounder,core_compounder,,-0.07002697944892677,-0.003449771848942047,18,0.0,neutral,0
2019-07-31,XYZ,BLOCK INC CLASS A,Financials,0.05196784647880382,3.3283230444762752,core_compounder,core_compounder,,-0.08,-0.004157427718304306,18,0.0,neutral,0
2019-07-31,MA,MASTERCARD INC CLASS A,Financials,0.08050417681805638,5.394325772836352,core_compounder,core_compounder,,0.022122416987709892,0.0017809469688213715,18,0.0,neutral,0
2019-07-31,V,VISA INC CLASS A,Financials,0.12,5.878110231243491,core_compounder,core_compounder,,0.008876219228914684,0.001065146307469762,18,0.0,neutral,0
2019-07-31,HD,HOME DEPOT INC,Consumer Discretionary,0.07357887641957465,5.522746283085999,core_compounder,core_compounder,,0.05748578795412351,0.0042297396877583274,18,0.0,neutral,0
2019-07-31,SBUX,STARBUCKS CORP,Consumer Discretionary,0.04978894656796634,5.682455667986377,core_compounder,core_compounder,,0.018794189261962968,0.000935742884952121,18,0.0,neutral,0
2019-07-31,SHOP,Shopify,Software,0.058063123248706466,4.40154329155932,core_compounder,core_compounder,,0.14966618972958945,0.008690086420433438,18,0.0,neutral,0
2019-07-31,PAYC,PAYCOM SOFTWARE INC,Industrials,0.039765493381653604,3.5609619822647898,core_compounder,core_compounder,,0.031501912022903866,0.0012526890740562177,18,0.0,neutral,0
2019-07-31,MELI,MercadoLibre,Internet,0.04717435201162968,3.3248887593078074,core_compounder,core_compounder,,-0.059789001495265004,-0.0028205074029614844,18,0.0,neutral,0
2019-07-31,HEI,HEICO CORP,Industrials,0.03396662341859895,2.6175992751166683,core_compounder,core_compounder,,0.0410117865243822,0.0013930319085976612,18,0.0,neutral,0
2019-07-31,RGEN,REPLIGEN CORP,Health Care,0.04,2.1771720450072585,core_compounder,core_compounder,,-0.0293685287383475,-0.0011747411495339,18,0.0,neutral,0
2019-07-31,ZS,ZSCALER INC,Information Technology,0.04,2.306433281708562,core_compounder,core_compounder,,-0.08,-0.0032,18,0.0,neutral,0
2019-07-31,MKTX,MARKETAXESS HOLDINGS INC,Financials,0.07479804339592327,2.2122606619664826,core_compounder,core_compounder,,0.1773846390630045,0.013268023930404797,18,0.0,neutral,0
2019-07-31,TER,TERADYNE INC,Information Technology,0.04,2.1661025735767248,core_compounder,core_compounder,,-0.06365731845637257,-0.002546292738254903,18,0.0,neutral,0
2019-07-31,CTAS,CINTAS CORP,Industrials,0.03531460517231009,2.3814187992855724,core_compounder,core_compounder,,0.005860661683465773,0.00020696695340007994,18,0.0,neutral,0
2019-08-30,AMGN,AMGEN INC,Health Care,0.06350714759608032,4.34641866598375,core_compounder,core_compounder,,-0.07100804274505623,-0.004509518251119067,18,0.0,neutral,0
2019-08-30,ORCL,ORACLE CORP,Information Technology,0.07607876029684009,4.4657913633291235,core_compounder,core_compounder,,0.05968427974105284,0.004540706011909108,18,0.0,neutral,0
2019-08-30,NEE,NEXTERA ENERGY INC,Utilities,0.035471295286089874,3.6061529845103317,core_compounder,core_compounder,,0.06101200153926922,0.0021641747225947883,18,0.0,neutral,0
2019-08-30,T,AT&T INC,Communication,0.058244578320755594,3.5886347580760383,core_compounder,core_compounder,,0.08181291479680342,0.004765158723531721,18,0.0,neutral,0
2019-08-30,V,VISA INC CLASS A,Financials,0.14,5.986454276021796,core_compounder,core_compounder,,-0.04154671606901983,-0.005816540249662777,18,0.0,neutral,0
2019-08-30,MA,MASTERCARD INC CLASS A,Financials,0.10031126589430547,5.253763213385288,core_compounder,core_compounder,,-0.03035818520120248,-0.0030452679877863917,18,0.0,neutral,0
2019-08-30,HD,HOME DEPOT INC,Consumer Discretionary,0.07069650491314314,5.060257885090431,core_compounder,core_compounder,,0.03525226938983961,0.0024922122361182414,18,0.0,neutral,0
2019-08-30,SBUX,STARBUCKS CORP,Consumer Discretionary,0.056841349185839614,4.78277276828998,core_compounder,core_compounder,,-0.08,-0.004547307934867169,18,0.0,neutral,0
2019-08-30,SHOP,Shopify,Software,0.0483448461292368,4.472209833551536,core_compounder,core_compounder,,-0.08,-0.003867587690338944,18,0.0,neutral,0
2019-08-30,BKNG,BOOKING HOLDINGS INC,Consumer Discretionary,0.04,4.706776496160954,core_compounder,core_compounder,,0.010446675001170691,0.00041786700004682766,18,0.0,neutral,0
2019-08-30,DG,DOLLAR GENERAL CORP,Consumer Staples,0.02594068561709796,2.085921085278379,core_compounder,core_compounder,,0.027797378901468495,0.0007210830670623461,18,0.0,neutral,0
2019-08-30,AEP,AMERICAN ELECTRIC POWER INC,Utilities,0.039366371020048294,3.6158653508737824,core_compounder,core_compounder,,0.02324059662210054,0.0009148979493528909,18,0.0,neutral,0
2019-08-30,MKTX,MARKETAXESS HOLDINGS INC,Financials,0.07887794159259391,2.6966671461999105,core_compounder,core_compounder,,-0.08,-0.006310235327407513,18,0.0,neutral,0
2019-08-30,HUBS,HUBSPOT INC,Information Technology,0.03051995559781631,2.8618920322331545,core_compounder,core_compounder,,-0.08,-0.002441596447825305,18,0.0,neutral,0
2019-08-30,AMT,AMERICAN TOWER REIT CORP,Real Estate,0.03041308546621743,3.190447141094743,core_compounder,core_compounder,,-0.038819180959622335,-0.0011806110682535543,18,0.0,neutral,0
2019-08-30,LRCX,LAM RESEARCH CORP,Information Technology,0.037182181206128734,2.90102625214393,core_compounder,core_compounder,,0.10981254043053146,0.0040830697769933585,18,0.0,neutral,0
2019-08-30,ROKU,ROKU INC CLASS A,Communication,0.02932724132165258,3.3165870431772464,core_compounder,core_compounder,,-0.08,-0.0023461793057322064,18,0.0,neutral,0
2019-08-30,DUK,DUKE ENERGY CORP,Utilities,0.03887679055615384,3.037545595711599,core_compounder,core_compounder,,0.03318901093609883,0.0012902822269286135,18,0.0,neutral,0
2019-09-30,MA,MASTERCARD INC CLASS A,Financials,0.09805418086246732,4.319612722004076,core_compounder,core_compounder,,0.02890941671821423,0.002834689175516215,18,0.0,neutral,0
2019-09-30,T,AT&T INC,Communication,0.04240913040636727,3.8023868572526305,core_compounder,core_compounder,,0.045180520480940345,0.0019160665849037464,18,0.0,neutral,0
2019-09-30,PG,PROCTER & GAMBLE,Consumer Staples,0.025537848075839406,4.055913796325101,core_compounder,core_compounder,,0.010191507314336157,0.00026026916545732285,18,0.0,neutral,0
2019-09-30,MDT,MEDTRONIC PLC,Health Care,0.031124385727397667,3.8065368160081854,core_compounder,core_compounder,,0.00330759429157923,0.00010294684056085059,18,0.0,neutral,0
