rebalance_date,ticker,Name,sector,weight,raw_score,portfolio_sleeve_label,portfolio_sleeve_role,portfolio_selection_path,period_forward_return,weighted_forward_return,target_n,cash_target,regime_state,regime_state_score
2019-06-28,V,VISA INC CLASS A,Financials,0.09131672351538557,4.931774597644791,core_compounder,core_compounder,,0.022015576987259644,0.0020103903567772743,18,0.0,neutral,0
2019-06-28,ADBE,ADOBE INC,Information Technology,0.059640105963902935,4.216569742464689,core_compounder,core_compounder,,-0.0013353160166403866,-7.963838872772943e-05,18,0.0,neutral,0
2019-06-28,DHR,DANAHER CORP,Health Care,0.036470677917389276,3.777307837198144,core_compounder,core_compounder,,-0.022216110924604404,-0.0008102366261082404,18,0.0,neutral,0
2019-06-28,PYPL,PAYPAL HOLDINGS INC,Financials,0.0523978559498965,4.079666687633116,core_compounder,core_compounder,,-0.053718363143320236,-0.002814727053847923,18,0.0,neutral,0
2019-06-28,MA,MASTERCARD INC CLASS A,Financials,0.07,5.387012873784182,core_compounder,core_compounder,,0.015825106635757757,0.001107757464503043,18,0.0,neutral,0
2019-06-28,SNPS,SYNOPSYS INC,Information Technology,0.0362869080512374,3.0954349231205165,core_compounder,core_compounder,,0.014840276237512162,0.0005385077392855671,18,0.0,neutral,0
2019-06-28,ORCL,ORACLE CORP,Information Technology,0.09098015744957691,6.377688768584274,core_compounder,core_compounder,,-0.01088538359698854,-0.0009903539135530592,18,0.0,neutral,0
2019-06-28,HD,HOME DEPOT INC,Consumer Discretionary,0.12317144259154623,6.191012239036183,core_compounder,core_compounder,,0.02117324380848684,0.0026079389842338487,18,0.0,neutral,0
2019-06-28,PAYC,PAYCOM SOFTWARE INC,Industrials,0.057510832328921076,3.5298122920879793,core_compounder,core_compounder,,0.043361467296338274,0.002493754075215705,18,0.0,neutral,0
2019-06-28,MELI,MercadoLibre,Internet,0.04013248624431095,2.703931813260814,core_compounder,core_compounder,,-0.0042410962135509545,-0.00017020573545113292,18,0.0,neutral,0
2019-06-28,SHOP,Shopify,Software,0.051751612303485454,4.194300023624577,core_compounder,core_compounder,,0.08233960842368204,0.004261207492363198,18,0.0,neutral,0
2019-06-28,VEEV,VEEVA SYSTEMS INC CLASS A,Health Care,0.05931503029132893,3.3295329517782015,core_compounder,core_compounder,,-0.000603736551590961,-3.581065184560032e-05,18,0.0,neutral,0
2019-06-28,NOW,SERVICENOW INC,Information Technology,0.03761178887878591,3.618121842510623,core_compounder,core_compounder,,-0.016348045848606496,-0.0006148792490385,18,0.0,neutral,0
2019-06-28,MKTX,MARKETAXESS HOLDINGS INC,Financials,0.03623839548085052,3.494110801083137,core_compounder,core_compounder,,0.05251771061625643,0.0019031575670607622,18,0.0,neutral,0
2019-06-28,AVGO,BROADCOM INC,Information Technology,0.04,3.4726512969289143,core_compounder,core_compounder,,-0.041600484159829865,-0.0016640193663931945,18,0.0,neutral,0
2019-06-28,FDS,FACTSET RESEARCH SYSTEMS INC,Financials,0.04,2.31390167143451,core_compounder,core_compounder,,-0.04469176076487791,-0.0017876704305951163,18,0.0,neutral,0
2019-06-28,RGEN,REPLIGEN CORP,Health Care,0.04,1.880781507384282,core_compounder,core_compounder,,0.09410141158683882,0.003764056463473553,18,0.0,neutral,0
2019-06-28,ROKU,ROKU INC CLASS A,Communication,0.037175983033382216,2.6765492143254686,core_compounder,core_compounder,,0.12246892663628617,0.004552902738747106,18,0.0,neutral,0
2019-07-31,ORCL,ORACLE CORP,Information Technology,0.0723553174873477,5.052859773019782,core_compounder,core_compounder,,-0.07744230055107915,-0.005603362243323934,18,0.0,neutral,0
2019-07-31,ADBE,ADOBE INC,Information Technology,0.051226740424899574,4.358119569232964,core_compounder,core_compounder,,-0.049807769348109265,-0.002551489671538863,18,0.0,neutral,0
2019-07-31,XYZ,BLOCK INC CLASS A,Financials,0.04416577201934607,3.645269991950582,core_compounder,core_compounder,,-0.08,-0.003533261761547686,18,0.0,neutral,0
2019-07-31,UNH,UNITEDHEALTH GROUP INC,Health Care,0.05250518918735389,4.504888937992624,core_compounder,core_compounder,,-0.07002697944892677,-0.003676779804184843,18,0.0,neutral,0
2019-07-31,NEE,NEXTERA ENERGY INC,Utilities,0.04533841180218702,3.1703547519021713,core_compounder,core_compounder,,0.06488786672111657,0.00294191282236741,18,0.0,neutral,0
2019-07-31,MA,MASTERCARD INC CLASS A,Financials,0.09005512687197939,5.291301323076529,core_compounder,core_compounder,,0.022122416987709892,0.0019922370685430467,18,0.0,neutral,0
2019-07-31,HD,HOME DEPOT INC,Consumer Discretionary,0.09005512687197939,5.893780729631015,core_compounder,core_compounder,,0.05748578795412351,0.005176889927544298,18,0.0,neutral,0
2019-07-31,V,VISA INC CLASS A,Financials,0.10125950862812329,5.8936668341211185,core_compounder,core_compounder,,0.008876219228914684,0.0008988015975954002,18,0.0,neutral,0
2019-07-31,SBUX,STARBUCKS CORP,Consumer Discretionary,0.04189440861764948,5.669897762819357,core_compounder,core_compounder,,0.018794189261962968,0.0007873714445781168,18,0.0,neutral,0
2019-07-31,SHOP,Shopify,Software,0.05581620403824957,4.43132436157347,core_compounder,core_compounder,,0.14966618972958945,0.008353798583574138,18,0.0,neutral,0
2019-07-31,PAYC,PAYCOM SOFTWARE INC,Industrials,0.037100734851381496,3.9595241723804206,core_compounder,core_compounder,,0.031501912022903866,0.0011687440852733032,18,0.0,neutral,0
2019-07-31,MELI,MercadoLibre,Internet,0.05022095226469424,3.641074599492379,core_compounder,core_compounder,,-0.059789001495265004,-0.003002660590047436,18,0.0,neutral,0
2019-07-31,HEI,HEICO CORP,Industrials,0.0318889088243831,2.3956348543048804,core_compounder,core_compounder,,0.0410117865243822,0.0013078211212010874,18,0.0,neutral,0
2019-07-31,RGEN,REPLIGEN CORP,Health Care,0.04,2.211542480876365,core_compounder,core_compounder,,-0.0293685287383475,-0.0011747411495339,18,0.0,neutral,0
2019-07-31,TER,TERADYNE INC,Information Technology,0.04,2.611773263644036,core_compounder,core_compounder,,-0.06365731845637257,-0.002546292738254903,18,0.0,neutral,0
