date,equity_usd,portfolio_return,spy_return,qqq_minus_spy,semis_minus_qqq,cash_weight
2019-07-02,101161.3618075657,0.01383665222809638,0.0026042113229463038,0.0013586650639911824,-0.01570269062306462,0.1193434561529186
2019-07-03,101996.42453644754,0.008254759662788436,0.007995188223690608,-0.0004689011532081899,-0.01118828998041621,0.1183663702146401
2019-07-05,101379.06429551126,-0.006052763552664264,-0.0011380875400963664,-0.0008994370299184595,-0.005313544451733598,0.119087176737587
2019-07-08,101691.02916596414,0.0030772119729132186,-0.005494774302032268,-0.0015190067566144272,0.0005116073529302101,0.1187218444563795
2019-07-09,102333.90785859108,0.006321882056850248,0.0012465712742242285,0.0037609799880351513,0.001991654188715053,0.1179760140102693
2019-07-10,102437.2638881016,0.0010099881033893698,0.004778203576061069,0.005187247868871481,-3.580437031924788e-05,0.1178569798627066
2019-07-11,101875.9562518406,-0.005479525857642553,0.0023440662265208356,-0.0030711720135595533,0.003497966330567981,0.1185063384083094
2019-07-12,100886.16268418312,-0.009715673884922227,0.004477063996403574,0.0012917104040701677,0.012592889780075778,0.1196690034196685
2019-07-15,102195.6383197117,0.01297973478907899,0.0003324338395389592,0.0028708914209207848,0.004849171676231778,0.1181356342183744
2019-07-16,102507.22611496926,0.003048934380964319,-0.003225121263750297,-0.0019253042122332475,-0.0051820781010495365,0.1177765412724178
2019-07-17,102074.42965577128,-0.004222106827011074,-0.006804962261238612,0.0018863483962989758,0.008515646887358286,0.1182759148198497
2019-07-18,102903.64419434548,0.008123626469141998,0.003660953207820894,-0.0025162180876816542,0.016863791107657677,0.117322827988964
2019-07-19,102698.25767395974,-0.0019959110485713305,-0.005554929066410641,-0.001772814991210514,0.007413736900200751,0.1175574622266642
2019-07-22,104004.61003754615,0.012720297239450229,0.002456083880371329,0.0055018522553662574,0.012049000667856191,0.1160808789426964
2019-07-23,103485.07523987773,-0.004995305472333178,0.0071503949730638006,-0.0006061674491553148,0.004567732289202375,0.1166636495095137
2019-07-24,104585.33346436502,0.010632047393664301,0.004699628013239199,0.002318362057639689,0.01962425993086092,0.1154363250308354
2019-07-25,105689.6084582615,0.010558602791783889,-0.004777102380847942,-0.004702747916465189,-0.008604634559514213,0.1142302135788358
2019-07-26,107052.20163605693,0.01289240444422246,0.0066999234883542425,0.0035948944000516736,-0.01235964350960761,0.1127762564687356
2019-07-29,105705.17092774392,-0.012582933258042384,-0.0018211038539535096,-0.0016096472663387207,0.006823930746102658,0.114213396007877
2019-07-30,104629.6108233738,-0.010175094509854432,-0.0024547683095174078,-0.001861362100493702,-0.00013779004094116587,0.1153874744658202
2019-07-31,104249.26054642678,-0.003635206840146732,-0.010940450759429399,-0.00288998012689734,-0.016078488814552094,0.1158084621796826
2019-08-01,106268.70834850312,0.019371339340838567,-0.008707761232837008,0.003736798107171424,-0.015184347950870314,0.2299051497436896
2019-08-02,105251.79703258516,-0.00956924509313728,-0.007529768626097777,-0.007195570400695517,0.0011281188817412469,0.2321264243912835
2019-08-05,102020.34619449616,-0.03070209658357259,-0.030072907343024702,-0.0052619627354741905,-0.007786022880234,0.2394789296181504
2019-08-06,103886.9438011551,0.018296326921890316,0.014022981579414617,-2.4016330676168707e-05,0.0018843654177802538,0.235176071332839
2019-08-07,103170.33381389618,-0.006897979294015366,0.0005908518378239247,0.0048109711017301215,5.2117617425073703e-05,0.2368095789047485
2019-08-08,106636.44676326752,0.03359602340362389,0.019619697797709224,0.002144275758194425,0.0038215070865441625,0.2291123161686868
2019-08-09,105631.06988262176,-0.009428079340243811,-0.006811086848839798,-0.0025906485391226086,-0.007876058944244924,0.2312929645896785
2019-08-12,104342.01567768096,-0.012203362196115286,-0.012173375854573232,0.000698140166177641,-0.0003656484701729523,0.2341503865652952
2019-08-13,105660.73752521515,0.012638454787070819,0.015551434590566515,0.006363305140526965,0.006770895929116394,0.2312280216679411
2019-08-14,103038.38491176606,-0.024818609777575107,-0.029567584560636795,-0.00031707168513284145,-0.0023250650601878142,0.2371128325318034
2019-08-15,103203.51382564544,0.0016025961006742584,0.002641604992904778,-0.003790747290284613,5.497238146112693e-05,0.2367334444368497
2019-08-16,105967.24746250152,0.026779452892710554,0.01475522485144487,0.0012953596957521185,0.008413157371058633,0.2305591953266192
2019-08-19,106388.62865184784,0.0039765229298367455,0.012047896708242245,0.003856544803586992,0.0005794330225614708,0.229646002731014
2019-08-20,105572.246316185,-0.007673586416217626,-0.007662868473843343,-8.499184022248141e-05,0.0020502347591485615,0.2314218382050807
2019-08-21,107501.35694049836,0.018272895496944663,0.008135553723678468,0.0007426676217074935,0.0013482171730891945,0.2272689759577078
2019-08-22,107135.81486248015,-0.003400348501838235,-0.000307891487667189,-0.002926133748485049,0.0019251591376708843,0.2280444064134082
2019-08-23,103980.46537326812,-0.02945186437665359,-0.025687723381120908,-0.005957574887829553,-0.009773907950714422,0.2349645504876931
2019-08-26,105656.25438999177,0.01611638311780883,0.011058857842671355,0.004045151636107525,-0.004803118462402223,0.2312378329800547
2019-08-27,105946.87474178316,0.002750621375604334,-0.003923601958608747,0.0018134395942220882,-0.0002358349698259321,0.2306035299811987
2019-08-28,106062.72582363128,0.001093482767948295,0.0070415714755323044,-0.0034632877361753245,0.002843096779317822,0.2303516444274486
2019-08-29,107078.24340938569,0.009574688731299297,0.012772909185061465,0.002517436262083894,0.006366647147983073,0.2281670162679339
2019-08-30,106471.06833576204,-0.005670386945948236,-0.00044430350573487765,-0.001950528631804005,0.00881579771554497,0.2294681896952925
2019-09-03,103375.08587013722,-0.029078157231046897,-0.005847164468490207,-0.0038610892306564226,-0.006110538347571692,0.6069554381943104
2019-09-04,104040.93552910328,0.00644110380524876,0.011350405792643237,0.003085603993227881,0.015046185158825054,0.6030709953115738
2019-09-05,104620.74964653492,0.00557294217399118,0.012855308749148309,0.0054634956530852374,0.012044435436830536,0.5997287417139217
2019-09-06,104583.3399442339,-0.000357574404957095,0.0007723059375630559,-0.0017632715117689157,0.0018282201462219705,0.5999432660702948
2019-09-09,103691.46590935232,-0.00852787867892868,0.0005033975650028388,-0.0025909459674121615,0.0059351328589855035,0.6051035154381446
2019-09-10,101488.82988106251,-0.021242211294566604,-0.00023496690684376986,-0.002641738985488473,0.004876566465291665,0.6182362198501556
2019-09-11,102833.48421608449,0.013249284050252719,0.007110978288399572,0.002278549372897176,0.003334029328609489,0.6101521408225281
2019-09-12,103214.70538841723,0.0037071696562540613,0.003463629191747808,0.0006934887645428933,-0.002597008091294928,0.6078985577352115
2019-09-13,102667.0867246294,-0.005305626380727846,-0.0006636798828261181,-0.0029071583076080154,0.003078956673457034,0.6111410437794332
2019-09-16,102330.07492195608,-0.003282569063026375,-0.003088677394078587,-0.00137788068810496,-0.002259746183753353,0.613153763353897
2019-09-17,102710.2210820818,0.0037149016104565113,0.0025321755314393624,0.002267469581989756,-0.0007529661730774073,0.6108843879572717
2019-09-18,101090.51511513234,-0.015769666834375307,0.0005980011441095723,-0.0010132387632180162,0.0014843884209319036,0.6206721814724573
2019-09-19,101283.38992439747,0.001907941700024729,-6.656700698903784e-05,0.0017286203915656273,-0.00568798617885613,0.6194902302294446
2019-09-20,99709.98103081228,-0.01553471793114014,-0.004724439149663806,-0.005854404762032472,-0.008147480167990495,0.6292656953098257
2019-09-23,99831.48034416676,0.001218527093259869,-0.00023472642696975576,0.0006760474768672253,0.00813370890825027,0.6284998512130127
2019-09-24,98510.8656133318,-0.013228439829622629,-0.007846960797575742,-0.0054340581910153896,-0.001555896130312373,0.636925380282033
2019-09-25,99749.61081825734,0.012574706325165996,0.005914368728612507,0.0053109348143092205,0.005865580944690141,0.6290156926727524
2019-09-26,99367.72067772388,-0.0038284875239188443,-0.002082971117626009,-0.0015998413667217548,0.007176796241578742,0.6314331265198224
2019-09-27,98125.43590675831,-0.012501894604130315,-0.0053874261520016065,-0.007021494368854464,-0.011299969858329706,0.6394271777024754
2019-09-30,98629.96113716604,0.005141635558054025,0.004637909147048758,0.004879572147081568,0.0020304949575276066,0.6361562938813752
2019-10-01,98338.7855775547,-0.002952201909584007,-0.011894560046163849,0.0037379932266231597,0.001357356535823695,0.5529035687426448
2019-10-02,97631.22444321631,-0.007195138013783797,-0.01766474265922402,0.0004702984313141867,0.0008826823109215898,0.5569106174968763
2019-10-03,98504.21466614724,0.008941711300964661,0.008193067101088802,0.002782403662342059,0.004403844714958582,0.5519750162561684
2019-10-04,98446.36126114846,-0.000587319082689608,0.013531593586252777,0.0011940981920901539,0.002874636929778296,0.5522993922285822
2019-10-07,98546.05100037577,0.0010126300043011849,-0.00431463604373894,0.0012955902719661294,-0.001970178447533555,0.5517406830583237
2019-10-08,97966.2253282261,-0.0058838042343012376,-0.015524599825647245,0.0005434817462083297,-0.01125994646005446,0.5550062310707613
