ticker,drawdown_pnl_usd,drawdown_contribution_return_on_start
DDOG,-44638.77159118652,-0.44130809565546963
BLD,-23268.059661865234,-0.2300328331840338
ORLY,-15209.786994934082,-0.1503670888511848
MA,-12456.716705322266,-0.12314966858162427
MLI,-12022.599681854244,-0.11885789821946406
XPO,-11180.09052658081,-0.11052867907582108
AMD,-9004.860061645508,-0.08902390240132378
NVDA,-8754.016675949097,-0.0865440129934506
NET,-6549.758346557617,-0.06475226086852157
TMUS,-5036.206970214844,-0.049788980030784025
WCC,-4751.805870056152,-0.046977332141751774
BILL,-4024.02008056641,-0.03978229183584326
ON,-3792.5994873046875,-0.037494420156866465
LOPE,-3765.800018310547,-0.03722947508322745
RKLB,-2909.9998474121094,-0.028768858219940328
FANG,-2813.1491165161133,-0.027811371934117195
DXCM,-2793.75,-0.027619588270231272
ONTO,-2474.7994384765625,-0.02446637728577081
STLD,-2340.966995239258,-0.023143282170097094
CTAS,-1937.3725280761719,-0.01915326409002987
TSLA,-1873.8862915039062,-0.018525626071254932
JBL,-1727.0727996826172,-0.017074197633986397
MSI,-890.9684753417969,-0.008808297968929265
TXRH,-796.5182876586878,-0.00787454394804209
BRKR,-742.9712295532227,-0.007345166695977626
DAL,-598.670768737793,-0.005918582601149238
RGLD,-493.4559631347656,-0.004878407349001395
CHE,-390.1534423828143,-0.0038571373389983824
PLNT,-387.24005126953125,-0.003828334954025128
CW,-100.27677917480469,-0.0009913569051894432
LOW,-81.20640563964889,-0.0008028232621646494
DPZ,-54.12506103515625,-0.0005350915081493166
AFG,-47.59294128417969,-0.00047051362607188724
RRX,-40.211090087890625,-0.0003975351238030307
CARR,63.75163650512695,0.0006302618172080724
FDS,101.8645935058596,0.0010070543649024846
FTNT,114.17166137695494,0.0011287245742674762
ANET,1276.7449684143066,0.012622163884990633
MOS,1424.6744461059589,0.01408462518856962
INTU,3294.412078857422,0.03256923676439147
CPRT,4420.340236663818,0.04370039457753604
BKR,5467.455606460571,0.05405239292571225
CHRW,6163.23664855957,0.06093102770298538
AVGO,17027.615295410156,0.16833851407002093
BLDR,18263.369697570804,0.18055543676918975
SQM,18322.763774871826,0.18114261885804683
LPX,20060.550537109375,0.19832273693391597
LRCX,27413.148609161377,0.2710120367877227
ACLS,32607.740699768066,0.32236684476064675
