portfolio,ticker,current_weight,target_weight,canonical_target_weight,replay_retention_weight,selected_vs_retained,lane,theme,sector,subindustry,leader_state,selection_reason,hold_reason,risk_reason,rs_spy_1m,rs_spy_3m,rs_spy_6m,rs_qqq_1m,rs_qqq_3m,rs_qqq_6m,rs_smh_soxx_if_applicable,valuation_flag,quality_flag,evidence_flag,top7_score,form4_score,etf_score,gate_status,is_new_buy_signal,is_replay_retention,data_pit_status,membership_pit_status
concentrated,AMD,0.1060100474782498,0.1029905602315827,0.1029905602315827,0.1060100474782498,replay_retained_holding,MARKET_LEADER,,Information Technology,Semiconductors,DUAL_LEADER,MARKET_LEADER|hold_forward_to_latest_close,new_candidate_cleared_vnext_gates,green,0.4678552884988785,1.4720248454336604,1.2592911608391886,0.4149574798739046,1.3605148624668804,1.177240075428529,1.3725462165315685,missing_or_neutral,quality_support,positive_evidence,,0.0,0.0,future_relaxed,False,True,pit_available_from_present,unlabeled_or_proxy_source:current_constituents_proxy_static_seed+strategic_global_hardware
concentrated,CASH,0.1687863165789604,0.1675963139215789,0.1675963139215789,0.1687863165789604,cash_position,CASH,,Cash,,green,cash_from_vnext_regime_capacity_overlay,nan,green,,,,,,,-999.0,missing_or_neutral,missing_or_neutral,missing_or_neutral,,,,nan,False,True,unknown_pit_available_from,unknown_membership_pit
concentrated,MU,0.286499712101757,0.3,0.3,0.286499712101757,replay_retained_holding,MARKET_LEADER,,Information Technology,Semiconductors,DUAL_LEADER,MARKET_LEADER|hold_forward_to_latest_close,new_candidate_cleared_vnext_gates,green,0.8097551492247308,1.249902400893235,2.996184738071856,0.756857340599757,1.1383924179264548,2.9141336526611963,3.109439793764236,missing_or_neutral,quality_support,positive_evidence,,0.0,0.0,future_relaxed,False,True,pit_available_from_present,unlabeled_or_proxy_source:current_constituents_proxy_static_seed+strategic_global_hardware
concentrated,SNDK,0.2796310417307979,0.2781899142641855,0.2781899142641855,0.2796310417307979,replay_retained_holding,MARKET_LEADER,,Information Technology,Tech Hardware & Storage,DUAL_LEADER,MARKET_LEADER|hold_forward_to_latest_close,vnext_score_and_risk_intact,green,0.5296130113305817,1.5619791863544024,6.478020426820356,0.4767152027056078,1.4504692033876223,6.395969341409696,6.591275482512736,missing_or_neutral,quality_support,positive_evidence,,0.0,0.0,future_relaxed,False,True,pit_available_from_present,unlabeled_or_proxy_source:current_constituents_proxy_static_seed+strategic_global_hardware
concentrated,TXN,0.0720771943051862,0.0712232115826528,0.0712232115826528,0.0720771943051862,replay_retained_holding,MARKET_LEADER,,Information Technology,Semiconductors,DUAL_LEADER,MARKET_LEADER|concentrated_replacement_quality_swap:rank_top15_and_revenue_ge10:replaced_UMC|hold_forward_to_latest_close,concentrated_replacement_quality_candidate,green,0.0780983627204723,0.3426932496244022,0.7244970957241943,0.0252005540954984,0.2311832666576221,0.6424460103135348,0.8377521514165742,missing_or_neutral,quality_support,positive_evidence,,0.0,0.0,future_relaxed,False,True,unknown_pit_available_from,unlabeled_or_proxy_source:current_constituents_proxy_static_seed
concentrated,UMC,0.0869956878050484,0.08,0.08,0.0869956878050484,replay_retained_holding,MARKET_LEADER,,Semiconductors,Semiconductors,DUAL_LEADER,MARKET_LEADER|concentrated_high_vol_weak_timing_new_entry_cap|hold_forward_to_latest_close,new_candidate_cleared_vnext_gates,green,0.6765088735507074,1.0187529242224118,1.859935318537857,0.6236110649257336,0.9072429412556318,1.7778842331271978,1.9731903742302368,missing_or_neutral,quality_support,positive_evidence,,0.0,0.0,adr_global_alpha_fallback,False,True,pit_available_from_present,unlabeled_or_proxy_source:adr_whitelist
main,ALAB,0.0644238588138091,0.0482211401789317,0.0482211401789317,0.0644238588138091,replay_retained_holding,MARKET_LEADER,,Information Technology,Semiconductors,DUAL_LEADER,MARKET_LEADER|main_high_vol_new_entry_cap|main_ai_capex_momentum_tilt|hold_forward_to_latest_close,new_candidate_cleared_vnext_gates,green,0.6785824668445468,1.7794459152134303,1.062603230574381,0.625684658219573,1.6679359322466505,0.9805521451637218,1.1758582862667613,missing_or_neutral,quality_support,positive_evidence,,0.0,0.0,future_relaxed,False,True,pit_available_from_present,unlabeled_or_proxy_source:current_constituents_proxy_static_seed
main,AMD,0.0510428873638461,0.0482211401789317,0.0482211401789317,0.0510428873638461,replay_retained_holding,MARKET_LEADER,,Information Technology,Semiconductors,DUAL_LEADER,MARKET_LEADER|main_ai_capex_momentum_tilt|hold_forward_to_latest_close,vnext_score_and_risk_intact,green,0.4678552884988785,1.4720248454336604,1.2592911608391886,0.4149574798739046,1.3605148624668804,1.177240075428529,1.3725462165315685,missing_or_neutral,quality_support,positive_evidence,,0.0,0.0,future_relaxed,False,True,pit_available_from_present,unlabeled_or_proxy_source:current_constituents_proxy_static_seed+strategic_global_hardware
main,CASH,0.1102731070083718,0.1081964045429515,0.1081964045429515,0.1102731070083718,cash_position,CASH,,Cash,,green,cash_from_vnext_regime_capacity_overlay,nan,green,,,,,,,-999.0,missing_or_neutral,missing_or_neutral,missing_or_neutral,,,,nan,False,True,unknown_pit_available_from,unknown_membership_pit
main,CIEN,0.0579625518890725,0.0736186208821332,0.0736186208821332,0.0579625518890725,replay_retained_holding,MARKET_LEADER,,Information Technology,Communication Equipment,DUAL_LEADER,MARKET_LEADER|main_ai_capex_momentum_tilt|hold_forward_to_latest_close,vnext_score_and_risk_intact,green,0.1574356466468525,0.5582121215361029,1.7280845525166857,0.1045378380218786,0.4467021385693228,1.646033467106026,1.8413396082090652,missing_or_neutral,quality_support,positive_evidence,,0.0,0.0,future_relaxed,False,True,pit_available_from_present,unlabeled_or_proxy_source:current_constituents_proxy_static_seed+strategic_global_hardware
main,FLEX,0.1112067271927576,0.1143902775489209,0.1143902775489209,0.1112067271927576,replay_retained_holding,MARKET_LEADER,,Information Technology,Tech Hardware & Storage,DUAL_LEADER,MARKET_LEADER|main_ai_capex_momentum_tilt|hold_forward_to_latest_close,new_candidate_cleared_vnext_gates,green,0.6011394316295671,1.286805486153259,1.4375823190731305,0.5482416230045932,1.175295503186479,1.3555312336624707,1.5508373747655102,missing_or_neutral,quality_support,positive_evidence,,0.0,0.0,future_relaxed,False,True,pit_available_from_present,unlabeled_or_proxy_source:current_constituents_proxy_static_seed
main,HPE,0.0567882591842141,0.061348850735111,0.061348850735111,0.0567882591842141,replay_retained_holding,MARKET_LEADER,,Information Technology,Communication Equipment,DUAL_LEADER,MARKET_LEADER|hold_forward_to_latest_close,new_candidate_cleared_vnext_gates,green,0.4577491951472441,0.91181593324683,0.8793397758691748,0.4048513865222702,0.80030595028005,0.7972886904585152,0.9925948315615548,missing_or_neutral,quality_support,positive_evidence,,0.0,0.0,rejected,False,True,unknown_pit_available_from,unlabeled_or_proxy_source:current_constituents_proxy_static_seed+strategic_global_hardware
main,MRVL,0.0568530497912316,0.0482211401789317,0.0482211401789317,0.0568530497912316,replay_retained_holding,MARKET_LEADER,,Information Technology,Semiconductors,DUAL_LEADER,MARKET_LEADER|main_ai_capex_momentum_tilt|hold_forward_to_latest_close,vnext_score_and_risk_intact,green,0.2462194609091199,1.4049749075344315,1.1826082350652822,0.1933216522841461,1.2934649245676515,1.1005571496546227,1.2958632907576622,missing_or_neutral,quality_support,positive_evidence,,0.0,0.0,future_relaxed,False,True,pit_available_from_present,unlabeled_or_proxy_source:current_constituents_proxy_static_seed+strategic_global_hardware
main,MU,0.0480817642884927,0.0482211401789317,0.0482211401789317,0.0480817642884927,replay_retained_holding,MARKET_LEADER,,Information Technology,Semiconductors,DUAL_LEADER,MARKET_LEADER|main_ai_capex_momentum_tilt|hold_forward_to_latest_close,new_candidate_cleared_vnext_gates,green,0.8097551492247308,1.249902400893235,2.996184738071856,0.756857340599757,1.1383924179264548,2.9141336526611963,3.109439793764236,missing_or_neutral,quality_support,positive_evidence,,0.0,0.0,future_relaxed,False,True,pit_available_from_present,unlabeled_or_proxy_source:current_constituents_proxy_static_seed+strategic_global_hardware
main,NXT,0.0671885507632306,0.0822326743506752,0.0822326743506752,0.0671885507632306,replay_retained_holding,MARKET_LEADER,,Industrials,Tech Hardware & Storage,DUAL_LEADER,MARKET_LEADER|main_high_vol_new_entry_cap|main_ai_capex_momentum_tilt|hold_forward_to_latest_close,new_candidate_cleared_vnext_gates,green,0.3055891878999901,0.3823382655103047,0.5937956887731239,0.2526913792750163,0.2708282825435246,0.5117446033624644,0.7070507444655039,missing_or_neutral,quality_support,positive_evidence,,0.0,0.0,future_relaxed,False,True,pit_available_from_present,unlabeled_or_proxy_source:cycle_play_whitelist
main,ON,0.0383974022446127,0.0482211401789317,0.0482211401789317,0.0383974022446127,replay_retained_holding,MARKET_LEADER,,Information Technology,Semiconductors,DUAL_LEADER,MARKET_LEADER|main_ai_capex_momentum_tilt|hold_forward_to_latest_close,vnext_score_and_risk_intact,green,0.1570102721253401,0.7086119512406861,1.287620714944399,0.1041124635003662,0.597101968273906,1.2055696295337397,1.400875770636779,missing_or_neutral,quality_support,positive_evidence,,0.0,0.0,early_relaxed,False,True,pit_available_from_present,unlabeled_or_proxy_source:current_constituents_proxy_static_seed
main,QCOM,0.0389728262018619,0.0482211401789317,0.0482211401789317,0.0389728262018619,replay_retained_holding,MARKET_LEADER,,Information Technology,Semiconductors,DUAL_LEADER,MARKET_LEADER|main_ai_capex_momentum_tilt|hold_forward_to_latest_close,new_candidate_cleared_vnext_gates,green,0.5460036625369953,0.668829014238822,0.3973792770678019,0.4931058539120214,0.557319031272042,0.3153281916571424,0.5106343327601819,missing_or_neutral,quality_support,positive_evidence,,0.0,0.0,future_relaxed,False,True,pit_available_from_present,unlabeled_or_proxy_source:current_constituents_proxy_static_seed+strategic_global_hardware
main,RVMD,0.076632187464255,0.0630953376034442,0.0630953376034442,0.076632187464255,replay_retained_holding,MARKET_LEADER,,Health Care,Biotechnology,DUAL_LEADER,MARKET_LEADER|hold_forward_to_latest_close,vnext_score_and_risk_intact,green,0.057356305718089,0.4378506439716798,0.9119505950436416,0.0044584970931151,0.3263406610048998,0.8298995096329822,1.0252056507360217,missing_or_neutral,quality_support,positive_evidence,,0.0,0.0,early_relaxed,False,True,pit_available_from_present,unlabeled_or_proxy_source:current_constituents_proxy_static_seed
