as_of_date,snapshot_semantics,portfolio,portfolio_kind,row_type,ticker,current_shares,current_price,current_value_usd,current_weight,unrealized_pnl_usd,realized_pnl_usd,first_entry_date,latest_entry_date,holding_days,avg_entry_price,entry_reasons,entry_sleeves,daily_review_action,daily_review_reason,risk_state,account_source,approval_status,backtest_metric_mode,official_broker_cagr,official_broker_max_dd,official_broker_sharpe,official_broker_avg_cash_weight,daily_monitoring_backtest_status,daily_monitoring_position_risk_cagr,daily_monitoring_position_risk_max_dd,daily_monitoring_risk_action_count
2026-07-02,current_broker_ledger_mark_to_market,main,main,equity,ALAB,119.0,406.4200134277344,48363.98159790039,0.0644238588138091,10273.272033691406,9505.066629638672,2026-06-01,2026-06-01,31.0,320.0899963378906,target_rebalance,future_winner,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",green,simulated_broker_replay,simulation_ready_preview_only,broker_ledger_next_close,0.32939264206293095,-0.2565269024185842,1.2367560856453923,0.293400029333965,missing,0.29237260159492817,-0.2614527762476354,0
2026-07-02,current_broker_ledger_mark_to_market,main,main,equity,WDC,88.0,539.0,47432.0,0.0631824008342036,19187.213319993283,54247.99327073548,2026-05-01,2026-05-01,62.0,431.4075012207031,target_rebalance,future_winner,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",green,simulated_broker_replay,simulation_ready_preview_only,broker_ledger_next_close,0.32939264206293095,-0.2565269024185842,1.2367560856453923,0.293400029333965,missing,0.29237260159492817,-0.2614527762476354,0
2026-07-02,current_broker_ledger_mark_to_market,main,main,equity,CIEN,103.0,422.4599914550781,43513.37911987305,0.0579625518890725,5530.802607874663,28963.078699174148,2026-03-02,2026-05-01,122.0,399.560682278235,target_rebalance,future_winner,BUY_REVIEW,Target preview wants more exposure; validate against portfolio and market gates.,green,simulated_broker_replay,simulation_ready_preview_only,broker_ledger_next_close,0.32939264206293095,-0.2565269024185842,1.2367560856453923,0.293400029333965,missing,0.29237260159492817,-0.2614527762476354,0
2026-07-02,current_broker_ledger_mark_to_market,main,main,equity,MRVL,174.0,245.2899932861328,42680.45883178711,0.0568530497912316,13979.159362792969,7378.239400281906,2026-05-01,2026-05-01,62.0,164.9499969482422,target_rebalance,future_winner,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",green,simulated_broker_replay,simulation_ready_preview_only,broker_ledger_next_close,0.32939264206293095,-0.2565269024185842,1.2367560856453923,0.293400029333965,missing,0.29237260159492817,-0.2614527762476354,0
2026-07-02,current_broker_ledger_mark_to_market,main,main,equity,HPE,1034.0,41.22999954223633,42631.81952667236,0.0567882591842141,-5824.410957336426,0.0,2026-06-01,2026-06-01,31.0,46.862892150878906,target_rebalance,unassigned,BUY_REVIEW,Target preview wants more exposure; validate against portfolio and market gates.,green,simulated_broker_replay,simulation_ready_preview_only,broker_ledger_next_close,0.32939264206293095,-0.2565269024185842,1.2367560856453923,0.293400029333965,missing,0.29237260159492817,-0.2614527762476354,0
2026-07-02,current_broker_ledger_mark_to_market,main,main,equity,UMC,1664.0,24.540000915527344,40834.5615234375,0.0543941987279216,2745.6025390625,0.0,2026-06-01,2026-06-01,31.0,22.88999938964844,target_rebalance,future_winner,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",green,simulated_broker_replay,simulation_ready_preview_only,broker_ledger_next_close,0.32939264206293095,-0.2565269024185842,1.2367560856453923,0.293400029333965,missing,0.29237260159492817,-0.2614527762476354,0
2026-07-02,current_broker_ledger_mark_to_market,main,main,equity,AMD,74.0,517.8200073242188,38318.68054199219,0.0510428873638461,569.0601806640625,9649.887788457872,2026-06-01,2026-06-01,31.0,510.1300048828125,target_rebalance,future_winner,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",green,simulated_broker_replay,simulation_ready_preview_only,broker_ledger_next_close,0.32939264206293095,-0.2565269024185842,1.2367560856453923,0.293400029333965,missing,0.29237260159492817,-0.2614527762476354,0
2026-07-02,current_broker_ledger_mark_to_market,main,main,equity,MU,37.0,975.5599975585938,36095.71990966797,0.0480817642884927,18179.87426618043,24721.61800621566,2026-01-02,2026-05-01,181.0,493.1457074139569,target_rebalance,future_winner,HOLD,No preview order or no material target gap.,green,simulated_broker_replay,simulation_ready_preview_only,broker_ledger_next_close,0.32939264206293095,-0.2565269024185842,1.2367560856453923,0.293400029333965,missing,0.29237260159492817,-0.2614527762476354,0
2026-07-02,current_broker_ledger_mark_to_market,main,main,equity,QCOM,166.0,176.25,29257.5,0.0389728262018619,-8614.96078491211,-848.2995684242248,2026-06-01,2026-06-01,31.0,228.14735412597656,target_rebalance,future_winner,BUY_REVIEW,Target preview wants more exposure; validate against portfolio and market gates.,green,simulated_broker_replay,simulation_ready_preview_only,broker_ledger_next_close,0.32939264206293095,-0.2565269024185842,1.2367560856453923,0.293400029333965,missing,0.29237260159492817,-0.2614527762476354,0
2026-07-02,current_broker_ledger_mark_to_market,main,main,equity,ON,316.0,91.22000122070312,28825.520385742188,0.0383974022446127,-3731.959228515625,1460.0516058921812,2026-05-01,2026-05-01,62.0,103.02999877929688,target_rebalance,future_winner,BUY_REVIEW,Target preview wants more exposure; validate against portfolio and market gates.,green,simulated_broker_replay,simulation_ready_preview_only,broker_ledger_next_close,0.32939264206293095,-0.2565269024185842,1.2367560856453923,0.293400029333965,missing,0.29237260159492817,-0.2614527762476354,0
2026-07-02,current_broker_ledger_mark_to_market,main,main,cash,CASH,0.0,1.0,82783.71734157948,0.1102731070083718,0.0,0.0,,,,0.0,,,HOLD,Combined cash is already close to target.,green,simulated_broker_replay,simulation_ready_preview_only,broker_ledger_next_close,0.32939264206293095,-0.2565269024185842,1.2367560856453923,0.293400029333965,missing,0.29237260159492817,-0.2614527762476354,0
