rebalance_date,regime_label,rebalance_action,reported_cash_weight,period_end_cash_weight,book_explicit_cash_weight,book_stock_weight_sum,book_total_weight_sum,reported_vs_book_cash_gap,cash_target_used,target_defense_cash,excess_cash_over_target,possible_idle_cash,drawdown_or_risk_defense,confirmed_macro_defense,event_shock_without_confirmation,partial_rebalance,stock_count,target_n,drawdown_before_month,drawdown_after_month,next_rebalance_date,primary_cash_reason
2019-05-31,risk_off_alert,initial_rebalance,0.28,0.2687043810270493,0.28,0.7199999999999994,0.9999999999999994,0.0,0.28,0.28,0.0,False,True,True,False,False,18,18.0,0.0,0.0,2019-06-28,confirmed_macro_defense_cash
2019-06-28,balanced,"partial_rebalance:core_compounder,early_scout",0.0,0.0002824409205262,0.0,0.9999999999999989,0.9999999999999989,0.0,0.0,0.0,0.0,False,False,False,False,True,25,18.0,0.0,0.0,2019-07-31,no_cash
2019-07-31,balanced,rebalance,0.0,0.0331763485589146,0.0,0.9999999999999991,0.9999999999999991,0.0,0.0,0.0,0.0,False,False,False,False,False,18,18.0,0.0,0.0,2019-08-30,no_cash
2019-08-30,balanced,"partial_rebalance:core_compounder,early_scout",0.0,0.0385860915624924,0.0,0.9999999999999993,0.9999999999999993,0.0,0.0,0.0,0.0,False,False,False,False,True,18,18.0,0.0,0.0,2019-09-30,no_cash
2019-09-30,balanced,rebalance,0.0,0.0,0.0,0.9999999999999992,0.9999999999999992,0.0,0.0,0.0,0.0,False,False,False,False,False,18,18.0,0.0,0.0,2019-10-31,no_cash
2019-10-31,growth_reentry_alert,"partial_rebalance:core_compounder,early_scout",0.0,0.0,0.0,0.9999999999999991,0.9999999999999991,0.0,0.0,0.0,0.0,False,False,False,False,True,20,20.0,0.0,0.0,2019-11-29,no_cash
2019-11-29,balanced,rebalance,0.0,0.0292394226111801,0.0,0.9999999999999986,0.9999999999999986,0.0,0.0,0.0,0.0,False,False,False,False,False,31,21.0,0.0,0.0,2019-12-31,no_cash
2019-12-31,balanced,"partial_rebalance:core_compounder,early_scout",0.0,0.0594686893824318,0.0,0.9999999999999992,0.9999999999999992,0.0,0.0,0.0,0.0,False,False,False,False,True,18,18.0,0.0,0.0,2020-01-31,no_cash
2020-01-31,balanced,rebalance,0.0,0.2611638550779037,0.0,0.9999999999999993,0.9999999999999993,0.0,0.0,0.0,0.0,False,False,False,False,False,18,18.0,0.0,-0.0444126272481794,2020-02-28,no_cash
2020-02-28,risk_off_alert,"partial_rebalance:core_compounder,early_scout",0.2794939875286971,0.8514562477331363,0.2794939875286971,0.7205060124713016,0.9999999999999987,0.0,0.28,0.2794939875286971,0.0,False,True,True,False,True,27,18.0,-0.0444126272481794,-0.0925673892045092,2020-03-31,confirmed_macro_defense_cash
2020-03-31,systemic_alert,rebalance,0.4,0.3659673775920645,0.4,0.5999999999999995,0.9999999999999996,0.0,0.4,0.4,0.0,False,True,True,False,False,18,18.0,-0.0925673892045092,-0.0104926944325498,2020-04-30,confirmed_macro_defense_cash
2020-04-30,balanced,"partial_rebalance:core_compounder,early_scout",0.0,0.0,0.0,0.9999999999999987,0.9999999999999987,0.0,0.0,0.0,0.0,False,False,False,False,True,26,18.0,-0.0104926944325498,0.0,2020-05-29,no_cash
2020-05-29,balanced,rebalance,0.0,0.0,0.0,0.9999999999999993,0.9999999999999993,0.0,0.0,0.0,0.0,False,False,False,False,False,17,18.0,0.0,0.0,2020-06-30,no_cash
2020-06-30,balanced,"partial_rebalance:core_compounder,early_scout",0.0,0.0,0.0,0.9999999999999996,0.9999999999999996,0.0,0.0,0.0,0.0,False,False,False,False,True,17,18.0,0.0,0.0,2020-07-31,no_cash
2020-07-31,balanced,rebalance,0.0,0.0,0.0,0.9999999999999994,0.9999999999999994,0.0,0.0,0.0,0.0,False,False,False,False,False,18,18.0,0.0,0.0,2020-08-31,no_cash
2020-08-31,balanced,"partial_rebalance:core_compounder,early_scout",0.0,0.152423974240702,0.0,0.9999999999999992,0.9999999999999992,0.0,0.0,0.0,0.0,False,False,False,False,True,17,18.0,0.0,-0.016261211151834,2020-09-30,no_cash
2020-09-30,balanced,rebalance,0.0,0.0880608418563836,0.0,0.9999999999999996,0.9999999999999996,0.0,0.0,0.0,0.0,False,False,False,False,False,18,18.0,-0.016261211151834,-0.0293315524515925,2020-10-30,no_cash
2020-10-30,risk_off_alert,"partial_rebalance:core_compounder,early_scout",0.2693776563996597,0.3452914431091655,0.2693776563996597,0.7306223436003385,0.9999999999999982,0.0,0.28,0.2693776563996597,0.0,False,True,True,False,True,26,18.0,-0.0293315524515925,0.0,2020-11-30,confirmed_macro_defense_cash
2020-11-30,growth_reentry_alert,rebalance,0.0,0.0202066264259635,0.0,0.9999999999999984,0.9999999999999984,0.0,0.0,0.0,0.0,False,False,False,False,False,37,18.0,0.0,0.0,2020-12-31,no_cash
2020-12-31,balanced,"partial_rebalance:core_compounder,early_scout",0.0,0.2655136103902778,0.0,0.9999999999999996,0.9999999999999996,0.0,0.0,0.0,0.0,False,False,False,False,True,17,18.0,0.0,-0.0208152579478804,2021-01-29,no_cash
2021-01-29,risk_off_alert,rebalance,0.28,0.391052446296107,0.28,0.7199999999999993,0.9999999999999993,0.0,0.28,0.28,0.0,False,True,True,False,False,17,18.0,-0.0208152579478804,-0.0147876788972295,2021-02-26,confirmed_macro_defense_cash
2021-02-26,risk_off_alert,"partial_rebalance:core_compounder,early_scout",0.28,0.5574831751364312,0.28,0.7199999999999994,0.9999999999999994,0.0,0.28,0.28,0.0,False,True,True,False,True,17,18.0,-0.0147876788972295,-0.0196239329187085,2021-03-31,confirmed_macro_defense_cash
2021-03-31,growth_reentry_alert,rebalance,0.005670372183747,0.084886178343552,0.005670372183747,0.9943296278162516,0.9999999999999986,0.0,0.0,0.0,0.005670372183747,False,False,False,False,False,24,18.0,-0.0196239329187085,0.0,2021-04-30,cap_limited_leftover
2021-04-30,balanced,"partial_rebalance:core_compounder,early_scout",0.0,0.2813483013173058,0.0,0.9999999999999992,0.9999999999999992,0.0,0.0,0.0,0.0,False,False,False,False,True,20,21.0,0.0,0.0,2021-05-28,no_cash
