rank,ticker,target_weight,regime_state,row_type
1,GEV,0.08702670396507314,neutral,equity
2,NVDA,0.06312407916666066,neutral,equity
3,GOOG,0.05881314359221733,neutral,equity
4,LRCX,0.045500000000000006,neutral,equity
5,MRVL,0.045500000000000006,neutral,equity
6,AMZN,0.042199502679546766,neutral,equity
7,ZTO,0.0336840460953361,neutral,equity
8,TSM,0.026917671504259853,neutral,equity
9,PR,0.0262442024069509,neutral,equity
10,FIX,0.026000000000000002,neutral,equity
11,FTI,0.026000000000000002,neutral,equity
12,MLI,0.026000000000000002,neutral,equity
13,TER,0.026000000000000002,neutral,equity
14,VRT,0.026000000000000002,neutral,equity
15,PWR,0.02587939044905652,neutral,equity
16,WELL,0.02249338750869293,neutral,equity
17,DTM,0.021544998308487353,neutral,equity
18,KIM,0.021317076730669356,neutral,equity
19,AMKR,0.020175580340159316,neutral,equity
20,CIEN,0.018648357720043873,neutral,equity
21,GLW,0.014652993618481429,neutral,equity
22,CASH,0.2962788659143645,neutral,cash
