date,state,multiplier,shadow_equity_usd,peak_equity_usd,shadow_drawdown,ret5,ret10,crisis_trigger,caution_trigger,reentry_trigger,full_reentry_trigger
2019-06-03,normal,1.0,99835.50141996384,99835.50141996384,0.0,0.0,0.0,False,False,False,False
2019-06-04,normal,1.0,101519.03393644332,101519.03393644332,0.0,0.0,0.0,False,False,False,False
2019-06-05,normal,1.0,102279.81661314012,102279.81661314012,0.0,0.0,0.0,False,False,False,False
2019-06-06,normal,1.0,102456.90416807176,102456.90416807176,0.0,0.0,0.0,False,False,False,False
2019-06-07,normal,1.0,103116.05066770554,103116.05066770554,0.0,0.0,0.0,False,False,False,False
2019-06-10,normal,1.0,103713.54747861862,103713.54747861862,0.0,0.03884435900553607,0.0,False,False,True,False
2019-06-11,normal,1.0,103184.34961027146,103713.54747861862,-0.0051024951051478196,0.0164039747942315,0.0,False,False,True,False
2019-06-12,normal,1.0,104021.9819421196,104021.9819421196,0.0,0.017033324722989907,0.0,False,False,True,False
2019-06-13,normal,1.0,103544.63266843796,104021.9819421196,-0.004588926924573022,0.010616449025063979,0.0,False,False,True,False
2019-06-14,normal,1.0,103132.53529447556,104021.9819421196,-0.008550564323403842,0.00015986479954643862,0.0,False,False,True,False
2019-06-17,normal,1.0,103077.5276955986,104021.9819421196,-0.00907937177207907,-0.0061324658010675215,0.0324736815013027,False,False,True,True
2019-06-18,normal,1.0,103903.33627408982,104021.9819421196,-0.0011405826519994555,0.0069679817388390575,0.023486259129881004,False,False,True,False
2019-06-19,normal,1.0,105083.16059202194,105083.16059202194,0.0,0.010201484629400737,0.027408574552739928,False,False,True,True
2019-06-20,normal,1.0,104516.22452634812,105083.16059202194,-0.005395118137671129,0.009383314546310695,0.020099381051941645,False,False,True,False
2019-06-21,normal,1.0,103904.85340208054,105083.16059202194,-0.011213092405129466,0.007488598097581622,0.00764966006036194,False,False,True,False
2019-06-24,normal,1.0,103650.14371580124,105083.16059202194,-0.013636979209107447,0.005555197461600381,-0.0006113353979184666,False,False,False,False
