ticker,target_weight,Name,sector,portfolio_sleeve_label,bridge_reason
CASH,0.1919731774731462,Cash,Cash,,no_op
SNDK,0.12,SANDISK CORP,Information Technology,future_winner,no_op
WDC,0.1104153943715569,WESTERN DIGITAL CORP,Information Technology,future_winner,no_op
STM,0.1056389984119841,STMicroelectronics,Semiconductors,early_scout,no_op
CIEN,0.0926794611583633,CIENA CORP,Information Technology,future_winner,no_op
MRVL,0.085362735260021,MARVELL TECHNOLOGY INC,Information Technology,future_winner,no_op
LITE,0.0634873591219573,LUMENTUM HOLDINGS INC,Information Technology,future_winner,no_op
ON,0.0565392822796569,ON SEMICONDUCTOR CORP,Information Technology,future_winner,no_op
PWR,0.0527335948983447,QUANTA SERVICES INC,Industrials,future_winner,no_op
FIX,0.0396083058545,COMFORT SYSTEMS USA INC,Industrials,future_winner,no_op
MU,0.0314494861899499,MICRON TECHNOLOGY INC,Information Technology,future_winner,no_op
COHR,0.0253755418403508,COHERENT CORP,Information Technology,future_winner,no_op
TER,0.0134631015598921,TERADYNE INC,Information Technology,unassigned,no_op
KEYS,0.0112735615802763,KEYSIGHT TECHNOLOGIES INC,Information Technology,future_winner,no_op
