portfolio,metric_source,cagr,cagr_target,cagr_pass,cagr_gap_pp,max_dd,max_dd_target,max_dd_pass,max_dd_improvement_needed_pp,sharpe,avg_turnover_monthly,target_pass
main,broker_ledger_next_close,0.1286319220673693,0.3,False,17.1368,-0.27072447057026816,-0.15,False,12.0724,0.6351022076912176,0.0,False
concentrated,broker_ledger_next_close,0.16889553858006412,0.5,False,33.1104,-0.33804466965479363,-0.18,False,15.8045,0.72196241424563,0.0,False
