ticker,peak_market_value_usd,peak_weight,trough_market_value_usd,trough_weight,peak_to_trough_value_delta_usd
TSLA,25015.319274902344,0.105762084369565,0.0,0.0,-25015.319274902344
NET,24480.639221191406,0.1035015145031618,0.0,0.0,-24480.639221191406
SAIA,22224.519470214844,0.0939628824022306,0.0,0.0,-22224.519470214844
NVDA,21304.35708618164,0.0900725346267594,0.0,0.0,-21304.35708618164
ENPH,20080.499267578125,0.0848981951572104,0.0,0.0,-20080.499267578125
DDOG,19837.80062866211,0.0838720913668355,0.0,0.0,-19837.80062866211
U,16698.0,0.0705973513827914,0.0,0.0,-16698.0
BE,16173.000411987305,0.068377709486112,0.0,0.0,-16173.000411987305
FSLR,12896.030326843262,0.0545230317659174,0.0,0.0,-12896.030326843262
SNOW,12548.7998046875,0.0530549783952466,0.0,0.0,-12548.7998046875
DXCM,10258.8798828125,0.0433734428003811,0.0,0.0,-10258.8798828125
MDB,9686.09033203125,0.0409517500716175,0.0,0.0,-9686.09033203125
PCTY,8976.659637451172,0.0379523532560104,0.0,0.0,-8976.659637451172
BILL,7636.080322265625,0.0322845278295727,0.0,0.0,-7636.080322265625
PAYC,2293.3641052246094,0.0096960972323166,0.0,0.0,-2293.3641052246094
