group,series_or_source,why,priority
market_breadth,"SPY/QQQ/RSP/IWM/SMH relative strength, % above MA50/MA200, new highs-lows",Fast warning when index leadership narrows or growth leaders break.,high
credit_stress,"FRED BAMLH0A0HYM2, BAMLC0A0CM, Chicago Fed NFCI/ANFCI, OFR FSI",Keep bear regimes active when financial conditions tighten slowly.,high
volatility_structure,"VIX level/change, VIX term structure, VVIX, MOVE",Distinguish temporary volatility shock from persistent risk-off plumbing stress.,high
liquidity,"WALCL, WTREGEN, RRPONTSYD, M2SL/M2REAL, DXY, net liquidity proxy",Raise cash only when liquidity deterioration confirms long-trend damage.,high
leading_cycle,"Conference Board LEI, ISM PMI/new orders, OECD CLI, yield-curve term spread",Give the macro sidecar longer-history context than the 6-8y equity backtest.,high
labor_cycle,"SAHMREALTIME, ICSA, CCSA, UNRATE",Separate slowdown/recession risk from pure equity-market pullbacks.,medium
earnings_breadth,"EPS revision breadth, surprise breadth by sector/theme",Confirm whether a style/sector rally is supported by fundamentals.,medium
